rank	node	rank_score
1	APOBEC3B	179.698
2	HNRNPH2	175.89249999999998
3	MIR9-3	172.292
4	MATR3	171.3915
5	HNRNPA1	170.2955
6	HNRNPH3	168.4905
7	MIR9-2	165.79749999999999
8	HNRNPA0	164.38899999999998
9	HNRNPF	162.8875
10	MIR29B1	161.4765
11	HNRNPA2B1	159.084
12	MIR9-1	158.8985
13	HNRNPA3	158.58800000000002
14	MIR451A	157.2855
15	RTCB	154.8885
16	MIR138-1	153.994
17	MIR140	153.5845
18	HNRNPM	153.086
19	MSI2	151.395
20	HNRNPH1	151.19099999999997
21	DDX1	149.97750000000002
22	MIR200A	148.9945
23	MIR122	148.7815
24	HNRNPK	148.678
25	FUS	148.279
26	IGF2BP3	147.98250000000002
27	MIR199A2	146.06900000000002
28	MIR155	145.997
29	MIR29C	145.893
30	PTBP1	144.5675
31	HNRNPR	143.67950000000002
32	IGF2BP2	143.3735
33	MIR141	143.1865
34	PUF60	142.7705
35	MIR16-1	142.56300000000002
36	MIR429	142.47449999999998
37	TAF15	141.67849999999999
38	MIR29B2	140.1715
39	RBFOX2	137.8835
40	SYNCRIP	137.4755
41	RBM14	137.1645
42	SFPQ	136.667
43	MIR20A	136.068
44	MIR143	135.673
45	MIR145	135.574
46	RBM4	135.477
47	LARP7	135.064
48	MIR18A	134.1595
49	DDX3X	133.671
50	MIRLET7C	133.482
51	IGF2BP1	132.17249999999999
52	MIR10B	129.07
53	PAPD4	128.49949999999998
54	MIR15A	128.25349999999997
55	MIR7-3	127.55199999999999
56	UTP20	126.35650000000001
57	MIR106A	125.26599999999999
58	MIR363	124.59
59	MIRLET7F2	122.981
60	NONO	121.8545
61	MIR200B	121.75550000000001
62	MIR1-2	121.549
63	MIR1-1	120.965
64	TRA2B	120.56949999999999
65	MIR21	120.3895
66	MIR199A1	119.7635
67	SF3B1	119.65599999999999
68	MIR92A1	118.43800000000002
69	YBX3	118.15
70	MIR128-1	116.4665
71	MIR19A	116.455
72	MIR20B	116.0685
73	MIR128-2	115.68050000000001
74	MIR16-2	115.35999999999999
75	MIR205	113.2615
76	MIR15B	113.053
77	MIR7-2	112.348
78	MIR138-2	109.5655
79	EPRS	109.5625
80	EIF2AK2	109.0605
81	DARS	108.76100000000001
82	MIR98	107.68499999999999
83	FAM98A	107.24549999999999
84	MIR31	106.96199999999999
85	MIR29A	106.34700000000001
86	SF3B3	106.157
87	PTBP3	105.1365
88	MIR18B	104.74099999999999
89	MIR206	104.454
90	MIR93	103.8445
91	MIR221	103.84049999999999
92	MIRLET7B	101.08
93	MIR19B1	99.651
94	MIR107	98.47200000000001
95	MIR7-1	98.3515
96	ZNF385A	98.0
97	MIR17	96.94149999999999
98	MARS	96.7525
99	PDCD11	96.7435
100	RARS	96.3485
101	UPF1	96.244
102	LIN28A	96.24300000000001
103	HNRNPL	93.383
104	IARS	93.2475
105	MIR200C	91.8505
106	DDX21	90.55799999999999
107	DHX36	90.09349999999999
108	MIR19B2	89.3585
109	MIR25	89.259
110	QARS	89.042
111	MIR214	87.837
112	MIR92A2	85.7345
113	MIRLET7I	85.075
114	YBX1	83.63550000000001
115	MIRLET7A2	82.846
116	TRA2A	81.5575
117	MIR34A	81.54650000000001
118	MIRLET7A3	81.176
119	MIRLET7F1	80.336
120	SUGP2	79.44500000000001
121	SF3B2	78.4375
122	RTCA	77.396
123	KARS	76.0395
124	MIR106B	75.1385
125	MIRLET7D	73.4495
126	NOL6	73.135
127	ESRP1	71.999
128	MIRLET7A1	70.74249999999999
129	MIRLET7E	70.53999999999999
130	STRBP	69.426
131	MIRLET7G	66.239
132	SF3B4	64.5335
133	ZNF346	64.334
134	PRMT1	61.326499999999996
135	U2SURP	60.63250000000001
136	KNOP1	59.032999999999994
137	C9orf114	59.03099999999999
138	G3BP2	58.331999999999994
139	CELF2	58.2965
140	CELF1	58.230500000000006
141	LRPPRC	58.2285
142	NUDT21	56.92999999999999
143	LARS	56.927499999999995
144	C1QBP	55.327
145	DHX37	54.928999999999995
146	PLOD1	54.422000000000004
147	YBX2	54.331500000000005
148	PUM1	51.928
