rank	node	rank_score
1	HNRNPA1	177.899
2	APOBEC3B	176.99949999999998
3	HNRNPH3	176.9985
4	TAF15	174.89749999999998
5	FUS	172.796
6	HNRNPA2B1	171.998
7	SFPQ	170.897
8	AGR2	170.7945
9	HNRNPA3	170.3955
10	MATR3	169.095
11	DDX1	168.59300000000002
12	PUF60	166.6895
13	HNRNPA0	166.59650000000002
14	PTBP1	166.394
15	UTP20	163.2765
16	MIR9-3	161.8885
17	MIR140	159.4875
18	RBM14	159.09
19	NONO	158.3935
20	HNRNPH2	157.9915
21	MIR20A	156.4865
22	MIR199A2	155.88600000000002
23	RTCB	155.4855
24	HNRNPK	155.391
25	MIR200A	154.58499999999998
26	HNRNPF	154.48899999999998
27	HNRNPR	153.28699999999998
28	HNRNPM	152.58800000000002
29	MIR1-2	152.5845
30	DDX3X	151.582
31	IGF2BP3	149.28400000000002
32	MIR145	148.7835
33	MIR138-1	148.18099999999998
34	MIR106A	147.8825
35	DARS	147.4735
36	MIR29B1	145.6815
37	MIR200B	145.2795
38	SYNCRIP	144.683
39	MIR18B	142.27849999999998
40	EPRS	141.5725
41	IGF2BP2	140.18
42	PINK1	140.092
43	MIR20B	140.0755
44	IGF2BP1	137.879
45	MIR451A	137.573
46	MIR16-1	137.3775
47	LARP7	135.876
48	MIR29C	135.474
49	METTL14	134.0925
50	IARS	133.7745
51	MIR29A	133.675
52	MIR199A1	133.571
53	PTBP3	132.167
54	RARS	131.07150000000001
55	TRA2B	131.0645
56	QARS	130.86849999999998
57	MIR429	128.9805
58	MIR17	127.67
59	MARS	127.4695
60	MIR138-2	126.9675
61	MIR98	126.56199999999998
62	FAM98A	126.561
63	MIR15A	126.077
64	MIR31	126.06599999999999
65	MIR16-2	125.768
66	MIR7-2	122.96399999999998
67	MIR92A2	122.0655
68	MIR206	120.069
69	EIF2AK2	119.36300000000001
70	YBX3	119.2665
71	MIR128-1	118.5625
72	MIR9-1	117.7705
73	MIR25	116.36500000000001
74	MIR155	115.9615
75	SF3B1	111.8635
76	MIR92A1	111.672
77	MIR19B2	111.5605
78	PRMT1	110.378
79	MIR7-3	110.15900000000002
80	SF3B3	108.9585
81	MSI2	107.25750000000001
82	MIR205	107.0565
83	MIR363	105.357
84	KARS	105.25999999999999
85	MIR15B	105.2595
86	MIR7-1	104.753
87	DHX36	103.15599999999999
88	MIR19B1	102.958
89	MIRLET7F2	102.75349999999999
90	MIR200C	101.255
91	MIR128-2	100.851
92	EGFL8	99.0
93	UPF1	97.954
94	MIR9-2	97.25550000000001
95	MIR214	96.0545
96	MIR106B	93.352
97	MIRLET7E	93.2485
98	NOL6	92.9515
99	PDCD11	92.0505
100	MIRLET7A3	91.45
101	MIRLET7F1	91.0495
102	RBFOX2	90.2435
103	SF3B2	89.2525
