rank	node	rank_score
1	UBE2I	180.1
2	MYB	178.2995
3	PML	177.999
4	CREBBP	175.298
5	HIPK2	172.097
6	PLAGL1	172.0915
7	TP73	171.294
8	KAT5	171.1885
9	JUN	169.496
10	KAT2B	169.3945
11	EP300	169.0935
12	HIF1A	168.495
13	SUMO1	168.1775
14	RUNX1	167.9985
15	SIRT1	166.69549999999998
16	HDAC1	166.692
17	SP1	165.1925
18	MDM2	164.9905
19	AR	162.9875
20	PIAS1	161.8845
21	DAXX	161.58499999999998
22	CEBPB	159.09
23	MYOD1	157.1825
24	RUNX2	156.693
25	NCOR1	155.983
26	FOS	155.79749999999999
27	PARP1	154.59650000000002
28	E2F1	153.9865
29	ETS1	153.9855
30	CREB1	153.982
31	STAT3	153.8835
32	SP3	152.487
33	HDAC3	152.28400000000002
34	ATF3	151.98899999999998
35	RELA	151.68800000000002
36	SMAD3	150.891
37	NCOR2	147.78050000000002
38	PPARG	146.88150000000002
39	SMARCA4	146.57999999999998
40	TBP	144.88600000000002
41	KLF5	144.078
42	VDR	140.9755
43	NFATC1	140.4795
44	CEBPA	139.977
45	NCOA6	139.5785
46	NFKB1	139.475
47	RARA	138.076
48	SIN3A	137.981
49	NCOA3	137.474
50	NCOA1	137.1745
51	RXRA	134.57350000000002
52	SRF	133.373
53	PPARGC1A	132.4705
54	HDAC2	132.07649999999998
55	HNF4A	131.971
56	MAPK1	131.47150000000002
57	HDAC4	129.8725
58	ZBTB16	127.572
59	NR0B2	127.46900000000001
60	NR3C1	126.5685
61	NR1H2	125.57000000000001
62	CDKN1A	124.4695
63	SMARCA2	122.968
64	CCND1	122.36749999999999
65	NR1H3	120.76700000000001
66	NR1I2	120.0635
67	NCOA2	118.26399999999998
68	PPARD	118.1655
69	ZBTB7A	116.179
70	SMARCC1	115.6665
71	STAT1	115.665
72	TDG	115.3625
73	ESR1	115.0645
74	NRIP1	114.76599999999999
75	CARM1	110.56300000000002
76	E2F4	108.95900000000002
77	BRCA1	108.26050000000001
78	PGR	104.95349999999999
79	CTBP1	104.15950000000001
80	FHL2	103.6585
81	BCL3	103.06199999999998
82	SMAD2	101.361
83	SMARCC2	101.26
84	DNMT1	100.157
85	SMARCB1	99.25750000000001
86	EZH2	98.85799999999999
87	CTNNB1	97.75550000000001
88	ARID1A	96.5565
89	AKT1	96.356
90	SMARCE1	94.9525
91	TOP2B	93.55199999999999
92	SOX2	91.454
93	TP63	90.0615
94	MYC	89.4515
95	NR2C1	87.3495
96	RBBP4	87.05
97	SMARCD2	86.9505
98	KDM1A	86.749
99	FLI1	86.04400000000001
100	ING1	83.547
101	NFATC2	82.751
102	FOXO1	82.5545
103	NR4A1	82.042
104	SMARCD1	80.54549999999999
105	TBL1XR1	77.6465
106	SMAD4	75.85499999999999
107	TRIM28	72.44800000000001
108	TP53BP1	71.64750000000001
109	PIAS2	71.44300000000001
110	XRCC6	70.346
111	ACTL6A	67.1005
112	NR1H4	66.328
113	HIST1H4A	63.1395
114	YY1	60.413
115	POU2F1	57.757999999999996
116	HDAC5	55.94449999999999
117	CHD3	55.14149999999999
118	HIST1H3A	54.519499999999994
119	SMARCA5	52.94
120	PBRM1	52.802499999999995
121	SMARCD3	52.2405
122	BRD4	51.637
123	SS18L1	51.44
124	SS18	50.7395
125	RBBP7	49.445
126	DPF2	49.039
127	CHD4	48.8405
128	DDIT3	48.741
129	RELB	47.9445
130	DPF1	47.638
131	MTA2	47.541
132	ARID1B	47.5385
133	NFE2L2	47.448
134	ARID2	45.9375
135	GATA1	45.4425
136	DPF3	45.036500000000004
137	GLTSCR1	44.536
138	SUZ12	44.4225
139	BCL7A	44.0355
140	MTA1	43.439
141	BRD9	43.1345
142	SPI1	42.766999999999996
143	PHF10	42.735
144	BCL7C	41.934000000000005
145	MBD3	41.3375
146	ETS2	41.26649999999999
147	STK11IP	41.2335
148	SIN3B	40.338499999999996
149	TAF6	38.6125
150	BPTF	38.334
151	HCFC1	37.836
152	KAT2A	37.727
153	GATAD2B	37.5345
154	SAP30	37.435
155	IKZF1	36.4435
156	RXRG	35.459
157	GATAD2A	35.1325
158	TEX13B	34.533
159	MBD2	33.732
160	HMGXB4	33.028999999999996
161	SS18L2	32.1305
162	BRD2	32.011
163	BCL7B	31.925
164	MTA3	31.431
165	SUDS3	30.533500000000004
166	SFPQ	29.5365
167	SMARCA1	29.326
168	SUV39H1	29.0485
169	C17orf49	28.7275
170	FOXK2	28.438
171	SAP130	28.232999999999997
172	RBBP5	28.201999999999998
173	XRCC5	26.303499999999996
174	BRMS1L	26.23
175	MTF2	25.728499999999997
176	PRKDC	25.3275
177	LIN9	24.8305
178	JUND	24.231
179	MYBL2	24.226999999999997
180	PWWP2A	23.928
181	DNMT3L	23.346
182	ATF2	23.3315
183	ARID4B	21.829500000000003
184	BCL11A	21.6265
185	CDK2AP1	20.825499999999998
186	SATB1	20.653
187	EPAS1	19.8325
188	GATAD1	19.3245
189	RUNX3	19.189500000000002
190	LIN37	18.525
191	CHD7	18.503
192	KPNA1	18.2145
193	HIST3H3	18.017000000000003
194	PHF1	17.923000000000002
195	BCL6	17.4455
196	SHPRH	17.2235
197	BCL11B	16.4315
198	CHD5	15.524000000000001
199	ZNF512B	15.522
200	USP7	15.349
201	ARNT	14.932999999999998
202	EED	13.9215
203	HAT1	13.521
204	ASF1A	13.413499999999999
205	DNMT3B	13.109
206	ZNF219	12.819999999999999
207	PPARA	12.36
208	THRB	12.156
209	HIST1H2BB	12.100999999999999
210	PHF12	11.9205
211	NKX2-1	11.3225
212	THRA	11.256499999999999
213	ASH2L	10.7295
214	LIN52	10.419
215	MED1	10.3255
216	CHAF1B	10.2185
217	CHAF1A	10.0175
218	DPY30	9.918000000000001
219	CIC	8.0355
220	GTF2I	7.909999999999999
221	ING2	7.2155000000000005
222	ZNF296	7.016499999999999
223	H2AFX	6.1085
224	JUNB	5.8285
225	HJURP	5.4159999999999995
226	H2AFY	5.3095
227	TERF2IP	5.212000000000001
228	MEN1	4.9285
229	TRPS1	4.914
230	SMAD1	4.726
231	BRMS1	4.214499999999999
232	FOXK1	4.015
233	ZMYND8	4.0115
234	H2AFZ	4.007
235	DDB1	3.308
236	CBX3	3.0105
237	RCOR1	2.3055
238	ZMYM2	1.9065
239	ARID4A	1.8074999999999999
240	H3F3A	1.3045
241	HIST1H2BG	0.9039999999999999
242	ADNP	0.606
243	CBX5	0.605
244	CENPA	0.3015
245	CDKN1C	0.0985
246	CBFB	0.098
247	TOPORS	0.0965
248	BRD7	0.034
249	MAPK8	0.028000000000000004
250	EGR1	0.027500000000000004
251	KPNA2	0.026500000000000003
252	CSNK2A1	0.0215
253	EHMT1	0.0015
254	EHMT2	0.0005
