rank	node	rank_score
1	MIF	179.8995
2	TKT	178.499
3	HSPA4	178.1
4	PARK7	175.4985
5	CALM1	174.59650000000002
6	SOD1	172.196
7	PGAM1	171.09449999999998
8	STMN1	168.7935
9	PDIA3	168.294
10	PPIB	167.5915
11	LDHA	167.097
12	PTMS	166.9925
13	ANP32B	166.59300000000002
14	ANXA5	166.592
15	TPI1	166.2955
16	PHOSPHO1	165.895
17	CALR	164.0905
18	TRIM24	161.29000000000002
19	DDX39B	161.18699999999998
20	HMGN1	161.09099999999998
21	HSPE1	160.58800000000002
22	PFN1	160.289
23	ATPIF1	159.3895
24	BASP1	159.2885
25	SUMO2	159.1875
26	SQSTM1	156.698
27	PDIA4	155.5865
28	PRKCSH	155.286
29	MARCKS	154.0855
30	NEDD4	153.08499999999998
31	FKBP3	152.7845
32	CFTR	151.8825
33	ANP32A	150.984
34	AGR2	150.779
35	PTMA	150.6835
36	CKB	148.583
37	CFL1	145.7765
38	HSP90B1	144.4815
39	ENO1	143.881
40	RBM8A	143.778
41	UBE2M	143.4795
42	NACA	143.4785
43	ALDOA	143.28
44	TPM3	142.976
45	ATF2	142.8805
46	PARK2	139.8775
47	MDH2	137.477
48	PRDX3	137.27550000000002
49	CDK2	135.275
50	AAR2	133.87449999999998
51	BIRC3	132.573
52	YWHAZ	132.4975
53	PRDX1	131.1705
54	PINK1	127.97
55	YAP1	127.869
56	HSPA9	127.47150000000002
57	GAPDH	126.3685
58	PKM	126.26700000000001
59	PRDX2	125.56949999999999
60	PRPF8	125.5675
61	DNM1L	124.67350000000002
62	P4HB	123.774
63	PRDX6	123.7665
64	MCM2	123.171
65	HSPA5	122.9725
66	EEF2	122.96549999999999
67	PPIA	120.66399999999999
68	HSD17B10	119.965
69	TXN	119.06599999999999
70	STIP1	117.968
71	PIH1D1	117.4635
72	HMGB1P1	115.282
73	HUWE1	114.05999999999999
74	FN1	112.8625
75	EFTUD2	112.76050000000001
76	PDIA6	112.65950000000001
77	HSP90AB1	112.36100000000002
78	METTL14	111.86300000000001
79	U2AF2	110.862
80	NAA40	109.356
81	FASN	106.75750000000001
82	HSP90AA1	105.95900000000002
83	PCMT1	105.953
84	PHB	105.1585
85	ATP5A1	104.65799999999999
86	ATXN3	101.857
87	HSPH1	101.0545
88	PPT1	99.0535
89	MSN	98.6615
90	FUS	97.7515
91	TFCP2	97.6525
92	YWHAQ	97.352
93	HNRNPA1	95.75550000000001
94	ATP5B	95.151
95	DLD	92.35499999999999
96	VCAM1	92.14750000000001
97	HEXIM1	91.9505
98	RBM39	91.9495
99	VCP	91.35
100	HSPA8	91.348
101	PSMA3	90.349
102	NME1	89.4485
103	CCT2	86.2465
104	TUBB	85.346
105	MYC	85.24549999999999
106	MTHFD1	85.144
107	CTNNB1	83.745
108	CCT8	83.247
109	HDAC5	81.5435
110	TARDBP	80.6425
111	YWHAE	78.843
112	TCP1	78.242
113	ITGA4	76.44149999999999
114	BRD4	75.73949999999999
115	CCT4	75.738
116	CDC73	73.8385
117	PCBP1	72.84049999999999
118	CCT3	72.4375
119	EEF1G	71.939
120	EEF1B2	70.1445
121	HDAC6	69.0365
122	JUP	68.654
123	PHGDH	67.1335
124	ISG15	66.929
125	HNRNPA2B1	66.041
126	CCT5	66.0355
127	CCT7	65.037
128	NPM1	64.74
129	RECQL4	63.636
130	HNRNPK	63.6345
131	EEF1A1	62.634
132	BRCA1	61.735
133	PHB2	60.43050000000001
134	FGD5	59.93150000000001
135	CCT6A	59.2285
136	NTRK1	58.83299999999999
137	WDR5	58.63250000000001
138	TUBA1C	58.327999999999996
139	EEF1D	56.931999999999995
140	CAD	56.8275
141	TUBB4B	56.33
142	FAF1	55.431
143	DNAJA1	53.2265
144	UFL1	51.126999999999995
145	RIN3	51.025999999999996
146	SDHA	48.9565
147	RPSA	46.6255
148	CUL1	45.623000000000005
149	CLTC	44.724000000000004
150	MEPCE	44.4245
151	PTBP1	43.9225
152	PABPC1	41.122
153	EPRS	40.925
154	PCBP2	40.521
155	LGALS9	40.419
156	RPS3	40.3195
157	RUVBL1	39.8185
158	ENO3	39.6645
159	FANCD2	39.1205
160	HNRNPD	38.3215
161	XRCC6	36.929500000000004
162	EIF4A1	35.416
163	CAND1	33.6155
164	CDK9	33.018
165	HNRNPA3	32.7175
166	CUL3	32.714999999999996
167	STAU1	31.516499999999997
168	DDX17	30.517000000000003
169	TRIM28	29.613
170	SLC25A5	28.913999999999998
171	NDN	28.5135
172	CYLD	26.419999999999998
173	ACTB	25.314500000000002
174	RPS4X	24.011000000000003
175	CUL2	22.712
176	BTF3	21.0095
177	RPL12	21.0085
