rank	node	rank_score
1	ZNF510	180.1
2	C9orf156	178.8995
3	HEMGN	178.499
4	KAT2B	177.19850000000002
5	RPA1	175.6975
6	IL24	175.098
7	FBP2	174.496
8	FANCC	173.195
9	PCNA	172.897
10	MLH3	172.69650000000001
11	BAAT	170.9955
12	CYLC2	169.2945
13	BUB1	166.893
14	TSTD2	166.2925
15	PPP3R2	165.394
16	SMAD1	165.0915
17	RB1	164.7905
18	CCDC180	164.79000000000002
19	XPA	164.289
20	CREBBP	163.791
21	SP1	159.08499999999998
22	HDAC1	158.2895
23	TDRD7	158.083
24	RAD9A	153.788
25	ATR	152.9885
26	CEBPB	152.8845
27	AR	152.88150000000002
28	SOX4	152.28199999999998
29	STK11	150.9835
30	CDK1	150.779
31	CDKN2A	149.6825
32	PML	149.5855
33	CHUK	147.9875
34	BRCA1	145.981
35	MAP2K1	144.6935
36	CCNE1	142.9805
37	SMARCA4	142.87849999999997
38	HIF1A	140.5795
39	ETS1	135.78
40	RUNX2	135.587
41	JUN	134.978
42	FOXO3	134.9765
43	NCOR2	133.477
44	RUNX1	127.576
45	FOS	125.17550000000001
46	ATF3	121.66900000000001
47	UBE2I	121.475
48	PMS2	121.28400000000002
49	MAPK1	119.674
50	NCOA3	119.67249999999999
51	VDR	117.673
52	MAPK3	116.97449999999999
53	TP73	115.6695
54	SIRT1	114.57000000000001
55	CEBPA	114.36800000000001
56	RELA	114.0625
57	E2F1	114.0565
58	MDM2	113.1655
59	HNF4A	112.27350000000001
60	NCOA1	111.872
61	NCOR1	110.471
62	RASSF1	110.45349999999999
63	RARA	110.2675
64	IKBKB	109.251
65	TDG	108.3665
66	PPARG	106.1645
67	CDK6	105.97049999999999
68	HDAC3	105.763
69	RXRA	105.36399999999999
70	NCOA6	104.8635
71	PIAS1	104.46700000000001
72	NFKB1	100.957
73	STAT1	100.76
74	PPARGC1A	99.565
75	CDK4	99.053
76	FOXO1	98.966
77	SRF	98.3585
78	NR1I2	98.162
79	CDKN1A	96.756
80	NCOA2	96.4615
81	KAT2A	96.25750000000001
82	SRC	94.249
83	MAPK14	93.7525
84	PPARD	92.961
85	NR4A1	92.25450000000001
86	BCL3	91.648
87	HSP90AA1	89.8465
88	HDAC2	89.75800000000001
89	STAT3	89.5475
90	NR1H3	87.15950000000001
91	E2F4	85.8515
92	TOPBP1	84.80699999999999
93	MDM4	83.9455
94	MAP2K3	83.729
95	THRB	82.8495
96	NR0B2	82.6605
97	NR1H2	81.959
98	LATS2	81.539
99	PGR	80.143
100	TERT	80.03
101	RXRG	78.9505
102	CIITA	77.2715
103	RBL1	76.752
104	STUB1	75.333
105	RAF1	74.5255
106	GSK3B	73.446
107	EPHA2	73.42699999999999
108	CDKN2B	72.9285
109	BECN1	71.0275
110	ERBB2	70.923
111	ATM	70.7485
112	PRKDC	70.144
113	NFE2L2	69.947
114	HSPB1	69.918
115	PDGFRL	69.486
116	MAP2K5	68.8265
117	HDAC4	68.4555
118	HGF	68.326
119	FGFR4	67.7245
120	ALDOB	66.483
121	SMARCA2	66.455
122	CTNNA1	66.38050000000001
123	NF2	66.128
124	TEAD2	65.925
125	GLIS2	65.724
126	SKP2	65.241
127	MAP2K6	64.6235
128	CDKN2C	64.022
129	PDGFRA	63.0215
130	HSPA4	62.330999999999996
131	DACH1	61.939499999999995
132	DNMT1	61.8365
133	CD44	61.322500000000005
134	ZEB1	60.9775
135	CBLC	60.31949999999999
136	PLAGL1	58.8685
137	MET	58.220000000000006
138	TBP	56.854
139	MAP3K5	56.721000000000004
140	FZR1	55.820499999999996
141	XRCC6	55.5345
142	RPA2	55.3005
143	HIPK2	55.215999999999994
144	NR1H4	54.23350000000001
145	HDAC6	54.1315
146	KAT5	53.645
147	CCNA2	51.95
148	ATF2	51.44449999999999
149	ANP32B	50.3865
150	HSF1	50.332
151	FRAT2	49.18
152	MYOD1	49.1435
153	XRCC5	48.5305
154	CREB1	47.9425
155	ZBTB7A	47.934000000000005
156	DAXX	47.6185
157	CEBPD	46.942
158	BTRC	46.6135
159	ABL1	46.314499999999995
160	NRIP1	45.8095
161	HSP90AB1	45.5175
162	CSNK2A1	44.5415
163	CDKN1C	44.540499999999994
164	CDK2	43.838499999999996
165	CCNA1	43.6375
166	DDB1	41.7125
167	CUL4A	38.815
168	VHL	38.429500000000004
169	THRA	37.013
170	NR3C1	36.117000000000004
171	FOXM1	35.832499999999996
172	MRE11A	33.838
173	PTPRJ	33.492
174	RBL2	32.837
175	MSH3	32.3825
176	ZEB2	32.2055
177	HUS1	30.880000000000003
178	ARAF	30.6135
179	RAD1	30.3805
180	CHEK1	29.212
181	SPI1	26.54
182	KDELR2	24.5245
