rank	node	rank_score
1	CTNNB1	176.399
2	HDAC1	172.097
3	SKI	171.29850000000002
4	HDAC2	156.089
5	UBE2I	155.8885
6	NCOR1	151.88299999999998
7	KLF5	150.88600000000002
8	HIST1H4A	150.794
9	SMARCA4	139.45
10	JUN	139.2775
11	TP53	138.945
12	PML	136.528
13	CREBBP	136.073
14	RUNX1	135.78699999999998
15	SP1	135.329
16	SMURF2	133.495
17	BRCA1	132.5335
18	EP300	131.9275
19	ESR1	130.57350000000002
20	SMAD7	129.2955
21	CEBPB	128.314
22	NCOR2	126.62449999999998
23	PARP1	122.835
24	EZH2	122.357
25	ZBTB7A	121.0875
26	NR3C1	120.52649999999998
27	HDAC3	119.5325
28	SOX2	117.28150000000001
29	KIAA1429	117.1935
30	ZEB2	117.082
31	HIF1A	116.704
32	DAXX	116.3445
33	PRKDC	116.21849999999999
34	MKRN2	114.99650000000001
35	TBL1XR1	114.18800000000002
36	DNMT1	113.74249999999999
37	HSP90AA1	112.49949999999998
38	CHD4	111.7935
39	SMURF1	111.785
40	RARA	111.70900000000002
41	USP44	108.793
42	MYC	108.20149999999998
43	RB1	107.82849999999999
44	TRIM33	107.2805
45	SMARCC2	106.73899999999999
46	STUB1	106.4905
47	LINC01485	105.49749999999999
48	XRCC6	105.24549999999999
49	AR	104.905
50	CIC	103.5945
51	RBBP4	102.1745
52	PPARG	101.28
53	CEBPA	101.1735
54	ATF3	100.6765
55	STAT3	100.357
56	MTA2	98.684
57	MSX1	97.99600000000001
58	NR2C1	97.9405
59	BRD4	97.58
60	CTBP1	96.215
61	PIAS1	96.061
62	SMARCC1	95.84700000000001
63	SATB1	95.67699999999999
64	SPI1	94.3785
65	RELA	93.9705
66	SMARCA5	93.87899999999999
67	E2F1	93.4075
68	TDG	92.7695
69	KAT2B	92.6095
70	KAT5	91.8175
71	CDH11	91.6845
72	ETS1	91.616
73	PLAGL1	90.6215
74	MTA1	90.3785
75	SIRT1	88.92699999999999
76	KDM1A	88.776
77	MDM2	86.501
78	HIPK2	86.439
79	SMARCA2	84.91900000000001
80	CHD3	84.6725
81	TOP2B	82.3025
82	HCFC1	81.94800000000001
83	ZMIZ1	81.0625
84	TRIM28	80.907
85	DDX5	80.4715
86	GATAD2B	78.49
87	NFATC1	77.4385
88	MYOD1	76.3365
89	CREB1	75.84400000000001
90	RBBP7	75.672
91	MYB	75.43299999999999
92	MBD3	75.37950000000001
93	FHL2	75.237
94	AKT1	72.0525
95	NCOA3	71.69
96	BPTF	71.0715
97	NOTCH4	68.9
98	FOXO1	67.6505
99	SUMO1	65.84400000000001
100	NCOA6	65.6605
101	NRIP1	64.166
102	SUZ12	64.0535
103	XRCC5	63.836
104	GATAD2A	63.28099999999999
105	LEF1	62.991
106	SP3	62.863
107	HIST1H3A	61.054500000000004
108	ARID1A	60.911500000000004
109	YY1	59.323
110	MEN1	59.2855
111	TP73	58.64300000000001
112	PIN1	58.598
113	SMAD1	58.0865
114	MTA3	57.8765
115	USP7	57.4255
116	NKX2-2	56.2965
117	SAP30	55.6675
118	NFKB1	55.062
119	MBD2	54.375
120	RBPJ	54.342000000000006
121	ETV4	53.791999999999994
122	SUMO2	53.720499999999994
123	CAD	53.684000000000005
124	MAML1	53.265
125	NCOA1	52.963499999999996
126	PGR	51.9655
127	SIN3B	51.8605
128	SAP130	51.36800000000001
129	SKIL	51.278
130	RXRA	51.259
131	FOXK2	51.253
132	NKX3-2	50.81699999999999
133	CDK2AP1	50.070499999999996
134	APEX1	49.9345
135	KMT2A	49.7355
136	SMARCA1	49.6595
137	SUDS3	49.367000000000004
138	LIN9	48.571000000000005
139	MTF2	48.3655
140	C17orf49	48.1695
141	SMARCB1	48.0055
142	CARM1	47.9665
143	EED	47.451499999999996
144	BRMS1L	46.9645
145	PWWP2A	45.769999999999996
146	SMARCE1	45.6155
147	HIC1	45.126
148	ARID4B	44.662
149	HMGXB4	43.664
150	NFATC2	43.032
151	PHF1	42.758500000000005
152	TFAP2A	42.256
153	BCL11A	41.466499999999996
154	TWIST1	41.322500000000005
155	FOS	40.972
156	GTF2I	40.81
157	BCL11B	40.369
158	ZBTB16	40.3405
159	SALL1	40.2755
160	NFE2L2	39.241499999999995
161	MYBL2	38.6625
162	ING1	37.6485
163	TGFBR1	37.592
164	CEBPD	37.275
165	SHPRH	37.063
166	VDR	36.955
167	LIN37	36.866
168	WWP1	36.598
169	ZNF512B	36.36
170	SRF	36.269999999999996
171	CHD5	35.8635
172	HSPA8	35.620999999999995
173	H2AFX	35.546
174	GSK3B	35.048
175	ING2	35.0465
176	CHD7	35.024
177	SFPQ	34.6385
178	TGIF1	34.5905
179	GATAD1	34.2685
180	RUNX3	33.935
181	MAFK	32.876
182	PIAS2	32.734500000000004
183	MAPK1	32.0595
184	HAT1	31.6555
185	LIN52	31.058
186	DDB1	30.809000000000005
187	ZMYM2	30.6125
188	PHF12	30.561500000000002
189	ESR2	30.391499999999997
190	ZNF219	28.865
191	H2AFY	28.838
192	CHAF1A	28.253999999999998
193	TRIM25	27.859
194	NR4A1	27.8435
195	CHAF1B	27.455000000000002
196	ZNF296	27.361
197	NR1H2	27.1185
198	YAP1	26.910500000000003
199	DPY30	26.3495
200	HDAC4	26.338
201	NCOA2	23.547
202	ZMYND8	23.2525
203	STAT1	22.5195
204	PPARGC1A	22.3565
205	HJURP	22.2575
206	DHX9	22.128
207	RBBP5	21.7125
208	CENPA	21.630000000000003
209	E2F4	21.54
210	HIST3H3	20.7475
211	BAZ1A	20.450499999999998
212	FGF1	19.6995
213	PLEKHA4	19.589
214	TGFB1	19.5
215	APP	19.4965
216	HNF4A	19.253999999999998
217	FGF23	19.198500000000003
218	CDC16	18.856
219	MBD3L2	18.759
220	NR0B2	18.1265
221	FOXC1	17.878
222	BRMS1	17.851
223	TERF2IP	17.823500000000003
224	HSPA5	17.5905
225	MYOCD	17.5895
226	CBX5	17.1295
227	ARID4A	16.843
228	ELAVL1	16.721
229	TBP	16.447499999999998
230	FOXK1	16.434
231	MAML2	16.378
232	SAP30L	15.739500000000001
233	IGHV1-2	15.193999999999999
234	HIST1H2BB	15.013
235	H2AFZ	14.9345
236	HIST1H2BG	14.431000000000001
237	CBX3	14.325
238	SMAD5	14.2835
239	GATA3	14.211000000000002
240	H3F3A	14.0255
241	NFIX	13.981
242	HDAC5	13.918000000000001
243	FAM60A	13.641499999999999
244	TGIF2	13.540000000000001
245	RCOR1	13.109
246	SMARCD2	13.006499999999999
247	MBD3L1	12.5375
248	PHF20L1	11.849
249	TAL1	11.774000000000001
250	EHMT1	11.7165
251	EPAS1	11.5905
252	KHDRBS1	11.312000000000001
253	TCF20	10.618
254	ASF1A	10.3305
255	BRD2	10.3135
256	NR1H3	10.255500000000001
257	KDM5B	10.206
258	UHRF1	10.1105
259	SETD1A	10.1015
260	TGIF2LX	10.0435
261	KDM5A	9.952
262	BCL3	9.9445
263	SUV39H1	9.631499999999999
264	SETD7	9.5135
265	FOXO4	9.451
266	EHMT2	9.4035
267	VHL	8.744
268	ADNP	8.641
269	NR1H4	8.4225
270	CUL4B	8.2975
271	SNW1	7.9325
272	PBRM1	7.608
273	CBX1	7.433
274	HNRNPD	7.3065
275	TOP2A	7.034000000000001
276	ARNT	6.931
277	HSPA4	6.846000000000001
278	CHAMP1	6.803
279	TP53BP1	6.715999999999999
280	DNMT3L	6.712999999999999
281	ATRX	6.62
282	TAF6	6.508500000000001
283	DDX17	6.4215
284	CSNK2A1	6.3340000000000005
285	HIST1H4I	6.0195
286	BCL6	5.6205
287	ZEB1	5.21
288	ZMYM3	5.2045
289	KDM6A	5.1049999999999995
290	BAZ1B	5.0329999999999995
291	KPNA1	4.6065
292	WIZ	4.2145
293	NR4A2	4.2005
294	IKZF1	3.312
295	USF1	3.0140000000000002
