rank	node	rank_score
1	PRDX1	179.199
2	YWHAQ	177.99949999999998
3	TANGO2	176.9985
4	GAPDH	156.4975
5	YWHAZ	156.0885
6	CFL1	155.298
7	LDHB	150.895
8	YWHAE	140.3355
9	GLRX	140.1
10	AGR2	118.59
11	G6PD	117.19650000000001
12	PRKCZ	116.197
13	ALDH7A1	114.99600000000001
14	PRDX5	94.8955
15	LDHA	88.394
16	ENO1	86.99300000000001
17	PARK7	86.89349999999999
18	UBE2M	85.2915
19	TKT	85.1925
20	TPI1	84.98949999999999
21	PGK1	84.2905
22	PRDX2	84.189
23	PPIA	83.5945
24	MIF	82.086
25	NTRK1	80.6415
26	PKM	79.991
27	AAR2	79.7875
28	PRDX6	79.58500000000001
29	PRPF8	79.187
30	ALDOA	79.1865
31	HSPE1	76.875
32	YWHAG	75.893
33	TXN	75.38300000000001
34	EIF5	75.196
35	TAGLN2	75.1815
36	CAPNS1	74.494
37	NAA40	74.4855
38	YWHAH	73.89500000000001
39	MCM2	73.788
40	EFTUD2	73.78450000000001
41	ISOC1	73.09349999999999
42	PIH1D1	72.88250000000001
43	CDK2	72.5805
44	FERMT2	71.812
45	HSD17B10	71.4795
46	PARK2	71.479
47	FAM53B	70.2905
48	SPR	70.181
49	YWHAB	69.691
50	IRS2	69.1985
51	SAMSN1	68.99199999999999
52	PINK1	68.8835
53	SPATA13	68.6925
54	PCMT1	68.67999999999999
55	SFN	68.48949999999999
56	FAM163A	68.09
57	ZNF395	67.7915
58	KIAA0930	67.289
59	TNK1	66.688
60	DMTN	66.2875
61	SMTNL2	65.687
62	PPP1R3D	65.2885
63	SIK3	64.986
64	CDCA7	64.8865
65	FAM86C1	64.2855
66	HSPA9	63.992
67	FAM122B	63.885000000000005
68	PRDX3	62.9645
69	DNM1L	61.577999999999996
70	STIP1	61.476
71	HEXIM1	61.471000000000004
72	CBY1	61.282
73	PGAM1	61.2725
74	SPIRE1	60.88099999999999
75	HUWE1	60.751999999999995
76	CRTC1	60.480500000000006
77	PI4KB	60.277
78	KLC2	59.484
79	MAP3K2	59.479
80	PAK4	59.437
81	EEF2	58.9785
82	CRTC2	58.9785
83	KLC4	58.48350000000001
84	KIF5C	58.0825
85	KLC1	57.483000000000004
86	KLC3	57.081500000000005
87	BIRC3	56.665499999999994
88	NME1	56.584
89	KIF5A	56.48
90	FASN	56.4485
91	EXO1	56.2795
92	CLASP1	55.633
93	LNP1	55.092
94	HSP90AB1	54.5475
95	PPT1	54.539
96	UBFD1	54.491
97	PAK2	54.1905
98	METTL14	53.949
99	TBCB	53.5895
100	DAB2IP	53.53150000000001
101	VCL	53.289
102	ERP44	52.9885
103	SUMO2	52.068000000000005
104	PFN1	51.8685
105	YAP1	51.746500000000005
106	NEDD4	50.660000000000004
107	DSTN	50.277499999999996
108	HSP90AA1	50.140499999999996
