rank	node	rank_score
1	HNRNPA3	168.77550000000002
2	SFPQ	167.48499999999999
3	PTBP1	162.494
4	HNRNPA1	161.26749999999998
5	HNRNPA2B1	159.596
6	MIR9-3	156.2855
7	HNRNPK	155.47750000000002
8	MIR29B1	152.5815
9	FUS	152.3765
10	HNRNPA0	150.9685
11	DDX3X	150.792
12	MARS	149.775
13	HNRNPH2	149.36700000000002
14	TAF15	149.0795
15	UTP20	148.5915
16	NONO	148.5745
17	MATR3	146.378
18	MIR15A	146.2835
19	MIR29B2	145.3635
20	FAM98A	144.8905
21	HNRNPH3	144.763
22	MIR138-1	144.6825
23	MIR122	144.27100000000002
24	HNRNPL	144.182
25	APOBEC3B	141.64749999999998
26	MIR20A	141.06900000000002
27	MIR18A	139.587
28	MIR199A2	134.476
29	EPRS	134.0495
30	IGF2BP3	133.47150000000002
31	HNRNPF	132.865
32	MIR34C	132.0595
33	RBM14	131.3625
34	MIR16-1	131.2865
35	MIR9-2	131.2665
36	MIR429	130.783
37	DARS	129.85399999999998
38	DDX1	129.76399999999998
39	MIR451A	129.461
40	HNRNPM	129.4605
41	MIR7-3	128.9655
42	RARS	128.18099999999998
43	MIR143	128.074
44	MIR16-2	126.57000000000001
45	RTCB	126.5645
46	SYNCRIP	125.67849999999999
47	EIF2AK2	124.3545
48	PUF60	123.95250000000001
49	MIR106A	123.88
50	HNRNPR	123.65799999999999
51	MIR93	121.7895
52	MIR1-2	121.76199999999999
53	MIR7-2	119.1555
54	MSI2	118.34549999999999
55	IARS	118.24449999999999
56	MIR29C	117.96
57	TRA2B	117.5885
58	MIR363	117.1405
59	MIR199A1	116.57300000000001
60	MIR200B	116.47350000000002
61	MIR145	116.38050000000001
62	MIR92A1	116.043
63	SOCS3	115.8975
64	IGF2BP2	115.8875
65	MIR20B	114.7695
66	MIR9-1	114.55149999999999
67	MIR206	112.46599999999998
68	IGF2BP1	111.9585
69	MIR31	110.457
70	MIR107	110.2725
71	LARP7	110.252
72	HNRNPH1	109.89099999999999
73	MIR17	109.56800000000001
74	MIR29A	106.679
75	SF3B1	106.03800000000001
76	MIR18B	105.15349999999998
77	RBM4	104.056
78	MIR155	100.045
79	MIR138-2	99.0615
80	QARS	99.04249999999999
81	MIRLET7B	98.853
82	MIR19A	98.7565
83	MIR21	98.67699999999999
84	SF3B3	98.134
85	HSPA5	97.498
86	MIR128-1	95.644
87	MIR205	95.14200000000001
88	YBX3	94.4845
89	SH2B1	93.893
90	MIR92A2	93.1575
91	MIRLET7C	92.73949999999999
92	MIRLET7F2	91.637
93	MIR200C	90.9485
94	PTBP3	90.6935
95	RBFOX2	90.3415
96	SUGP2	90.328
97	KARS	89.6345
98	YBX1	89.5945
99	UPF1	88.84
100	G3BP2	88.0995
101	NOL6	87.0335
102	MIR1-1	86.9465
103	MIRLET7F1	86.241
104	MIR106B	85.539
105	MIR25	85.455
106	LRPPRC	84.329
107	DHX36	84.17049999999999
108	MIR19B1	82.047
109	MIRLET7I	81.272
110	PDCD11	80.64349999999999
111	MIR15B	80.449
112	MIRLET7A2	79.4325
113	MIR128-2	79.2365
114	PRMT1	78.32849999999999
115	LMBR1	77.798
116	MIR19B2	77.74600000000001
117	MYOC	76.9955
118	MIR34A	76.748
119	UBE2I	75.99300000000001
120	LIN28A	75.93299999999999
121	MIR7-1	73.85
122	PLOD1	73.0215
123	MIR34B	72.33500000000001
124	MIRLET7A3	71.8505
125	DDX21	71.751
126	MIRLET7E	70.8355
127	UBC	70.3925
128	CELF1	67.13050000000001
129	SF3B2	66.9385
130	RTCA	64.7375
131	MIRLET7A1	64.636
132	TRA2A	63.53099999999999
133	AGO2	62.1
134	MIRLET7G	61.43150000000001
135	SNX27	58.299
136	EP300	58.1965
137	ZNF346	58.1265
138	SF3B4	57.8275
139	AIMP2	57.529500000000006
140	C9orf114	56.897000000000006
141	U2SURP	55.831999999999994
142	NUDT21	53.227
143	PUM1	51.089999999999996
144	DHX37	49.826
145	LARS	49.0255
146	KNOP1	48.223
147	PURA	48.059000000000005
148	ZFR	47.6235
149	C1QBP	47.524
150	YBX2	47.03
151	AIMP1	44.225
152	MYEF2	43.413
153	LIN28B	42.1225
154	NTRK1	39.807
155	LINC01485	39.793
156	STRBP	39.622
157	SF3A1	39.2245
158	CPSF1	38.821000000000005
159	STAT1	38.79600000000001
160	ERAL1	37.320499999999996
161	AQR	36.516
162	ADARB1	36.318
163	ESRP1	35.72
164	NUDT16L1	34.4145
165	RNF4	34.3945
166	TP63	33.491499999999995
167	ATXN2L	30.5185
168	PAPD4	30.516499999999997
169	NUFIP2	29.319499999999998
170	MSI1	28.017500000000002
171	SYMPK	27.917
172	CRTAP	27.519
173	RBM39	24.205000000000002
174	SNRNP70	22.8045
175	GRSF1	22.2025
176	RBMS2	22.0085
177	EDC4	20.012
178	ELAVL1	19.889
179	STAU1	19.1135
180	WNT10A	18.895500000000002
181	HRK	18.698500000000003
182	JAK2	18.5915
183	MAPK8	18.3995
184	SOCS5	18.3835
185	FAIM2	18.294999999999998
186	PPARGC1B	17.7975
187	CDX2	17.395
188	RC3H1	16.1035
189	RC3H2	15.7005
190	NCOA1	15.5995
191	WDR5	15.105500000000001
192	WWP2	13.806000000000001
193	CPSF6	13.100999999999999
194	RIOK1	12.811000000000002
195	ILF2	11.706999999999999
196	RBM45	11.7035
197	PHB	11.6015
198	PUM2	11.409
199	CAND1	10.2005
200	HNRNPC	9.8065
201	CELF2	9.7115
202	ZC3H18	9.1155
203	NR2C2	8.809999999999999
204	SF3A3	8.505500000000001
205	RBMS1	8.1095
206	CUL3	5.015
207	DDX3Y	4.906000000000001
208	CDC5L	4.801
209	HNRNPD	4.704
210	FAM120A	4.603
211	CHD3	4.309
212	DDX5	4.2055
213	FAM98B	3.714
214	HEXIM1	3.21
215	OBSL1	3.114
216	ZNF385A	2.2125
217	MKRN1	2.2065
218	UFL1	1.9060000000000001
219	PABPC5	1.903
220	CUL7	1.5074999999999998
221	DDX23	1.4075
222	DAZL	1.308
223	HNRNPUL2	1.3039999999999998
224	TARDBP	1.2005000000000001
225	U2AF2	1.016
226	BIRC3	1.0105
227	DDRGK1	0.8155000000000001
228	ILF3	0.6014999999999999
229	ELAVL2	0.504
230	RBM10	0.1125
231	DDX58	0.0995
232	ZDHHC18	0.099
233	ST20-AS1	0.0985
234	CHFR	0.0975
235	CEBPB	0.097
236	SH2B2	0.097
237	CASC2	0.097
238	SMAD3	0.096
239	CAV1	0.096
240	ND4L	0.0955
241	NR4A2	0.095
242	WEE2-AS1	0.095
243	BID	0.095
244	CEND1	0.0935
245	ESR1	0.0935
246	GSK3B	0.0925
247	GNAS	0.092
248	TSPAN13	0.092
249	NCOR2	0.092
250	PLEKHA4	0.092
251	BLID	0.091
252	PSMA3	0.091
253	KIAA1429	0.09
254	PTBP2	0.0895
255	USP31	0.0895
256	ROBO4	0.089
257	TP53	0.0885
258	C6orf106	0.088
259	HIPK3	0.088
260	ASB2	0.0875
261	PIK3R1	0.0875
262	TRADD	0.0875
263	TRIB3	0.0865
264	JUND	0.086
265	RXRA	0.08549999999999999
266	RPA2	0.08499999999999999
267	BGLT3	0.08449999999999999
268	MAEL	0.08399999999999999
269	SRF	0.08399999999999999
270	DANCR	0.08249999999999999
271	NKX2-1	0.08149999999999999
272	ESRRA	0.076
273	CSF2	0.0655
274	IFI16	0.019
275	RBM12B	0.0165
276	SREK1	0.016
277	PURB	0.015
278	CUL1	0.014000000000000002
279	CPSF7	0.014000000000000002
280	ITFG1	0.013500000000000002
281	RECQL4	0.013000000000000001
282	KIF23	0.0115
283	CIT	0.011
284	ZCCHC11	0.010499999999999999
285	HDAC5	0.0095
286	COPS5	0.0075
287	EIF4H	0.006500000000000001
288	RPS3	0.006500000000000001
289	PRPF8	0.0055
290	RNF2	0.005
291	RBMX	0.005
292	DHX9	0.0045
293	PGAM5	0.004
294	EED	0.0035000000000000005
295	MEPCE	0.003
296	HNRNPU	0.0025
297	BRCA1	0.0025
298	SRSF3	0.0025
299	LARP4B	0.002
300	GSPT2	0.002
301	PABPC1	0.002
302	CHERP	0.002
303	PCBP1	0.002
304	SNRPA	0.0015
305	G3BP1	0.0015
306	PRPF40A	0.001
307	RPA3	0.001
308	PTCD3	0.0005
309	CMTR1	0.0005
