rank	node	rank_score
1	MET	179.8
2	FES	179.49949999999998
3	CDKN2B	178.199
4	MAP2K5	177.098
5	STK11	176.3985
6	GLIS2	175.9975
7	CCND2	174.697
8	FGFR4	173.3965
9	HGF	173.39600000000002
10	CDK6	171.69549999999998
11	TEAD2	171.395
12	CDK4	170.1945
13	RASSF1	169.094
14	MAP2K3	168.5935
15	EPHA2	167.493
16	LATS2	166.5925
17	GRM1	165.692
18	NF2	164.79149999999998
19	CD44	163.391
20	RAF1	162.6905
21	ERBB2	161.0895
22	ARNT	160.89000000000001
23	BECN1	160.789
24	KDELR2	159.988
25	PDGFRA	159.4885
26	AKT1	157.5875
27	CDKN2C	156.68699999999998
28	CDKN2A	155.7865
29	CBLC	154.686
30	CCNE1	154.1855
31	MAP2K6	153.08499999999998
32	MAP3K5	152.1845
33	MDM4	150.78400000000002
34	FZR1	149.8835
35	MYC	149.88299999999998
36	KAT2A	148.48250000000002
37	ARAF	148.182
38	TSC1	146.9815
39	TTYH2	145.68099999999998
40	MAPK14	145.07999999999998
41	TP53	143.8795
42	HSP90AA1	142.5785
43	AURKA	142.47899999999998
44	ABCB5	141.28050000000002
45	RELA	140.278
46	GLIS1	139.177
47	NFIC	138.6775
48	SOX4	137.9755
49	SOX3	137.57649999999998
50	IGF1R	136.076
51	DACH1	135.175
52	BRAF	133.97449999999998
53	HSP90AB1	133.674
54	CDC37	132.4735
55	HSPA1A	130.673
56	HSPA4	129.9725
57	STUB1	128.972
58	SRC	128.07150000000001
59	CTNNB1	127.171
60	IKBKB	126.2705
61	TUBB	125.36949999999999
62	MDM2	121.56599999999999
63	HSPA8	121.0675
64	AR	120.7665
65	SP1	116.6655
66	CDKN1A	116.5645
67	WHSC1L1	116.17
68	RB1	115.56500000000001
69	CDK1	114.064
70	ABL1	113.1615
71	VHL	111.0635
72	MAPK8	109.95900000000002
73	JUN	109.55999999999999
74	TP73	109.4605
75	KAT2B	109.2595
76	CDKN1B	108.4585
77	CCND1	107.8575
78	MAPK3	106.869
79	YWHAZ	106.6625
80	SKP2	105.357
81	SIRT1	103.758
82	E2F1	103.5565
83	SMAD3	101.353
84	BRCA1	101.154
85	EP300	95.848
86	CREBBP	92.3475
87	HDAC1	92.256
88	MAPK1	91.9495
89	FOXO3	89.545
90	MAP2K1	86.1685
91	HSPB1	85.063
92	PPARG	83.3505
93	CDK2	82.43350000000001
94	FKBP5	81.56800000000001
95	PML	81.001
96	NCOA3	80.74600000000001
97	CDKN1C	80.4555
98	HDAC3	78.7535
99	GSK3B	78.155
