rank	node	rank_score
1	RPS6KA4	180.0
2	SREBF2	178.699
3	HNF4A	177.4985
4	SREBF1	176.498
5	CREBBP	176.39749999999998
6	SP1	173.697
7	VDR	173.095
8	NCOA6	172.7955
9	NCOA1	171.6945
10	PPARGC1A	170.496
11	RXRA	170.094
12	NCOA2	168.99349999999998
13	NCOA3	168.293
14	RARA	166.4925
15	NCOR2	165.792
16	PPARG	165.791
17	FOS	164.8915
18	SMAD3	161.5895
19	JUN	161.38899999999998
20	KLF5	161.1885
21	NCOR1	160.58800000000002
22	PML	158.7905
23	NR4A2	157.99
24	EP300	156.18699999999998
25	NFKB1	154.8865
26	CEBPB	154.7875
27	RELA	153.38600000000002
28	SRF	152.5855
29	HDAC3	151.98499999999999
30	NR1H2	150.1815
31	UBE2I	149.084
32	NR0B2	146.781
33	AR	146.08350000000002
34	NRIP1	145.78
35	SIRT1	144.0785
36	ETS1	143.7845
37	PIAS1	142.083
38	RXRG	141.28050000000002
39	PPARA	141.279
40	NR1H3	140.7795
41	HDAC1	140.475
42	NR3C1	139.1755
43	THRB	139.0825
44	PPARD	137.578
45	MED1	136.666
46	RB1	136.3725
47	MDM2	135.974
48	SMARCA4	135.8735
49	STAT1	135.276
50	TBP	132.87150000000003
51	HDAC4	132.57649999999998
52	ATF3	132.2745
53	HIF1A	131.272
54	MYOD1	131.27
55	STAT3	131.073
56	RUNX1	130.0525
57	CREB1	129.971
58	KAT2B	128.46949999999998
59	RUNX2	128.469
60	KAT5	127.37049999999999
61	TP53	126.768
62	E2F1	126.46849999999999
63	DNMT3L	123.06649999999999
64	BCL3	121.96700000000001
65	ATF2	117.05850000000001
66	SMARCA2	116.5675
67	ZBTB7A	116.564
68	ZBTB16	115.26500000000001
69	NR4A1	111.96549999999999
70	ESR1	111.5645
71	SIN3A	110.853
72	SPI1	110.55999999999999
73	HDAC2	109.5545
74	RXRB	107.67750000000001
75	PARP1	107.46199999999999
76	NFATC1	107.252
77	NR1H4	106.277
78	BCL6	106.25050000000002
79	CTBP1	100.4515
80	CARM1	100.2625
81	PGR	97.4615
82	ATF7IP	97.29650000000001
83	SMARCC1	95.248
84	SMARCE1	92.64
85	E2F4	90.2495
86	SMARCC2	89.6415
87	SMARCB1	87.741
88	ARID1A	87.7405
89	MED23	87.661
90	EPAS1	85.542
91	FHL2	84.149
92	SMAD2	83.546
93	TRIP4	83.482
94	FOXO1	83.263
95	SS18L1	82.43350000000001
96	PIAS2	82.35799999999999
97	SMARCD3	81.8345
98	FLI1	80.833
99	TBL1XR1	80.24249999999999
100	SMARCD1	80.236
101	SMARCD2	78.935
102	BRCA1	78.65
103	SS18	78.13199999999999
104	SP3	77.95349999999999
105	DDIT3	77.83250000000001
106	ACTL6A	76.8355
107	EZH2	75.944
108	TDG	75.1605
109	SMAD4	75.15650000000001
110	CTNNB1	74.44500000000001
111	DPF1	73.93050000000001
112	THRA	73.56
113	DPF2	73.4315
114	ARID1B	72.731
115	ARID2	72.63
116	RELB	70.134
117	PBRM1	70.12950000000001
118	GATA1	70.051
119	DPF3	69.9285
120	GLTSCR1	69.729
121	SETD7	69.3635
122	PHF10	67.828
123	BCL7A	67.4275
124	TP53BP1	67.2385
125	BRD9	67.227
126	BCL7C	65.5265
127	YY1	64.647
128	STK11IP	64.626
129	CIITA	63.7625
130	SS18L2	63.2255
131	DNMT1	63.051
132	BCL7B	62.725
133	HIST1H4A	62.543499999999995
134	ING1	61.724000000000004
135	CDKN1A	59.754
136	JUND	57.447500000000005
137	TP73	56.455999999999996
138	GTF2I	54.74549999999999
139	POU2F1	53.059000000000005
140	TEX13B	52.339999999999996
141	KDM1A	51.943000000000005
142	KPNA1	51.9245
143	JUNB	51.346500000000006
144	NR2C1	49.538
145	KAT2A	49.536500000000004
146	AKT1	49.039
147	CCND1	47.6575
148	SUMO1	47.657
149	MYC	45.0375
150	DAXX	44.155
151	TAF6	44.1175
152	PLAGL1	43.3555
153	CDK8	43.137
154	RARB	42.8755
155	SOX2	41.6395
156	BRD4	41.322
157	ADAM15	39.9995
158	EGR1	39.3235
159	GPS2	39.048500000000004
160	NFATC2	36.7235
161	TRRAP	35.717
162	KMT2A	34.519
163	USP7	32.423
164	RBBP4	29.321500000000004
165	TBL1X	27.235000000000003
166	SUZ12	26.618000000000002
167	HIST1H3A	26.2185
168	XRCC6	26.0445
169	SMARCA5	24.72
170	NFE2L2	24.424500000000002
171	AHR	23.047
172	HIST1H2BB	22.5165
173	MTA2	22.315
174	CHD7	22.014
175	MTA1	20.514499999999998
176	CHD3	20.016
177	STAB2	19.899
178	BRD2	19.7155
179	MED17	19.232499999999998
180	MBD3	18.113
181	BPTF	17.3125
182	POU1F1	17.0765
183	ETS2	16.756
184	GATAD2A	16.012
185	GATAD2B	14.209999999999999
186	XRCC5	13.3205
187	H2AFY	13.3115
188	CEBPD	12.571
189	SAP30	12.1105
190	ASH2L	11.831
191	TADA3	11.619499999999999
192	MTA3	11.608500000000001
193	H2AFX	11.513
194	RBBP7	11.311499999999999
195	CHD4	11.1095
196	HMGXB4	11.1075
197	TOP2B	11.022499999999999
198	BRD7	11.013499999999999
199	H2AFZ	10.41
200	SIN3B	10.108
201	NFYA	9.5495
202	MBD2	9.4055
203	SMARCA1	8.6045
204	RCOR1	8.418000000000001
205	TFAP2A	8.021
206	SAP130	7.3069999999999995
207	CIC	7.2090000000000005
208	C17orf49	6.6049999999999995
209	FOXK2	6.3065
210	SMAD1	5.9265
211	MED24	5.6274999999999995
212	MED6	5.5255
213	KPNA2	5.432
214	MED25	5.426
215	MED14	5.327
216	MED16	5.228
217	SUDS3	5.206
218	MED15	5.125
219	MED7	5.0245
220	MED12	4.824
221	ARID4B	4.803
222	MED21	4.7235
223	MED13	4.523
224	MED26	4.4215
225	MED9	4.3225
226	MED22	4.2219999999999995
227	RBBP5	4.129
228	SUV39H1	4.1240000000000006
229	MED10	4.121
230	MED18	4.0205
231	MED13L	3.9200000000000004
232	MED27	3.8195
233	MED11	3.717
234	MED8	3.6165
235	LIN9	3.6034999999999995
236	MTF2	3.6025
237	CDK19	3.5189999999999997
238	MED12L	3.4185000000000003
239	MED19	3.3175
240	BRMS1L	3.304
241	MED30	3.218
242	PWWP2A	3.2019999999999995
243	MED20	3.1155
244	MED29	3.016
245	MED28	2.914
246	MED31	2.8145
247	POLR2A	2.715
248	ASF1A	2.711
249	CCNC	2.6135
250	POLR2H	2.513
251	POLR2I	2.4125
252	POLR2G	2.3120000000000003
253	POLR2E	2.2115
254	MED4	2.1109999999999998
255	MYBL2	2.1015
256	ACAD11	2.0105
257	RPAP2	1.9100000000000001
258	BCL11A	1.9009999999999998
259	POLR2C	1.809
260	POLR2B	1.7094999999999998
261	TADA2A	1.6085
262	POLR2D	1.508
263	FBXL19	1.4075
264	POLR2J	1.3054999999999999
265	POLR2F	1.207
266	POLR2K	1.106
267	SCAF4	1.0065
268	GATAD1	1.0005
269	POLR2M	0.905
270	POLR2L	0.8039999999999999
271	CDK2AP1	0.8004999999999999
272	RECQL5	0.7045
273	RPRD2	0.6035
274	ZC3H13	0.5025000000000001
275	FBXW7	0.403
276	RPRD1B	0.3015
277	GTF2B	0.20049999999999998
278	RNGTT	0.10200000000000001
279	PTGDR	0.098
280	GRIP1	0.0595
281	MAPK8	0.025
282	MAFK	0.0245
283	TAF9	0.018
284	HIST3H3	0.011
285	LIN37	0.0025
286	PHF1	0.002
