rank	node	rank_score
1	LATS2	177.698
2	CTNNB1	162.8655
3	EPHA2	162.499
4	ERBB2	155.994
5	HSP90AB1	137.78
6	LYN	136.847
7	LCK	123.167
8	PIK3R1	120.949
9	CAV1	120.3395
10	ARNT	118.6
11	HRAS	114.97150000000002
12	PARD3	110.61749999999999
13	CDKN2B	110.4985
14	NF2	108.49449999999999
15	JUP	105.65349999999998
16	YES1	104.7355
17	GAB1	104.0445
18	EGFR	99.96000000000001
19	PTPN13	95.8985
20	RAF1	95.2995
21	CDK6	94.39750000000001
22	MAP2K5	92.897
23	KIAA1429	92.5995
24	GLIS2	89.9905
25	AKT1	89.7895
26	CDK4	88.8915
27	TEAD2	88.791
28	RASSF1	88.789
29	GRM1	88.4965
30	CD44	88.09349999999999
31	STK11	87.9885
32	BECN1	87.39
33	CCND2	87.2955
34	FGFR4	86.99249999999999
35	MAP2K3	86.093
36	FRS2	85.119
37	HSP90AA1	84.88300000000001
38	TERT	83.99199999999999
39	CDKN2A	83.788
40	CDKN2C	83.596
41	CBLC	83.5875
42	PDGFRA	82.487
43	KDELR2	82.095
44	SHB	81.4145
45	ARAF	79.4805
46	SRC	78.078
47	MYC	77.58500000000001
48	IGF1R	76.6765
49	C11orf52	73.889
50	USP6NL	71.2865
51	OCLN	70.89099999999999
52	MLLT4	69.893
53	FLOT1	69.2855
54	PKP4	66.8885
55	CXADR	66.886
56	MAP2K6	66.782
57	GJA1	66.4825
58	RHOB	66.2875
59	CCNE1	66.1855
60	TSC1	64.2835
61	PLEKHA1	63.985
62	FZR1	63.584500000000006
63	MARCKS	63.376
64	MAP3K5	63.0865
65	RAB35	62.878499999999995
66	MDM4	62.778999999999996
67	AURKA	62.484
68	FAM171A1	62.477999999999994
69	SOX4	61.88250000000001
70	MAPK14	61.278499999999994
71	KAT2A	60.78099999999999
72	LAMTOR1	60.775
73	TP53	60.675
74	ZFPL1	60.4765
75	DSG2	60.471000000000004
76	FAM171B	60.37949999999999
77	ABCB5	60.081500000000005
78	ZDHHC5	60.073
79	GLIS1	60.06949999999999
80	TTYH2	59.986000000000004
81	EFR3B	59.974000000000004
82	EFR3A	59.37050000000001
83	CDC42BPA	59.1665
84	DIRAS3	59.069
85	CDC37	58.977
86	ARF6	58.6645
87	JAG1	58.3985
88	KIAA0754	58.3815
89	PIK3CA	58.1675
90	CDH1	57.78099999999999
91	RELA	57.5775
92	BRAF	57.1795
93	DNAJC5	56.972
94	STX7	56.668000000000006
95	NRAS	56.563
96	STUB1	56.471000000000004
97	YWHAZ	56.3325
98	LAMP1	56.056
99	MARK3	55.6715
100	HSPA4	55.076
101	PHACTR4	54.9745
102	HSPA1A	54.874
103	MDM2	53.761
104	STX6	53.56
105	RASAL2	53.48199999999999
106	CCDC88A	53.269499999999994
107	SLC19A1	52.7605
108	ANKRD26	52.6845
109	CTNND1	52.455
110	MARK2	52.2625
111	PLEKHA5	51.89149999999999
112	PPFIBP1	51.665
113	HSPA5	51.26800000000001
114	EPB41L4A	50.673500000000004
115	MPP7	50.666
116	RAB2A	50.4505
117	RAB11A	50.25449999999999
118	MAP2K1	49.972
119	GSK3B	49.864999999999995
120	HSPA8	49.366
121	TUBB	48.763999999999996
122	HSPB1	48.759
123	GJD3	48.2615
124	SNAP23	48.2515
125	LLGL1	47.959500000000006
126	CPNE8	47.954
127	LSR	47.5555
128	LPHN2	46.859
129	MARVELD2	46.852999999999994
130	STX4	45.8635
131	SLC7A5	45.75
132	PTPN11	45.650999999999996
133	CDK1	45.5745
134	UNC5B	45.564
135	MAPK3	45.4685
136	TMEM17	45.358
137	FAM129B	45.3565
138	NFIC	45.1715
139	DSC2	44.2585
140	EBAG9	44.251999999999995
141	NUMB	43.847
142	SOX3	43.6745
143	KIRREL	43.665499999999994
144	ABL1	43.4405
145	YWHAE	43.346500000000006
146	FAM135A	43.3355
147	PTK2	43.162
148	HSPA6	42.669
149	PTEN	42.633500000000005
150	PSD3	42.6105
151	DLG1	42.5575
152	MAPK1	42.173500000000004
153	SLC6A8	41.340999999999994
154	EFNB2	40.5535
155	SLC38A2	40.552499999999995
156	CBL	40.5495
157	FAM83B	40.4445
158	ADD3	39.851
159	SMAD3	39.7755
160	SOCS1	39.7645
161	CSK	39.7525
162	SHC1	39.6585
163	RASA1	39.4565
164	SLC12A2	38.739999999999995
165	LMAN1	37.941500000000005
166	IRS4	37.927
167	HSPA9	37.8615
168	LAMP2	37.745
169	RAB5A	37.7425
170	PLEKHA7	37.29600000000001
171	ZDHHC8	37.194
172	USP31	36.888
173	ERBB3	36.4385
174	WDR6	36.3395
175	CAD	35.846
176	SLC3A2	35.831
177	SLC4A7	35.748000000000005
178	PTPN14	35.6945
179	PEAK1	35.467
180	DNAJA2	35.3635
181	SLC6A15	35.338
182	PRKCZ	35.233
183	KIDINS220	35.157
184	ATP2B1	34.945499999999996
185	GPRIN3	34.8235
186	RAB9A	34.7385
187	GRB2	33.038
188	EZR	33.033
189	YWHAB	32.911500000000004
190	IRS1	32.844
191	JAK2	32.642
192	CASKIN2	32.562
193	SLC30A1	32.549
194	VANGL1	32.544
195	LAMP3	32.146
196	VANGL2	32.0375
197	PKM	31.965999999999998
198	CRK	31.637
199	ITGB1	31.625999999999998
200	PLCH1	31.122500000000002
201	PTK6	30.860500000000002
202	FYN	30.8505
203	EFNB1	30.8205
204	SCAMP1	30.737000000000002
205	FERMT2	30.7275
206	CDCA3	30.4315
207	MAPT	30.2255
208	VCP	30.15
209	SLC38A1	30.040499999999998
210	ABL2	30.029500000000002
211	TMEM2	29.946500000000004
212	RAB5C	29.839
213	PIK3R2	29.54
214	RPS6KA3	29.2705
215	STAT3	28.4175
216	CTNNA1	28.291999999999994
217	HIF3A	28.173000000000002
218	FLOT2	27.823
219	SLC39A14	27.6365
220	EPB41L5	27.232
221	IKBKB	27.072000000000003
222	PSMC3IP	26.966500000000003
223	STEAP3	26.934500000000003
224	HDAC6	26.827999999999996
225	PPFIA1	26.782
226	BRCA1	26.6625
227	DNAJC5B	26.634000000000004
228	RPS6KA1	26.369999999999997
229	DNAJA1	26.254
230	SQSTM1	26.21
231	RAB4A	25.833499999999997
232	PAK4	25.7015
233	PVRL2	25.6495
234	TGOLN2	25.627
235	EEF2	24.9725
236	RPS6KA2	24.825499999999998
237	GRB10	24.145
238	PANX1	24.130000000000003
239	SPRY4	24.1285
240	TUBB4B	23.9455
241	GAPDH	23.9195
242	CD99	23.529500000000002
243	MATK	23.463
244	HSP90AB3P	23.058
245	B3GAT1	22.828
246	RELL1	22.729
247	GAB2	22.705000000000002
248	PLCG1	22.636000000000003
249	FGR	22.2425
250	NUMBL	22.242
251	YWHAG	22.211000000000002
252	ARRB1	22.15
253	ERBB4	22.0435
254	SLC39A10	21.943
255	YKT6	21.0245
256	YWHAQ	20.9185
257	RB1	20.3455
258	HCK	20.241
259	NTRK1	20.154500000000002
260	SP1	20.1525
261	YAP1	20.123
262	WWTR1	19.898
263	ZAP70	19.8375
264	SLC39A6	19.6325
265	RAB3B	19.5165
266	SLC1A5	19.5155
267	DEPDC1B	19.426499999999997
268	SYT7	19.299
269	ZBED6	19.2925
270	FOXO3	19.1575
271	PXN	19.151999999999997
272	BAG2	19.051499999999997
273	CDKN1A	19.0255
274	SHC4	18.9995
275	CCDC88C	18.7935
276	ROR2	18.736
277	PCDH7	18.7305
278	ADCY9	18.71
279	PALM2	18.1475
280	MCAM	17.722
281	EHBP1	17.606
282	CRKL	17.4345
283	CPD	16.7195
284	SOS1	16.2305
285	CTDSPL	16.224
286	RAB23	16.121
287	TMEM216	16.1135
288	SYK	15.727500000000001
289	PPP2R1A	15.565000000000001
290	KIT	15.5415
291	ARHGAP1	15.212
292	LNPEP	15.207999999999998
293	ESYT2	15.114500000000001
294	BASP1	15.014
295	NPM1	15.008
296	STIP1	14.738999999999999
297	VPS45	14.735
298	VAMP2	14.717000000000002
299	WHSC1L1	14.5765
300	CCND1	14.448500000000001
301	ITK	14.234
302	PLCG2	14.2225
303	VAMP3	14.218
304	LZTS2	13.98
305	HLA-A	13.8115
306	HSPH1	13.757
307	SCRIB	13.6675
308	DOK1	13.135
309	RN5S1@	13.0575
310	TFRC	13.0095
311	HUWE1	13.004500000000002
312	PML	12.916
313	MAP3K3	12.509
314	NAT2	12.3635
315	TNK2	12.3215
316	CDKN1B	12.243500000000001
317	BTRC	12.157
318	MAPK7	11.8185
319	MAP3K2	11.504999999999999
320	PKP2	11.272499999999999
321	ARHGAP32	11.178999999999998
322	JPH1	11.005500000000001
323	ACBD3	11.004
324	HDAC1	10.9025
325	ROBO1	10.743500000000001
326	PDGFRB	10.7315
327	AXL	10.6125
328	PECAM1	10.543000000000001
329	PIK3R3	10.425
330	DST	10.0045
331	VAV1	9.9365
332	BET1	9.6065
333	UBIAD1	9.416
334	CACHD1	9.3415
335	PTK2B	9.331
336	GOLGB1	9.121
337	SH2D2A	9.004000000000001
338	PARK2	8.914
339	ERBB2IP	8.674000000000001
340	KCNB2	8.501999999999999
341	ERGIC1	8.415000000000001
342	SOCS3	8.3135
343	ELOVL5	8.2025
344	HSPA1L	8.1265
345	NEDD4	8.013
346	TRAF6	7.3135
347	BLK	7.208499999999999
348	CBLB	7.1205
349	SLC29A1	7.1129999999999995
350	SLC30A6	6.906499999999999
351	SLC20A2	6.809
352	PRPF8	6.8085
353	TEC	6.731999999999999
354	FASN	6.7075000000000005
355	CREBBP	6.5205
356	BTK	6.426
357	RIN3	6.32
358	IRS2	6.3115000000000006
359	SMAD2	6.2055
360	SLA	6.028499999999999
361	VAMP7	5.904999999999999
362	RAB11FIP1	5.9045000000000005
363	UBC	5.809
364	EP300	5.806
365	USP11	5.7155000000000005
366	FLVCR1	5.5175
367	ATP5A1	5.511
368	LCP2	5.4315
369	IQGAP1	5.403499999999999
370	FLT3	4.929
371	MAP2K2	4.8595
372	XPR1	4.726
373	IGF2R	4.7055
374	BCR	4.513
375	HSH2D	4.421
376	PHB	4.4159999999999995
377	RET	4.2235
378	METTL7A	4.207
379	ESYT1	4.2015
380	CLTC	4.1005
381	GORASP2	4.01
382	METTL3	3.9034999999999997
383	ATXN3	3.8299999999999996
384	EFTUD2	3.7479999999999998
385	TUBG1	3.5244999999999997
386	SNAP29	3.5085
387	EMD	3.3095
388	BLNK	3.218
389	CHUK	3.153
390	MCM2	3.1025
391	SLC12A7	2.9215
392	PALM	2.9185
393	SNX6	2.902
394	HDAC4	2.902
395	BCAP31	2.902
396	SFN	2.5100000000000002
397	TMEM87A	2.5075
398	CYLD	2.4165
399	WDR41	2.4005
400	GNB2L1	2.322
401	CKAP4	2.306
402	JUN	2.2350000000000003
403	SNAP47	2.2035
404	EEF1A1	1.9115000000000002
405	RABL3	1.9009999999999998
406	PPP1CA	1.703
407	TRIM25	1.6495000000000002
408	SLC25A3	1.6095
409	ATP1A1	1.6045000000000003
410	CDK2	1.6035
411	VHL	1.5265
412	TUBA1C	1.4220000000000002
413	INSR	1.402
414	HSD17B11	1.2035
415	CLCN7	1.103
416	PTPN1	1.0230000000000001
417	VEZT	1.0025
418	TCP1	0.807
419	HSP90AB2P	0.7555
420	APBB1	0.6134999999999999
421	RPN1	0.613
422	CCT8	0.509
423	CCT2	0.41500000000000004
424	VAMP8	0.40049999999999997
425	CCT4	0.3145
426	HNRNPK	0.3095
427	STX5	0.307
428	SCFD1	0.20099999999999998
429	STIM1	0.1025
430	PRR15L	0.0995
431	SLC7A4	0.0985
432	PPP1R12B	0.0975
433	INADL	0.097
434	WWC3	0.0965
435	LOC652276	0.096
436	MAGI1	0.0955
437	KIAA1211L	0.091
438	SIPA1L1	0.0905
439	TJP1	0.09
440	KIAA1462	0.0895
441	EPHA4	0.0875
442	SIPA1L3	0.087
443	TANC1	0.08549999999999999
444	SIM1	0.08449999999999999
445	PHLDB2	0.08349999999999999
446	PDE8A	0.08299999999999999
447	CGN	0.0775
448	DLG5	0.0755
449	MAFK	0.0715
450	SMARCA4	0.068
451	GPRIN1	0.0675
452	EPSTI1	0.067
453	FKBP5	0.067
454	E2F1	0.066
455	ZNF189	0.0655
456	UCHL1	0.0645
457	CSNK2A1	0.0635
458	CUL4A	0.0595
459	MYOCD	0.0595
460	FAM171A2	0.058499999999999996
461	DNAJB1	0.05600000000000001
462	BMX	0.05500000000000001
463	DNAJA4	0.053000000000000005
464	MAPK8	0.052000000000000005
465	FOXM1	0.051000000000000004
466	MCL1	0.0495
467	HPSE	0.0475
468	SGK223	0.039
469	USP7	0.038
470	TNS3	0.038
471	CDK9	0.0375
472	C9orf62	0.0365
473	EGLN3	0.034999999999999996
474	SNCA	0.034499999999999996
475	FBXW7	0.0325
476	SKP2	0.032
477	PRKCI	0.031
478	RPTOR	0.031
479	MST1R	0.0305
480	TP73	0.0295
481	CSF1R	0.028499999999999998
482	FOXO1	0.028499999999999998
483	SLC7A2	0.028499999999999998
484	INPPL1	0.027500000000000004
485	FAM91A1	0.026500000000000003
486	EPOR	0.026000000000000002
487	ANK3	0.025
488	ELAVL1	0.0245
489	KHDRBS1	0.024
490	PTPN6	0.0235
491	PPARG	0.023
492	NCK1	0.0225
493	BRD4	0.0215
494	PRKDC	0.020999999999999998
495	PRKCE	0.020999999999999998
496	BSG	0.02
497	FUS	0.02
498	WAS	0.019
499	TBC1D10B	0.019
500	ITGB3	0.019
501	SIRT1	0.0185
502	FES	0.018
503	PSMC5	0.017499999999999998
504	CUL1	0.017499999999999998
505	ELK1	0.017
506	CEBPB	0.017
507	APP	0.016
508	CCDC8	0.015
509	SLC25A5	0.015
510	SLC25A1	0.013000000000000001
511	NBEA	0.0125
512	PTPN12	0.0125
513	DDX5	0.0125
514	CCT5	0.012
515	TRIP11	0.0115
516	ZFYVE16	0.011
517	TUBB4A	0.010499999999999999
518	ZFYVE9	0.010499999999999999
519	LRRC59	0.01
520	ESRRB	0.0095
521	ABCC1	0.0085
522	JAK1	0.0085
523	RUVBL2	0.0085
524	SEC62	0.0085
525	RPS6KB2	0.008
526	STX12	0.0075
