rank	node	rank_score
1	AKT1	180.1
2	HSPA5	178.7995
3	FASN	178.399
4	HSPA4	175.998
5	CAV1	175.69400000000002
6	NQO1	173.09300000000002
7	CSK	171.99650000000003
8	HSPA9	171.197
9	HSP90AA1	169.79749999999999
10	SHC1	167.596
11	STUB1	167.59449999999998
12	SRC	164.395
13	PTPN11	160.9905
14	MATK	159.8915
15	ERBB2	158.692
16	IGF1R	151.98499999999999
17	HSP90AB1	150.6885
18	HDAC6	147.891
19	MAPK3	146.7895
20	HSPA8	146.084
21	PIK3R1	145.779
22	MET	142.5795
23	ARRB1	141.3955
24	EGFR	140.7815
25	SNCA	140.2935
26	PXN	138.4785
27	CBL	133.38
28	PTK2	132.678
29	CTNNB1	132.576
30	GRB2	131.2825
31	RAF1	129.3855
32	JAK2	126.48299999999999
33	ADRBK1	126.29249999999999
34	SOCS1	125.77449999999999
35	CDC37	123.777
36	EPHA2	123.37750000000001
37	FYN	123.075
38	AR	121.26500000000001
39	HSPA6	119.5805
40	MAPT	119.49000000000001
41	ABL1	119.06700000000001
42	LCK	118.87249999999999
43	HSPA1A	118.07649999999998
44	PIK3R2	116.57300000000001
45	GRB10	115.87550000000002
46	ERBB3	115.3735
47	RASA1	113.97
48	MAPK1	113.58800000000001
49	IRS1	113.574
50	PTK6	109.46399999999998
51	SYK	109.071
52	CRK	106.36749999999999
53	MAP2K1	104.08699999999999
54	KIT	102.26849999999999
55	BRAF	101.4845
56	PTK2B	100.1705
57	ITK	99.16900000000001
58	ERBB4	98.9695
59	PLCG1	98.7665
60	ZAP70	98.468
61	MAP2K3	97.58099999999999
62	HCK	96.966
63	ILK	95.88199999999999
64	ACTB	94.9875
65	SOS1	94.7655
66	DOK1	94.2645
67	GAB1	92.9635
68	MAP2K5	91.31949999999999
69	CBLB	91.062
70	SOCS3	90.96000000000001
71	PDGFRB	90.861
72	CRKL	90.7625
73	PRKCZ	90.721
74	JAK1	89.5575
75	TEC	88.9605
76	VAV1	88.663
77	DNAJA1	88.5715
78	PLCG2	87.9615
79	STAT3	86.75699999999999
80	BCR	86.64349999999999
81	BLK	86.55850000000001
82	PTPN6	86.556
83	YWHAZ	85.128
84	PECAM1	84.4495
85	PIK3CA	83.85249999999999
86	CSF1R	83.7535
87	SLA	83.458
88	BLNK	82.353
89	SHB	82.25450000000001
90	ABL2	81.759
91	NCK1	80.8515
92	GAB2	80.549
93	HSPH1	80.31649999999999
94	INSR	80.146
95	LCP2	79.651
96	FGFR1	79.35650000000001
97	CRYAB	78.2975
98	LYN	78.054
99	YES1	77.65950000000001
100	SIRPA	77.3835
101	PTGIS	77.197
102	PIK3R3	76.6555
103	JUP	76.5275
104	SH3BP2	76.245
105	ITGB3	75.7485
106	TNK2	74.1505
107	LAT	73.8445
108	ARRB2	73.586
109	BTK	73.05199999999999
110	TEK	71.189
111	FLT3	70.742
112	SH2D2A	70.255
113	FGR	70.148
114	WAS	70.14750000000001
115	YWHAE	69.42699999999999
116	MAP2K2	69.3115
117	KHDRBS1	68.1465
118	VAV3	67.94300000000001
119	CAD	67.725
120	GRAP2	67.64099999999999
121	SQSTM1	67.32000000000001
122	KDR	67.15
123	SH3KBP1	67.04549999999999
124	HSP90AB3P	66.84700000000001
125	EPOR	65.9425
126	YWHAQ	64.3265
127	INPPL1	62.144000000000005
128	CLTC	61.5305
129	FLT1	61.2355
130	FES	59.040499999999994
131	INPP5D	58.939499999999995
132	LRRK1	58.7385
133	NEDD4	56.136
134	TUBB	55.723
135	RET	55.6375
136	IQGAP1	53.572
137	VCP	52.5865
138	GHR	52.3325
139	SOCS2	52.23350000000001
140	IRS2	51.82899999999999
141	NCK2	51.1365
142	FRS2	50.334500000000006
143	DOK2	49.739999999999995
144	IRS4	49.525999999999996
145	STAT5A	48.532
146	MAPK7	48.519
147	SHC4	47.637
