rank	node	rank_score
1	RARS	180.1
2	DARS	179.1995
3	MARS	178.299
4	IARS	177.3985
5	EPRS	175.9975
6	LARS	175.498
7	QARS	174.49650000000003
8	KARS	174.397
9	AIMP2	173.096
10	AIMP1	171.9955
11	CIAPIN1	171.095
12	EEF1E1	170.1945
13	MIR15A	169.19400000000002
14	IGF2BP3	168.49349999999998
15	MIR34C	167.493
16	PTBP1	166.1925
17	MIR7-2	166.092
18	MIR199A1	164.4915
19	HNRNPA2B1	164.19099999999997
20	MIR107	162.9905
21	EIF2AK2	161.69
22	MIR20B	161.0895
23	IGF2BP2	160.789
24	MIR138-2	159.3885
25	MIR122	157.08800000000002
26	DDX1	157.0875
27	RTCB	156.78699999999998
28	MIR128-1	156.3865
29	YBX3	154.38600000000002
30	MIR214	154.0855
31	MIR205	152.685
32	MIR19B2	150.5825
33	MATR3	149.9845
34	MIR451A	149.38400000000001
35	HNRNPA0	149.3835
36	HNRNPH3	148.483
37	MIRLET7F1	147.482
38	HNRNPH2	146.0815
39	MIRLET7A2	143.9795
40	HNRNPA3	143.57999999999998
41	HNRNPA1	143.3805
42	FUS	141.379
43	MIRLET7C	140.9785
44	MIR9-3	140.781
45	MIR140	140.07649999999998
46	HNRNPF	137.97750000000002
47	MIR106A	137.577
48	MIR128-2	136.478
49	HNRNPM	135.276
50	MIR31	134.77550000000002
51	MIR25	133.6745
52	HNRNPK	132.575
53	IGF2BP1	132.1675
54	MIR29C	131.56900000000002
55	UTP20	128.37
56	MIR1-2	127.9695
57	MIR200A	127.87049999999999
58	MIR7-1	127.867
59	RBM14	125.774
60	HNRNPR	125.473
61	PUF60	125.35900000000001
62	APOBEC3B	124.76100000000001
63	TAF15	124.572
64	MIR19B1	123.7645
65	SFPQ	123.671
66	SYNCRIP	120.968
67	MIR92A2	120.8685
68	MIR9-1	120.76500000000001
69	MIR199A2	119.5625
70	DDX3X	119.3665
71	MIR18B	116.6615
72	MIR7-3	115.57350000000001
73	MIRLET7F2	114.96
74	MIR29A	114.5595
75	FAM98A	113.6655
76	MIR21	112.6585
77	SF3B1	112.16300000000001
78	MIRLET7A3	111.27150000000002
79	MIR143	111.26050000000001
80	LARP7	110.66399999999999
81	TRA2B	110.06199999999998
82	NOL6	109.1525
83	MIR93	108.56599999999999
84	MIR20A	107.75750000000001
85	MIR10B	106.75699999999999
86	MIR17	105.0635
87	MIR34B	104.9555
88	NONO	104.05799999999999
89	MIR138-1	103.4725
90	MIR200B	103.15599999999999
91	SF3B3	100.5565
92	DHX36	99.455
93	MIR16-2	98.2535
94	MSI2	97.554
95	MIR15B	97.15299999999999
96	MIR363	94.2515
97	PDCD11	93.55199999999999
98	MIR1-1	93.351
99	MIR200C	91.65
100	LIN28A	90.9505
101	MIRLET7A1	90.34700000000001
102	MIR155	89.8495
103	SF3B2	88.046
104	MIR19A	87.348
105	MIR145	86.3545
106	RBM4	86.349
107	MIR141	84.4465
108	UPF1	83.4475
109	MIR29B2	82.84549999999999
110	MIR222	81.6445
111	YBX1	80.94500000000001
112	MIR92A1	80.343
113	PTBP3	79.244
114	MIR29B1	78.9485
115	MIR106B	78.4435
116	DDX21	76.54249999999999
117	MIR16-1	75.14200000000001
118	RBFOX2	75.0415
119	SUGP2	74.041
120	MIRLET7G	72.9405
121	TRA2A	71.73949999999999
122	MIR9-2	71.44
123	C9orf114	70.239
124	U2SURP	69.038
125	SF3B4	68.7385
126	ZNF346	67.5375
127	DHX37	66.637
128	RTCA	65.236
129	LRPPRC	64.7355
130	G3BP2	63.635000000000005
131	KNOP1	63.3365
132	NUDT21	62.3335
133	CELF1	61.334
134	HNRNPH1	60.6345
135	PRMT1	59.43299999999999
136	YBX2	58.532500000000006
137	PUM1	57.63199999999999
138	C1QBP	56.6315
139	ZFR	55.931
140	PURA	54.93050000000001
141	LIN28B	54.029999999999994
142	STRBP	53.12950000000001
143	SF3A1	52.229
144	HNRNPL	51.3285
145	ADARB1	50.227999999999994
146	PLOD1	49.7275
147	CPSF1	48.626999999999995
148	ERAL1	47.7265
149	AQR	46.826
150	ESRP1	45.6255
151	NUDT16L1	45.325
152	ATXN2L	44.1245
153	SYMPK	43.224000000000004
154	NUFIP2	42.2235
155	RBMS2	41.323
156	MYEF2	40.722500000000004
157	MSI1	39.622
158	PAPD4	38.721500000000006
159	GRSF1	37.721000000000004
160	RBM39	36.6205
161	RC3H1	36.42
162	SNRNP70	34.3195
163	STAU1	33.9185
164	CAND1	33.819
165	PHB	32.0175
166	ZC3H18	31.317
167	WWP2	30.618000000000002
168	EDC4	30.516499999999997
169	CPSF6	28.7155
170	RIOK1	27.915999999999997
171	RC3H2	27.514999999999997
172	NR2C2	23.8145
173	SF3A3	23.814
174	UFL1	23.2135
175	FAM98B	22.713
176	CUL3	22.307
177	ILF2	21.412
178	CDC5L	21.0115
