rank	node	rank_score
1	CAPZA2	178.4
2	IQGAP1	177.8985
3	MYO19	172.9975
4	SIPA1	172.786
5	MYO5C	172.597
6	SYNPO	172.2955
7	DBN1	170.998
8	SSH2	170.676
9	FLNA	169.7995
10	PPP1CB	167.79149999999998
11	MYO18A	167.594
12	AFAP1	167.495
13	ARHGAP11A	167.3945
14	TPRN	166.89600000000002
15	LIMA1	166.693
16	MYO1C	164.1935
17	COBL	157.689
18	TMOD3	156.978
19	SPECC1	153.99
20	ACTR2	152.477
21	ECT2	150.9905
22	AKAP2	150.7895
23	SVIL	149.08499999999998
24	ARPC4	148.6815
25	ARPC5L	148.67849999999999
26	ARPC3	148.079
27	KIF14	147.587
28	NUPR1	146.875
29	PPP1CC	146.692
30	CAPZB	146.281
31	GSN	144.59099999999998
32	NEXN	144.39249999999998
33	CPM	141.3965
34	ARPC1B	140.77249999999998
35	CIT	136.0795
36	ARPC2	135.971
37	ACTR3	135.87449999999998
38	PDLIM7	134.783
39	CHMP4B	132.78
40	LRRFIP2	132.35999999999999
41	SORBS2	132.0885
42	MYO5A	132.06900000000002
43	PPP1CA	131.35
44	CFL2	131.2715
45	PPP1R12A	130.17350000000002
46	BTF3	129.97750000000002
47	RAI14	129.5615
48	MYO1B	128.9835
49	SH3BGRL	128.3705
50	ACTC1	128.072
51	LUZP1	127.874
52	TMOD1	126.1875
53	CAPZA1	126.06599999999999
54	MISP	125.56199999999998
55	ACTB	125.373
56	KIF20A	124.965
57	MPRIP	124.7825
58	SPTBN1	124.68400000000001
59	FLII	124.6665
60	FGD5	121.263
61	PAN2	120.9605
62	BMP2K	119.282
63	CORO1B	118.1695
64	DAPK3	116.5805
65	CORO1C	113.86800000000001
66	VMP1	112.75699999999999
67	KIF23	111.056
68	SPECC1L	110.4635
69	SPTAN1	108.55850000000001
70	CTTN	107.853
71	LMO7	107.37
72	TRIM37	106.86399999999999
73	CDK9	106.85900000000001
74	ABLIM1	104.9845
75	ARPC5	104.6645
76	PPP1R9B	102.13199999999999
77	MYO5B	101.4075
78	GPRC5A	101.0385
79	WDR1	100.154
80	TRIM25	98.312
81	CFL1	97.9555
82	ACTG1	97.451
83	PLEC	96.0505
84	PLEKHG3	95.88550000000001
85	CDK2	95.46549999999999
86	CLTC	95.3625
87	MYO6	95.34349999999999
88	FLNB	95.061
89	CORO2A	94.99249999999999
90	MYL6	94.35249999999999
91	MAPRE1	93.2495
92	DDX39B	92.3595
93	ISG15	91.6575
94	ESR2	90.144
95	SSFA2	89.9325
96	CTNNB1	89.7475
97	PRC1	88.44800000000001
98	PPP1R18	88.039
99	TES	87.7485
100	USP14	87.55199999999999
101	CALM1	85.1455
102	CDH1	84.24300000000001
103	TPM4	83.9565
104	MYL12B	83.7535
105	ACTN1	83.65799999999999
