rank	node	rank_score
1	CDC37	174.5855
2	HSPA5	169.9955
3	HSP90AB1	169.094
4	HSP90AA1	163.584
5	RAF1	161.2935
6	HSPA6	159.7995
7	HSP90AB2P	159.186
8	SRC	157.3845
9	MAPT	156.398
10	STUB1	155.189
11	CAV1	154.932
12	RPS6KA3	153.88150000000002
13	FYN	152.6825
14	HSPA4	152.392
15	ARRB2	151.596
16	IGF1R	151.458
17	AKT1	150.9735
18	HSPA8	149.8835
19	EGFR	149.46300000000002
20	HSPA1A	147.67950000000002
21	HSPB1	143.37
22	BRAF	141.7765
23	HCK	141.4575
24	MAP2K5	141.1755
25	JAK2	140.66
26	BAG2	140.074
27	SOCS1	138.37150000000003
28	PTGIS	138.0985
29	GRB10	136.654
30	ERBB2	135.462
31	LCK	133.881
32	DNAJA1	131.18800000000002
33	PTK2	127.0565
34	RPS6KA1	125.7805
35	VCP	120.979
36	SHC1	120.89099999999999
37	GRB2	117.7665
38	HSPA9	117.1655
39	DLG4	117.1
40	MAP2K3	116.76500000000001
41	PTK6	116.2595
42	SNCA	116.053
43	TNK2	115.952
44	HSP90AB3P	115.771
45	CBL	113.7585
46	MET	113.44650000000001
47	STIP1	112.68199999999999
48	CCDC117	111.97200000000001
49	MAP2K1	111.16749999999999
50	PTPN11	110.1605
51	PIK3R1	108.4555
52	PTK2B	108.075
53	PTGDR	106.4805
54	APP	106.1855
55	AXL	104.97449999999999
56	MATK	103.6475
57	RASA1	102.44850000000001
58	TUBB	101.7615
59	IRS1	101.356
60	ERBB4	100.1455
61	PLCG1	99.646
62	PXN	99.3445
63	ERBB3	98.7545
64	ABL1	98.745
65	YWHAZ	98.46849999999999
66	HDAC6	98.267
67	CTNNB1	95.4075
68	CAD	95.364
69	AR	94.91749999999999
70	PRKCE	94.2625
71	HSPH1	94.1505
72	ZAP70	92.84200000000001
73	ITK	91.2635
74	NTRK2	87.3375
75	MAP2K2	85.86949999999999
76	TP53	85.6265
77	PIK3R2	85.4435
78	DNAJA2	84.7775
79	KIT	84.434
80	YWHAE	83.05
81	ARRB1	83.0145
82	DOK1	82.8275
83	SYK	82.225
84	CRK	81.7345
85	FLT3	81.20599999999999
86	ARAF	79.17049999999999
87	YES1	78.72999999999999
88	DLG1	77.599
89	VAV1	77.52799999999999
90	BMX	77.468
91	FGR	77.1155
92	KCNQ4	76.18299999999999
93	NETO1	75.284
94	GAB1	74.94149999999999
95	GRIN3A	74.295
96	YWHAQ	71.05499999999999
97	SOCS3	70.34700000000001
98	TEK	69.077
99	CRKL	67.12899999999999
100	PLCG2	67.018
101	LYN	66.92
102	FGFR1	66.535
103	TEC	65.607
104	CBLB	65.5305
105	TUBB4B	64.8385
106	PECAM1	63.3095
107	LCP2	62.8235
108	ABL2	61.830999999999996
109	MYLK2	59.376999999999995
110	PTEN	58.92100000000001
111	GAB2	58.339999999999996
112	BTK	57.823
113	INPPL1	57.80650000000001
114	PRNP	57.596500000000006
115	PTPRE	57.3975
116	SOS1	56.7395
117	PTPN6	56.33299999999999
118	SLA	56.302499999999995
119	NTRK1	56.269000000000005
120	GRIN2A	55.378
121	YWHAB	55.1495
122	SHC4	54.8485
123	SH2D2A	54.614999999999995
124	PTGER2	54.056999999999995
125	PIK3R3	52.51649999999999
126	GRM1	51.984500000000004
127	ELK1	51.819
128	SGK1	51.0785
129	CSF1R	50.214
130	PARK2	50.173
131	SLC25A5	50.0105
132	GUCY1A2	49.5905
133	PDGFRB	49.1245
134	BLK	48.842
135	PACRG	47.3725
136	SH2B3	47.126
137	KCNH2	46.8645
138	IRS4	46.621500000000005
139	FRS2	45.736000000000004
140	RET	45.0385
141	FKBP4	44.9525
142	PTPN12	43.6355
143	SHB	43.028499999999994
144	GSK3B	42.917500000000004
145	ATP5A1	42.9095
146	NCK1	42.822
147	BLNK	41.932
