rank	node	rank_score
1	CYP27A1	180.1
2	ABCC8	179.09949999999998
3	IRS1	173.89749999999998
4	IGFBP7	158.3985
5	SOCS3	156.899
6	SH2B1	154.3965
7	PTPN11	153.9985
8	JAK2	153.997
9	JAK1	151.895
10	SOCS1	150.494
11	IGF1R	150.393
12	GHR	149.8935
13	CBL	149.2895
14	GRB2	149.196
15	CSF2RB	149.1945
16	IL2RB	147.49200000000002
17	EPOR	145.898
18	PIK3R1	145.89249999999998
19	EGFR	143.8865
20	SHC1	143.4915
21	IL6ST	143.4905
22	ERBB2	143.391
23	SYK	143.086
24	PTPN6	140.19
25	CBLB	139.781
26	PLCG1	137.5885
27	KIT	136.28199999999998
28	SRC	135.78
29	VAV1	135.4875
30	ERBB4	135.08800000000002
31	PTK2B	134.4855
32	STAT3	133.57350000000002
33	PTK2	133.48899999999998
34	ZAP70	132.08350000000002
35	LCP2	131.78699999999998
36	MET	131.68400000000003
37	ERBB3	131.285
38	ABL1	130.9815
39	PLCG2	130.6825
40	SHB	130.283
41	TEC	128.3845
42	PIK3R2	127.0805
43	SH2B2	126.1955
44	STAT5A	123.4605
45	GAB1	123.37750000000001
46	CRKL	123.07649999999998
47	DOK1	122.378
48	ITK	121.87849999999999
49	RASA1	120.67699999999999
50	SH3BP2	120.27950000000001
51	BLNK	119.776
52	FYN	118.479
53	NCK1	118.17550000000001
54	LYN	117.675
55	GRB10	116.851
56	PDGFRB	116.57449999999999
57	PIK3R3	116.574
58	ABL2	115.173
59	HCK	114.4725
60	CRK	114.272
61	SH2D2A	112.67049999999999
62	SOS1	111.47150000000002
63	VAV3	110.4695
64	CSF1R	110.37100000000001
65	FGFR1	109.47
66	STAT5B	107.5435
67	BTK	107.4665
68	JAK3	107.24300000000001
69	WAS	106.56700000000001
70	YES1	105.66900000000001
71	LCK	104.6685
72	NCK2	103.3635
73	AR	103.26599999999999
74	KHDRBS1	103.2655
75	FGR	101.465
76	SH3KBP1	100.363
77	LAT	99.768
78	SLA	98.66749999999999
79	INPP5D	98.1625
80	GRAP2	97.9645
81	GAB2	97.364
82	INPPL1	97.262
83	HSP90AA1	96.95450000000001
84	FLT3	96.5615
85	SOCS2	95.761
86	HSPA4	94.02950000000001
87	FASLG	93.16
88	PIK3CA	92.15950000000001
89	TNK2	90.85900000000001
90	SH2D1A	89.8585
91	HSH2D	88.55799999999999
92	PECAM1	87.3555
93	DOK2	86.15650000000001
94	CSK	85.955
95	PTK6	85.55699999999999
96	TXK	84.856
97	FES	83.952
98	RET	83.554
99	SHC4	82.95349999999999
100	BCR	82.9515
101	NTRK2	82.65299999999999
102	BLK	80.65
103	ARHGAP32	80.25750000000001
104	FRS2	80.2525
105	CDC37	79.4455
106	CD247	79.44449999999999
107	SKAP2	79.1495
108	KDR	77.1505
109	HSP90AB1	75.9485
110	HSP90AB3P	74.249
111	SLA2	74.045
112	LRRK1	72.94800000000001
113	MATK	72.9475
114	AKT1	72.833
115	SHC3	71.144
116	PXN	70.84700000000001
117	PAG1	69.4405
118	SH2D1B	67.9465
119	OLIG1	66.946
120	ALK	66.4425
121	PTPN12	65.14099999999999
122	HSPA1A	65.139
123	FGFR2	64.242
124	HSPB1	63.726
125	ASAP1	63.339999999999996
126	MAP4K1	62.0395
127	UBASH3B	61.538
128	NEDD9	60.2375
129	BCAR1	58.337
130	AXL	57.1385
131	ITGB3	56.336
132	SH2B3	54.635000000000005
133	FLT1	54.0415
134	PIK3CB	53.432500000000005
135	VAV2	52.9345
136	RAF1	50.8305
137	HSPA6	50.730000000000004
138	NEDD4	50.6315
139	TNS3	50.3365
140	TNS1	50.0355
141	SHC2	49.634
142	STUB1	48.222500000000004
143	NTRK1	48.028999999999996
144	HSPA8	47.6265
145	MAPT	45.3235
146	IRS4	44.7275
147	TEK	44.231
148	PRRG4	43.232
149	CAV1	42.628499999999995
150	HSPA5	42.325
151	RPS6KA3	41.3245
152	HSPA9	40.323
153	COL6A1	39.298
154	SIRPA	39.122
155	CCL15	39.097500000000004
156	BMX	38.6255
157	MAPK3	38.524
158	ERRFI1	37.718
159	EPHA2	37.327999999999996
160	CTNNB1	35.321000000000005
161	HDAC6	35.219
162	CDH1	33.4215
163	YWHAE	31.5185
164	YWHAZ	31.319499999999998
165	MST1R	29.317500000000003
166	GAREM	28.617
167	PRKCZ	26.4095
168	TUBB	26.316499999999998
169	PAK2	25.116
170	MAPK1	23.314500000000002
171	PAK1	23.2155
172	BRAF	21.4125
173	ILKAP	20.015
174	MAP2K3	20.012999999999998
175	DNAJA1	19.912
176	PTPRR	18.4135
177	MAPK7	17.91
178	CBLC	17.627
179	JUP	17.6055
180	PRKCE	17.4115
181	CAD	17.3105
182	RPS6KA1	17.014
183	MAP2K5	16.0085
184	SOCS6	15.805000000000001
185	ARAF	15.7075
186	SORBS1	15.520499999999998
187	STAT1	14.811000000000002
188	MAP2K1	14.806000000000001
189	TUBB4B	14.008
