rank	node	rank_score
1	MYH9	176.19850000000002
2	LIMA1	175.299
3	DBN1	173.497
4	FLNA	171.19549999999998
5	MYO19	170.19650000000001
6	SYNPO	169.49349999999998
7	AFAP1	169.395
8	MYO18A	166.7945
9	COBL	166.594
10	SSH2	165.092
11	IQGAP1	164.9895
12	CAPZA2	163.793
13	PPP1CB	162.5915
14	NRP2	159.9
15	GBF1	158.8995
16	MYO1E	158.473
17	TPRN	158.0875
18	ANLN	155.58800000000002
19	MYO5C	154.086
20	ACTR2	153.387
21	SPECC1	152.48499999999999
22	CLTB	148.4905
23	ARPC5L	146.5865
24	STON2	145.2925
25	DAB2	144.19
26	MYO1C	143.47750000000002
27	KIF14	142.58350000000002
28	MISP	141.677
29	CFL2	140.2765
30	NUPR1	139.578
31	ECT2	139.476
32	CLINT1	139.19099999999997
33	CLTA	138.8885
34	BMP2K	138.589
35	LGALS1	136.398
36	AP2A1	135.3855
37	TMOD3	135.1755
38	AKAP2	134.052
39	MYO6	133.88400000000001
40	ARPC3	133.87150000000003
41	CLTC	133.382
42	PDLIM7	133.072
43	NEXN	132.363
44	SVIL	130.575
45	ARPC4	130.171
46	CIT	129.67249999999999
47	CAPZB	129.57350000000002
48	ARPC1B	128.96949999999998
49	ARPC2	128.2705
50	ACTR3	127.97
51	KIF20A	126.6745
52	PPP1CC	125.874
53	SEC16A	125.181
54	PIK3C2A	124.18299999999999
55	EPS15	123.9845
56	PPP1R12A	123.6685
57	PICALM	122.4825
58	SH3BGRL	121.667
59	RAI14	121.56800000000001
60	PAN2	121.2675
61	MYO1B	121.0635
62	CAPZA1	120.869
63	LUZP1	119.9605
64	FLII	119.5645
65	CHMP4B	118.96399999999998
66	AP2M1	118.88
67	GAK	118.38050000000001
68	MPRIP	118.36599999999999
69	AP2B1	118.27950000000001
70	SPECC1L	117.3665
71	SPTBN1	116.36500000000001
72	BTF3	116.1655
73	GSN	115.8625
74	AP2A2	115.579
75	GTSE1	113.48150000000001
