rank	node	rank_score
1	LDHA	149.1
2	CFL1	141.2965
3	LDHB	134.395
4	PKM	133.36599999999999
5	SOD1	133.0915
6	TKT	132.9855
7	APP	131.09449999999998
8	ENO3	130.2795
9	TPI1	130.092
10	ENO1	129.183
11	PARK7	126.3905
12	PPIA	125.487
13	ALDOA	125.06500000000001
14	PRDX5	123.39850000000001
15	ACO2	122.957
16	DSTN	118.898
17	GPI	118.8735
18	PGK1	113.678
19	ACAA2	113.6665
20	PRDX6	113.272
21	FAHD2A	112.29749999999999
22	NIT2	110.5895
23	AGR2	110.173
24	PGM1	109.99449999999999
25	UBE2M	108.753
26	HSPE1	108.17999999999999
27	ANXA5	105.37249999999999
28	ALDH4A1	104.7875
29	STIP1	104.15450000000001
30	LDHAL6A	102.896
31	GPX4	102.369
32	TAGLN2	101.574
33	MDH1	100.9935
34	ISOC2	100.788
35	FH	100.1755
36	MCM2	99.1485
37	CFL2	98.5995
38	TRIM25	98.296
39	SORD	96.0955
40	AKR1B1	95.9825
41	ABAT	95.799
42	GSTO1	95.7615
43	GSTP1	93.7565
44	PGAM1	93.0495
45	PRDX2	92.2505
46	GAPDH	92.148
47	IFNW1	91.6925
48	NME1-NME2	90.282
49	AAR2	90.14500000000001
50	IDH2	88.3655
51	DUT	86.2595
52	HINT1	86.17699999999999
53	MIF	85.584
54	CDK2	84.271
55	SPR	84.06949999999999
56	NME2	83.881
57	PEBP1	83.8625
58	HSD17B10	83.659
59	PDIA3	82.947
60	MYC	82.7335
61	ENO2	81.679
62	CLIC1	81.06
63	PRDX1	80.54400000000001
64	BRD4	80.486
65	LGALS3	79.856
66	TXN	79.852
67	WDR1	79.5865
68	IFNA5	79.3995
69	PPIB	78.551
70	FABP3	78.25750000000001
71	CALR	77.637
72	FDX1L	76.262
73	GLOD4	76.0535
74	TALDO1	75.4835
75	TPH1	74.79650000000001
76	TAGLN	74.5745
77	BIRC3	73.8635
78	FABP5	73.661
79	NTRK1	72.9155
80	ALDH7A1	72.5885
81	AK3	72.213
82	PINK1	70.44449999999999
83	MDH2	69.74
84	GRHPR	68.1685
85	TST	67.79400000000001
86	GCSH	66.85499999999999
87	FKBP1A	66.55550000000001
88	ALDOC	66.464
89	PTMS	66.13550000000001
90	FKBP2	65.968
91	PPA1	65.95
92	TAGLN3	65.55799999999999
93	CRIP1	64.69
94	PGD	64.57849999999999
95	EFTUD2	63.652499999999996
96	PHOSPHO1	63.54549999999999
97	CLIC4	62.947500000000005
98	AK2	62.6515
99	U2AF2	62.638
100	DDX39B	62.041
101	CMPK1	61.4385
102	PARK2	61.339
103	ARCN1	60.94349999999999
104	PIH1D1	60.525999999999996
105	FMR1-AS1	60.099000000000004
106	TET1	59.9
107	PFN1	59.234
108	IFNA16	58.088
109	IFNA7	57.9905
110	LRRK2	55.3215
111	TRIM24	55.128
112	BCAT2	52.9885
113	PGLS	52.746500000000005
114	GLRX5	52.74249999999999
115	PLS3	52.249
116	MSRB2	51.284000000000006
117	LAP3	50.935
118	DLD	50.334500000000006
119	FDX1	50.043
120	MSN	49.642
121	HSP90AB1	49.614
122	SUMO2	48.9325
123	CKB	47.722
124	NAA40	47.3645
125	PDIA4	46.616
126	TRAP1	46.053999999999995
127	GOT2	45.0265
128	FKBP1B	44.963
129	ANP32B	44.0315
130	OAT	43.975
131	CFTR	43.928999999999995
132	PTMA	43.436
133	PCMT1	43.367000000000004
134	STMN1	43.3395
135	PDP1	43.227
136	SUCLG1	43.1195
137	SUCLG2	40.9145
138	FUS	40.809000000000005
139	NDUFAB1	40.105000000000004
140	UCHL1	39.946
141	RBM39	39.83
142	HINT2	39.732
143	USP53	39.599000000000004
144	BASP1	39.116499999999995
145	NENF	39.0075
146	IFIT3	38.594
147	CALM1	38.518
148	IFNA2	38.096000000000004
149	DNAJC12	37.8975
150	GPR78	37.69199999999999
151	HDHD3	37.5105
152	CDKL2	37.4865
153	MSTO2P	37.394
154	IFNA8	37.393
155	HSP90B1	37.213499999999996
156	HSP90AA1	37.114
157	NACA	36.7235
158	IFNA13	36.689499999999995
159	PMP2	36.167500000000004
160	C21orf33	36.019999999999996
161	HSPD1	35.6195
162	ANP32A	35.609500000000004
163	MPST	35.531
164	LACTB2	34.9405
165	HSPA5	34.802499999999995
166	CS	34.5295
167	PTGR1	34.376
168	GOT1	34.1805
169	ARHGDIA	34.0375
170	P4HB	33.911500000000004
171	NEDD4	33.2175
172	PRKCSH	33.0015
173	OXCT1	32.815
174	ASS1	32.733
175	HSPA9	32.70399999999999
176	PRPF8	32.2245
177	MARCKS	31.5045
178	FXN	31.430500000000002
179	HUWE1	31.141499999999997
180	FKBP3	30.719
181	COX17	30.356
182	ACAT1	30.056
183	PRDX3	29.813
184	YAP1	29.811
185	ADPRHL2	29.7515
186	FAH	29.193
187	PLEKHA4	27.476
188	GMPS	27.1175
189	MTPN	27.107
190	ATP5A1	26.308
191	TPM3	26.305500000000002
192	CUL7	26.2115
193	CCS	25.958500000000004
194	RECQL4	25.4005
195	ETHE1	25.069499999999998
196	AKR1B15	25.0475
197	ECHS1	24.7015
198	EEF2	24.4185
199	PAICS	24.1035
200	PCBP1	23.724
201	KDELC2	23.4025
202	PIR	23.3815
203	GLO1	23.0305
204	HEXIM1	22.8365
205	ETFA	22.8215
206	RBM8A	22.814
207	SND1	22.101499999999998
208	AKR1A1	21.7765
209	HSPA4	21.4125
210	DDAH1	21.2575
211	EZR	21.1275
212	NANS	21.1085
213	GSR	20.822499999999998
214	ATPIF1	20.4195
215	TBCA	20.154500000000002
216	HSPB1	20.130000000000003
217	UCN	19.9985
218	IFNA4	19.695500000000003
219	VCAM1	19.4035
220	ATF2	19.317
221	DNM1L	19.220499999999998
222	SDHA	19.2075
223	PMPCA	19.134999999999998
