rank	node	rank_score
1	PEBP1	135.4
2	EP300	133.599
3	CDK2	117.953
4	PTMS	113.78699999999999
5	BRD4	111.08899999999998
6	ANP32A	110.8875
7	ANP32B	108.68499999999999
8	NABP2	99.2985
9	PPIB	96.898
10	PGAM1	96.8955
11	MYC	94.686
12	TKT	94.09349999999999
13	UHRF2	92.8685
14	STMN1	92.485
15	PARK7	91.981
16	TRIM24	91.595
17	BASP1	90.582
18	HMGN1	90.089
19	CALR	89.99449999999999
20	PDIA4	89.9865
21	FKBP3	89.57849999999999
22	MIF	89.4845
23	SUMO2	88.6825
24	ATPIF1	87.683
25	PGK1	87.2795
26	ANXA5	87.186
27	CALM1	86.28150000000001
28	PDIA3	86.093
29	PHOSPHO1	86.087
30	NEDD4	86.0805
31	PRKCSH	85.179
32	HSPE1	84.38550000000001
33	PTMA	83.9765
34	MARCKS	83.88
35	PFN1	83.784
36	RBM8A	83.5745
37	NACA	82.7895
38	TPI1	80.8775
39	DDX39B	80.7755
40	PRDX3	80.4665
41	LOC100506688	79.697
42	TPM3	79.674
43	PARK2	79.5735
44	MDM2	79.25750000000001
45	CKB	78.777
46	MCL1	78.298
47	UBE2M	77.57300000000001
48	ATF2	75.675
49	ENO1	75.6655
50	HMGB1P1	75.2835
51	HSP90B1	74.667
52	ALDOA	74.476
53	ENO3	73.36449999999999
54	BIRC3	73.171
55	ARHGAP39	73.078
56	MDH2	72.8725
57	YAP1	71.7365
58	XRCC6	71.35650000000001
59	LRRK2	70.2705
60	PKM	68.9595
61	LDHA	68.7715
62	BRCA1	68.4515
63	TAGLN2	67.4625
64	CFL1	67.26050000000001
65	P4HB	66.168
66	AAR2	65.369
67	HSD17B10	65.3575
68	MCM2	64.161
69	LDHB	62.459
70	PRDX2	62.0535
71	STIP1	61.335
72	PRDX1	61.158
73	AGR2	60.970000000000006
74	CTNNB1	60.05550000000001
75	C6orf201	59.999
76	FABP5	59.55550000000001
77	GAPDH	59.269499999999994
78	MSN	59.154500000000006
79	EFTUD2	58.666
80	KLF5	58.597500000000004
81	PRDX6	57.952999999999996
82	PDIA6	57.653999999999996
83	PPIA	57.347500000000004
84	CREBBP	56.79600000000001
85	ROBO4	56.494499999999995
86	GPI	55.964999999999996
87	CEBPB	55.791999999999994
88	PRPF8	54.8515
89	NAA40	54.82000000000001
90	PINK1	54.7525
91	DNM1L	54.323
92	SMAD2	54.090999999999994
93	TXN	53.925
94	JUN	53.779999999999994
95	SP1	53.583000000000006
96	U2AF2	53.556
97	SET	53.463
98	AKR1B1	52.8395
99	ENO2	52.43300000000001
100	KAT2B	52.384
101	NCOA6	52.269499999999994
102	EEF2	51.348
103	ETS1	50.873000000000005
104	UBE2I	50.85850000000001
105	PIH1D1	50.742000000000004
106	HDAC1	50.6745
107	HUWE1	50.251
108	SMAD3	50.0815
109	RPRD1B	49.872
110	HEXIM1	49.343
111	RB1	48.9785
112	PCMT1	48.5065
113	RUNX2	48.3805
114	XRCC5	48.3675
115	TFCP2	48.0295
116	NCOA3	47.98350000000001
117	VDR	47.777
118	PARP1	47.6725
119	RELA	47.277499999999996
120	SIRT1	47.1645
121	NCOR2	46.982
122	NCOR1	46.678999999999995
123	RBM39	45.9615
124	DLD	45.9495
125	FUS	45.755
126	NFKB1	44.8765
127	NCOA1	44.667
128	RXRA	44.576
129	E2F1	44.3735
130	GSTP1	44.346500000000006
131	PML	44.2795
132	YWHAQ	44.241
133	HDAC3	44.1755
134	HIF1A	44.1635
135	AR	44.072
136	THRB	43.86
137	RARA	43.763
138	HSP90AA1	43.73350000000001
139	HSPA9	43.6425
140	HNF4A	43.266
141	MDH1	43.2505
142	FOS	43.059000000000005
143	HSP90AB1	42.357
144	NTRK1	42.2675
145	KAT5	41.964
146	STAT3	41.8625
147	HDAC2	41.765
148	TP73	41.7395
149	TFAP2A	41.685500000000005
150	CUL7	41.449
151	PHB	41.338
152	HSPA5	40.744
153	HNRNPA1	40.638999999999996
154	PSMA3	40.2315
155	ELAVL1	40.093
156	CEBPA	40.068
157	MAFK	39.95
158	TDG	39.861000000000004
159	SMARCA4	39.371500000000005
160	ATF3	39.236000000000004
161	KLF9	39.1925
162	CCND1	39.1485
163	RUNX1	38.848
164	VSIG10	38.79
165	FASN	38.726
166	CHMP4C	38.6435
167	PIAS1	38.4655
168	TBP	38.456
169	DNMT1	38.25449999999999
170	POLI	38.1965
171	METTL14	38.144999999999996
172	MAPK1	37.969
173	PPARGC1A	37.857
174	RECQL4	37.7305
175	CFTR	37.56
176	ATP5A1	37.533
177	SP3	36.971000000000004
178	HSPH1	36.947
179	VCP	36.934000000000005
180	HDAC5	36.2175
181	ZEB1	36.1865
182	FN1	35.54
183	CDKN1A	35.247
184	HSPA8	35.0145
185	ZBTB16	34.4605
186	NR1H4	34.0105
187	NFATC1	33.7355
188	EWSR1	33.721
189	EIF6	33.653499999999994
190	PRDX5	33.6485
191	ATXN3	33.1155
192	ZBTB7A	33.07
193	NRIP1	32.951
194	NR1H2	32.945499999999996
195	EZH2	32.862
196	PGR	32.570499999999996
197	KAT2A	32.5535
198	NR0B2	32.542500000000004
199	YY1	32.4825
200	NR1I2	32.454
201	HDAC4	32.142
202	YWHAZ	31.752
203	UFL1	31.713
204	KLF2	31.389499999999998
205	H2AFX	31.214999999999996
206	ESR1	30.7615
207	VHL	30.146000000000004
208	HSPA4	29.844
209	NME1	29.8385
210	SMARCC1	29.834000000000003
211	NR3C1	29.6495
212	SMAD4	29.438
213	PLAGL1	29.077999999999996
214	BCL3	28.744999999999997
215	SIN3A	28.4415
216	SUMO1	27.7335
217	GPX4	27.690999999999995
218	JUND	27.543
219	PPT1	27.3265
220	COPS5	27.304499999999997
221	HNRNPK	27.2445
222	PIN1	26.681
223	NR4A1	26.617
224	NOTCH4	26.426499999999997
225	PHGDH	26.415999999999997
226	SRF	26.375
227	NR1H3	26.3445
228	E2F4	26.266499999999997
229	NME1-NME2	26.1635
230	CTBP1	26.0525
231	MED1	25.955000000000002
232	HIST1H4A	25.9475
233	SMARCA2	25.8385
234	ATP5B	25.518
235	DSTN	25.3585
236	NCOA2	25.357999999999997
237	EIF4A1	25.124000000000002
238	MYOD1	24.944
239	EEF1G	24.9135
240	SRY	24.874000000000002
241	NR2C1	24.852
242	SFPQ	24.3185
243	CARM1	24.024
244	AHCY	23.427500000000002
245	AKT1	23.4225
246	SMARCC2	23.325
247	PCBP1	22.929
248	VCAM1	22.728
249	FOXO3	22.4935
250	CREB1	22.339
251	CCT8	22.227
252	NPM1	22.1285
253	EEF1B2	22.1215
254	PCBP2	21.927
255	DDX5	21.7435
256	NFE2L2	21.544999999999998
257	ARID1A	21.232999999999997
258	PRKDC	21.1505
259	MTHFD1	21.1265
260	SMARCB1	20.432499999999997
261	STAT1	20.341
262	TARDBP	20.231
263	SUZ12	20.0465
264	EEF1A1	20.03
265	STXBP2	19.9995
266	TRIM28	19.8375
267	FCAMR	19.697
268	CUL2	19.4015
269	PAPPA	19.2885
270	GSK3B	19.1275
271	TFAP2C	18.988
272	YWHAB	18.6565
273	DUT	18.649
274	HNRNPA2B1	18.6375
275	DBI	18.595
276	HNRNPH1	18.546
277	TOP2B	18.523
278	FHL2	18.514499999999998
279	CITED2	18.4905
280	FANCD2	18.447
281	BBC3	18.195
282	ZBTB5	18.0815
283	SMARCE1	18.018
284	TP53BP1	17.929
285	CCT2	17.911
286	TBX21	17.794
287	YWHAE	17.521
288	CCNE1	17.1245
289	DNMT3L	16.832
290	HSPB1	16.736
291	MYB	16.7315
292	HSPD1	16.703
293	CUL3	16.305
294	SPR	16.142500000000002
295	RBBP4	15.831
296	KMT2A	15.434999999999999
297	SDHA	15.4185
298	HMGB2	15.272499999999999
299	SMARCA5	15.119
300	CHD3	15.0245
301	DDX17	14.901999999999997
302	HIST1H3A	14.823500000000001
303	NACA2	14.788499999999999
304	SPI1	14.753499999999999
305	RBBP5	14.511000000000001
306	LIM2	14.494
307	PMP2	14.352
308	HINT1	14.264
309	HCFC1	14.249
310	ETS2	14.186000000000002
311	CCT4	13.9175
312	ALDOC	13.5445
313	TUBB	13.3225
314	HNRNPD	13.322
315	TAF6	13.2215
316	USP7	13.206999999999999
317	FOXO1	12.937000000000001
318	KDM1A	12.830000000000002
319	DAXX	12.11
320	ITGA4	11.9205
321	PABPC1	11.9185
322	SMARCD2	11.911
323	SOX2	11.0295
324	CDK6	10.9285
325	CDK1	10.728
326	DDRGK1	10.608
