rank	node	rank_score
1	ACTB	177.4985
2	MYO18A	156.4
3	TRIL	137.1975
4	MYH9	132.995
5	COBL	131.19400000000002
6	SYNPO	128.2925
7	LIMA1	127.28600000000002
8	SSH2	127.1935
9	CAPZA2	126.99099999999999
10	IQGAP1	125.99000000000001
11	PPP1CB	124.58800000000001
12	TPRN	124.2825
13	DBN1	123.9865
14	FLNA	123.9845
15	MYO19	123.09049999999999
16	KIF14	123.07350000000001
17	MYO5C	120.1855
18	MYO1C	120.0895
19	NEXN	119.98150000000001
20	G6PD	119.69949999999999
21	ACTR2	119.67649999999999
22	AKAP2	119.676
23	AFAP1	116.18050000000001
24	TMOD3	115.39200000000001
25	ANLN	115.18350000000001
26	TMOD1	114.48400000000001
27	MYO1B	113.782
28	SPECC1	113.76050000000001
29	SVIL	112.38699999999999
30	ARPC5L	111.3875
31	ECT2	111.27550000000001
32	NUPR1	109.277
33	CFL2	108.074
34	LRRFIP2	107.19149999999999
35	FLII	106.78099999999999
36	PPP1CC	105.98299999999999
37	GSN	105.77449999999999
38	ST5	104.9885
39	CAPZB	104.9775
40	ARPC3	104.36399999999999
41	ACTN4	104.297
42	CORO1C	104.08600000000001
43	LMO7	103.65299999999999
44	ARPC1B	103.0545
45	PPP1R12A	101.36949999999999
46	CIT	101.265
47	ARPC2	100.56649999999999
48	PLEKHG3	100.5595
49	MYO1E	99.16900000000001
50	PPP1CA	99.07849999999999
51	ACTR3	97.168
52	SH3BGRL	96.263
53	CHMP4B	95.46000000000001
54	MPRIP	94.4625
55	PAN2	94.4555
56	CAPZA1	94.357
57	ARHGAP11A	93.6705
58	ARPC4	93.55799999999999
59	MYO5A	93.154
60	LUZP1	93.07300000000001
61	FGD5	91.4795
62	MISP	91.17150000000001
63	RAI14	90.962
64	ACTC1	90.36749999999999
65	PDLIM7	90.1615
66	BTF3	87.455
67	TRIM37	86.271
68	SPTAN1	84.9725
69	VMP1	82.3535
70	CORO1B	82.247
71	KIF20A	82.061
72	SPTBN1	81.7655
73	SPECC1L	81.1515
74	ARPC5	80.556
75	ABLIM1	80.4475
76	USP14	79.7505
77	KIF23	79.57000000000001
78	PPP1R9B	79.251
79	SORBS2	79.1235
80	CYP2U1	78.2935
81	WDR1	77.9645
82	CDK2	77.166
83	CDK9	74.74600000000001
84	CFL1	73.7455
85	ABRA	73.0635
86	FLNB	72.5445
87	MYO6	70.9585
88	TPM4	68.659
89	ESR2	67.5485
90	TWF1	65.338
91	CTTN	65.2325
92	MYL6	64.6405
93	PPP1R9A	64.5575
94	SPTBN2	64.422
95	CORO2A	64.249
96	ACTN1	63.9375
97	PPP1R18	63.668499999999995
98	MAPRE1	63.6315
99	SSFA2	62.751999999999995
100	CDH1	62.6465
101	PLEC	62.032999999999994
102	GPRC5A	61.4495
103	MYO5B	61.4265
104	ISG15	61.137
105	TES	61.033500000000004
106	CHMP4C	60.927
107	ARHGAP21	60.085
108	MYH11	60.0255
109	HSPA8	59.8985
110	TPM2	59.431
111	TPM1	58.54
112	DDX39B	57.3365
113	ACTG1	57.2395
114	EZR	56.85
115	BASP1	55.734500000000004
116	CTNNB1	55.144000000000005
117	BMP2K	53.504
118	DSG2	53.0425
119	MYL6B	52.935500000000005
120	CLTC	52.92049999999999
121	SEPT9	52.842000000000006
122	PRC1	52.827999999999996
123	TPM3	51.0295
124	CALM1	51.027499999999996
125	AHNAK	50.541
126	TMPO	50.53
127	CYBRD1	50.266999999999996
128	MYL12B	50.135000000000005
129	RDX	48.945
130	SIPA1	48.089
131	TJP1	47.7385
132	MYH10	46.821000000000005
133	CFTR	46.638999999999996
134	DAPK3	45.763
135	CPM	43.959500000000006
136	CLTA	42.4245
137	YAP1	42.128499999999995
138	FLOT1	41.322500000000005
139	RDH14	39.997
140	EIF5	39.7995
141	PGD	39.399
142	LIMCH1	38.5175
143	RPA1	38.42
144	SCARB2	38.324
145	ZBTB20	37.379
146	SPATA16	37.290499999999994
147	GNG12	36.9215
148	OR9Q2	36.784000000000006
149	ESR1	35.5415
150	SIPA1L3	33.643
151	ANXA2	33.034000000000006
152	EFTUD2	33.013
153	AP2A1	32.0305
154	SEC16A	31.608500000000003
155	KIAA1671	30.4435
156	CLEC4D	28.619
157	PPP1R2P9	28.375
158	CLTB	28.005000000000003
159	RAD18	26.924
160	DYRK1A	26.318
161	CLINT1	26.215999999999998
