rank	node	rank_score
1	JUN	170.697
2	SP1	170.09949999999998
3	HDAC2	166.5935
4	HDAC1	165.6
5	HSPA5	163.996
6	SMARCA4	162.699
7	NCOR2	158.4975
8	BRCA1	156.08499999999998
9	NCOA3	155.3955
10	IGF1R	155.374
11	HIST1H4A	155.293
12	NCOA6	154.98899999999998
13	XRCC5	153.172
14	NR4A1	152.5815
15	HDAC3	152.286
16	DNMT1	151.48250000000002
17	CEBPB	151.1925
18	XRCC6	150.783
19	MDM2	147.89000000000001
20	WDR5	144.09650000000002
21	RELA	141.377
22	PPARG	141.0795
23	HSPA9	139.626
24	EP300	139.5695
25	HSPA8	139.4415
26	SMARCC1	138.38
27	CSNK2A1	135.97150000000002
28	HIST1H3A	135.06
29	PKM	134.65
30	SMAD3	132.3985
31	E2F1	130.995
32	HSPA4	129.4555
33	TERF2IP	129.0845
34	DDX5	128.0905
35	STUB1	127.9405
36	KLF5	127.4865
37	VHL	126.77649999999998
38	SMARCC2	126.06300000000002
39	HSP90AA1	124.452
40	ARNT	121.6635
41	MAPK1	120.473
42	KIAA1429	120.29400000000001
43	FOS	118.57350000000001
44	NR2C1	118.1605
45	PIK3R1	117.65299999999999
46	SIN3A	116.19800000000001
47	PGR	115.89200000000001
48	PIAS1	113.5875
49	SUMO2	110.3665
50	CIC	109.2615
51	SMARCA2	109.2585
52	CDK1	108.3385
53	CHD4	108.2365
54	MSH2	107.3945
55	NFKB1	106.7895
56	EEF1A1	106.2655
57	H2AFX	104.96900000000001
58	TFAP2A	104.171
59	AURKA	103.48800000000001
60	RARA	101.1885
61	YAP1	100.957
62	ASH2L	100.9015
63	KAT2B	99.356
64	ARAF	98.3785
65	RBBP4	97.5745
66	SRC	97.5475
67	VCP	97.2945
68	RNF4	97.04400000000001
69	USP11	96.52799999999999
70	NONO	95.5645
71	SMARCA5	95.362
72	SIRT1	92.958
73	PCNA	92.6285
74	HMGB1	92.251
75	TRIM28	92.2465
76	SMARCB1	90.287
77	HNRNPL	90.286
78	TOP2B	88.7235
79	HNRNPK	88.241
80	EFTUD2	87.7535
81	STAT1	85.76599999999999
82	CHD3	85.24449999999999
83	DHX9	85.0255
84	H3F3A	84.267
85	POLR2A	83.57000000000001
86	FUS	82.916
87	CUL4A	81.8595
88	GAPDH	81.727
89	MCM2	80.1395
90	GTF2I	80.079
91	CCND1	79.755
92	NCL	79.539
93	HCFC1	76.24
94	MEN1	76.1575
95	DDX17	75.9395
96	CDK2	75.554
97	YWHAQ	74.2705
98	SFPQ	73.6155
99	EED	72.8625
100	POU2F1	72.66499999999999
101	NPM1	68.18350000000001
102	SP3	67.584
103	MSH6	66.86949999999999
104	FOXK1	64.679
105	COPS5	64.149
106	UBE2I	62.742000000000004
107	MTA2	62.330999999999996
108	TP73	62.2485
109	HNRNPD	61.931999999999995
110	RPA1	61.24549999999999
111	IL24	58.8865
112	FANCD2	57.717000000000006
113	UBC	55.35450000000001
114	ERCC6	55.236000000000004
115	CEBPA	54.782
116	SMC3	54.731500000000004
117	TDG	54.185500000000005
118	HNRNPU	53.1025
119	SUZ12	53.032999999999994
120	CUL7	52.83050000000001
121	MTA1	51.845499999999994
122	RBBP7	51.825
123	H2AFY	51.0435
124	HDAC5	50.0245
125	PRPF8	49.001999999999995
126	CHD8	48.829499999999996
127	CCAR2	47.70399999999999
128	RUNX2	47.2725
129	PCBP1	46.801
130	CDK9	46.6065
131	SNAI1	46.507
132	YWHAZ	46.5005
133	PPP1CA	46.414
134	DDB1	45.447
135	EPAS1	45.1515
136	PSMC5	45.0345
137	RUVBL1	44.837
138	PELP1	44.5775
139	ATP5A1	44.513
140	ATRX	44.3565
141	HNRNPM	44.2185
142	TRIM25	44.193
143	PHB	44.109500000000004
144	MAPK14	42.964
145	MDC1	42.121
146	CBX3	41.927499999999995
147	SUMO1	40.13
148	MATR3	40.116499999999995
149	MAPK8	39.975
150	RBM39	38.908
151	STK11	38.778
152	RUVBL2	38.314499999999995
153	CASP8	37.37050000000001
154	ETS1	37.359
155	SMARCE1	36.7585
156	BPTF	36.2675
157	SHC1	35.999
158	RPA2	35.5305
159	HDAC4	34.935500000000005
160	RSF1	34.5375
161	FBXW7	34.4525
162	ABL1	33.0735
163	NTRK1	32.076
164	DDX3X	31.909000000000002
165	MRE11A	31.436500000000002
166	NRIP1	31.290999999999997
167	RECQL4	30.9415
168	RBBP5	30.728999999999996
