rank	node	rank_score
1	AKT1	180.1
2	RAC1	159.1995
3	MYC	148.598
4	LRRK2	146.17000000000002
5	PGK1	140.166
6	HSP90AB1	137.4785
7	PARK2	133.7685
8	CDK2	127.5605
9	PKM	127.37049999999999
10	ALDOA	127.16
11	HSP90AA1	123.88
12	HSPA9	122.468
13	CTNNB1	122.178
14	YWHAZ	121.975
15	UBE2M	121.75900000000001
16	EEF2	118.06649999999999
17	YWHAQ	117.769
18	LDHA	116.96199999999999
19	MCM2	115.957
20	YWHAE	114.1695
21	AAR2	113.255
22	YAP1	112.76500000000001
23	HUWE1	111.8575
24	HNRNPA1	111.4645
25	PSMA3	111.1635
26	CFL1	109.25399999999999
27	ATP5A1	108.763
28	FUS	108.0615
29	PCNA	106.16100000000002
30	PHB	106.056
31	EFTUD2	105.14850000000001
32	HSPA5	104.05799999999999
33	PRPF8	102.652
34	LDHB	99.2475
35	MAP2K5	98.7985
36	EEF1A1	98.5655
37	ARAF	98.4975
38	PIH1D1	97.849
39	VCP	97.2585
40	STK11	97.0955
41	CDKN2B	96.8965
42	U2AF2	96.44149999999999
43	ARNT	96.397
44	GLIS2	95.995
45	PINK1	95.8465
46	CCND2	94.9935
47	CDK4	94.59400000000001
48	ATP5B	94.55550000000001
49	EPHA2	94.096
50	FGFR4	93.49300000000001
51	MAP2K3	93.49
52	RASSF1	93.291
53	TERT	93.0895
54	METTL14	93.03999999999999
55	NPM1	92.7565
56	TEAD2	92.1905
57	LATS2	92.092
58	CDK6	92.0915
59	HGF	91.49449999999999
60	RAF1	90.29249999999999
61	FN1	89.838
62	NF2	89.589
63	HSP90B1	89.5295
64	RBM39	89.24300000000001
65	BECN1	88.888
66	MET	88.5885
67	GRM1	88.1875
68	CDKN2C	87.587
69	HEXIM1	87.451
70	TARDBP	87.3625
71	ERBB2	86.9865
72	CBLC	86.0845
73	CCNE1	85.98400000000001
74	CD44	85.886
75	PDGFRA	85.2855
76	KDELR2	84.885
77	MAP2K6	84.0835
78	MAP3K5	83.38300000000001
79	HSPA4	82.973
80	MAPK14	82.88250000000001
81	KAT2A	82.38199999999999
82	MDM4	82.381
83	FZR1	81.8815
84	HIF1A	80.9805
85	TUBB	80.17150000000001
86	AURKA	79.87899999999999
87	PEBP1	79.299
88	BRAF	79.0795
89	TKT	78.2435
90	PRDX1	77.8425
91	IGF1R	77.577
92	TTYH2	77.2775
93	CDC37	77.2755
94	DDX39B	76.6375
95	BRD4	76.542
96	MIF	76.446
97	MAP2K1	76.276
98	HSPA1A	75.374
99	AGR2	75.22749999999999
100	RELA	74.9765
101	VCAM1	74.93299999999999
102	SRC	74.8745
103	STUB1	74.3735
104	PRDX2	73.9395
105	FAF1	73.064
106	MDM2	72.6725
107	PRKCZ	72.672
108	RECQL4	72.245
109	GSK3B	71.671
110	HDAC6	71.567
111	PARK7	71.24449999999999
112	HNRNPA2B1	70.1265
113	HNRNPK	69.1385
114	HSPD1	68.829
115	HNRNPD	68.227
116	BIRC3	67.82050000000001
117	PCBP1	67.637
118	FASN	66.0495
119	FANCD2	66.018
120	CDKN1A	65.86749999999999
121	TFCP2	65.744
122	HDAC5	65.732
123	HSPH1	62.75450000000001
124	ITGA4	62.734500000000004
125	CDC73	60.959500000000006
126	RPSA	59.83050000000001
127	ATXN3	59.3535
128	PPIB	58.095000000000006
129	SOD1	57.7975
130	HSPE1	57.49550000000001
131	CYLD	57.152499999999996
132	BRCA1	56.628
133	DNAJA1	56.553
134	CALR	56.294000000000004
135	STMN1	56.093
136	PDIA3	55.7915
137	PTMS	55.69199999999999
