rank	node	rank_score
1	PTGS2	180.099
2	NPM1	175.1675
3	CDKN1A	174.57999999999998
4	MDM2	168.2965
5	UBE2M	163.6935
6	SKP1	157.584
7	TP53	139.3765
8	ERCC8	124.59850000000002
9	CDK2	122.75999999999999
10	ATXN3	112.3
11	HSPA8	111.88050000000001
12	NEDD8	111.785
13	COPS2	110.48899999999999
14	DDB1	108.58800000000001
15	COPS6	107.0875
16	RECQL4	106.1575
17	PSMA6	105.758
18	COPS7A	105.295
19	GPS1	104.5895
20	COPS3	102.4905
21	SKP2	101.764
22	COPS4	101.6925
23	DTL	101.28099999999999
24	PKM	99.7415
25	PARK2	97.643
26	FBXO9	97.5945
27	PSMA2	96.454
28	HSPA5	95.839
29	BRD4	95.5205
30	UBC	95.09400000000001
31	HSP90AA1	93.36449999999999
32	PSMA3	93.13199999999999
33	DDB2	92.19
34	COPS7B	90.892
35	CUL5	89.987
36	MYEOV2	88.19800000000001
37	HNRNPK	87.68199999999999
38	DCAF11	86.99300000000001
39	FBXO44	85.8995
40	COPS8	85.69550000000001
41	FBXO17	84.6885
42	LRR1	83.478
43	CUL4B	82.5865
44	DCUN1D1	82.2915
45	RFWD2	81.586
46	HNRNPD	80.853
47	CUL3	79.5845
48	DET1	78.583
49	VPRBP	78.1855
50	CUL2	77.979
51	FBXO22-AS1	77.89750000000001
52	DDA1	76.9835
53	FUS	76.75550000000001
54	DCAF4L2	75.976
55	MYC	75.749
56	ANKRD39	75.6745
57	CRBN	74.97749999999999
58	PHIP	74.89099999999999
59	IGHV3OR15-7	74.1785
60	CDKN1B	74.1615
61	HSP90AB1	74.0275
62	PLEKHA4	72.542
63	DCAF4	71.57050000000001
64	FBXO3	70.89099999999999
65	PHB	69.846
66	PRPF8	69.0325
67	EFTUD2	68.029
68	EEF1A1	67.9515
69	RBM39	67.144
70	CAND1	66.563
71	PRDX1	66.1505
72	GAPDH	65.5495
73	HNRNPA2B1	63.572
74	DDX5	62.673
75	RPL36AP37	62.5755
76	SNRPD1	62.352
77	TCEB2	61.37949999999999
78	FBXW4	60.277
79	TCEB1	60.269499999999994
80	FZR1	60.0245
81	HSPA9	59.956999999999994
82	VHL	59.071000000000005
83	EEF2	58.9335
84	CTNNB1	58.246500000000005
85	BTBD2	57.981500000000004
86	GNB2L1	57.956999999999994
87	PSMD4	57.8885
88	KLHL18	56.88250000000001
89	PSMB6	56.6955
90	RPL7AP9	56.57000000000001
91	HUWE1	55.67
92	PSMD1	54.894000000000005
93	DCUN1D2	54.475
94	HNRNPA1	54.2475
95	ARIH2	53.654500000000006
96	PSMA7	53.396
97	PSMD2	52.686
98	TUBB	52.4655
99	HEXIM1	52.327999999999996
100	PCBP1	52.150999999999996
101	CDT1	52.065999999999995
102	NCL	51.8525
103	PSMD6	51.786500000000004
104	KLHL10	51.5735
105	RPL7AP27	50.7685
106	RPSAP12	50.7625
107	HNRNPAB	50.7565
108	BRCA1	50.7235
109	WDR5	50.542500000000004
110	PSMB7	50.4905
111	TUBB4B	50.332
112	PSMC6	49.985
113	MAF	49.88
114	AMBRA1	49.761
115	PSMC2	49.295
116	PSMA5	49.18300000000001
117	PSMD13	49.1815
118	PSMA4	48.9925
119	PSMD5	48.887
120	MEPCE	48.83
121	PSMD12	48.7895
122	PSMA1	48.489999999999995
123	ADRM1	48.091499999999996
124	PSMD7	48.0805
125	UFL1	47.92100000000001
126	FBXL15	47.8585
127	PSMD8	47.291
128	PSMC1	47.1785
129	PSMD11	46.979499999999994
130	PSMC4	46.577999999999996
131	PSMD3	46.381
132	PSMB3	45.6825
133	HNRNPU	45.6335
134	PSMB5	45.5855
135	HSPA4	45.427
136	SLC25A5	45.234
137	MCM2	45.128
138	PSMA8	45.084
139	PSMB2	44.988
140	RAD23A	44.9775
141	PSMB9	44.783500000000004
142	PSMB4	44.782
143	UBE3A	44.476
144	ASB6	44.2715
145	PSMC3	44.177
146	PSMB8	43.9875
147	NTRK1	43.8485
148	UCHL5	42.984500000000004
149	PSMB1	42.879
150	PSMD14	41.9745
151	USP14	41.7765
152	DCUN1D4	40.859500000000004
153	PTPN2	40.575
154	SHFM1	40.4755
155	RAD23B	40.463499999999996
156	PSME3	40.374
157	RPS4X	40.235
158	CCDC74A	40.170500000000004
159	CCDC74B	40.1665
160	PAAF1	40.0735
161	PSMD10	39.973
162	PSMG2	39.6685
163	CENPW	39.3875
164	RNF7	39.265
165	CCDC92	39.068
166	METTL14	39.007
167	PSME2	38.971500000000006
168	MFN2	38.870999999999995
169	DCUN1D3	38.066500000000005
170	UBLCP1	37.462
171	PSME1	37.065999999999995
172	PSME4	36.867000000000004
173	HSPA1B	36.761
174	FKBP8	36.6725
175	RPS15A	36.416
176	UBXN7	36.262
177	FAF1	36.037
178	MAPK6	35.958
179	RPS3A	35.81
180	U2AF2	35.1395
181	ILF3	35.132999999999996
182	L3MBTL1	34.7605
183	AAR2	34.734500000000004
184	DESI1	34.6625
185	BAG1	34.3575
186	PTBP1	34.131
187	ZFAND2B	34.0655
188	DDX17	33.747
189	TXNL1	33.664
190	POMP	33.363
191	KIAA0368	33.352999999999994
192	DHX9	33.339999999999996
193	STUB1	33.245999999999995
194	HNRNPA3	33.2375
195	CFTR	33.167500000000004
196	SNAI1	33.1225
197	USP15	33.052
198	LARP7	32.7615
199	UBQLN4	32.5595
200	PSMB10	31.764499999999998
201	AMFR	31.646500000000003
202	AR	31.6135
203	RPS3	31.407999999999998
204	TARDBP	31.3305
205	RPS23	31.3185
206	HNRNPDL	31.2365
207	YAP1	30.912
208	PABPC1	30.845
209	RPS26P54	30.7935
210	FEM1B	30.472500000000004
211	PSMG1	29.857
212	PSMD9	29.559000000000005
213	RPS16	29.403999999999996
214	BTBD1	29.374000000000002
215	CCT2	29.2385
216	RPS25	29.02
217	RPL24	28.412
