rank	node	rank_score
1	MTIF2	180.1
2	AUH	178.8995
3	CS	177.599
4	NDUFS7	176.298
5	ACAD9	175.19650000000001
6	C17orf80	174.9975
7	NDUFV3	174.595
8	TRMT61B	173.3985
9	HINT2	173.397
10	NDUFS6	172.596
11	NDUFA7	169.3945
12	SLIRP	168.192
13	MTRF1L	168.0955
14	MTERF3	168.094
15	NDUFS2	167.6935
16	VWA8	166.79149999999998
17	PMPCA	164.693
18	FASTKD2	164.0895
19	FASTKD5	163.291
20	NDUFA6	163.19
21	MTRF1	162.08800000000002
22	ICT1	161.4925
23	MRPS26	161.0885
24	TSFM	158.689
25	MDH2	158.18699999999998
26	GRSF1	158.0875
27	C6orf203	157.5905
28	C21orf33	155.5865
29	NDUFA5	154.586
30	MRRF	153.3845
31	TFAM	152.48499999999999
32	LONP1	152.382
33	METTL15	151.8855
34	TRUB2	151.484
35	OGDH	149.38299999999998
36	PDK1	148.5825
37	TBRG4	146.481
38	NDUFAF2	145.4815
39	AARS2	145.1805
40	MRPS36	144.3795
41	CLPP	143.9785
42	C8orf82	143.678
43	PDHA1	143.18
44	PMPCB	141.4765
45	CCDC90B	138.8675
46	ACOT2	138.57750000000001
47	RPUSD4	137.9835
48	MMAB	137.575
49	METTL17	137.47899999999998
50	ACOT1	137.377
51	SSBP1	136.37449999999998
52	HSPD1	134.27550000000002
53	NDUFAF4	134.176
54	MTG2	131.4735
55	TEFM	130.8725
56	ATPAF1	130.574
57	DHX30	129.573
58	MCUR1	129.2715
59	VARS2	128.4685
60	MRPS6	128.372
61	ETFB	127.471
62	TIMM44	126.37
63	COX4I1	125.968
64	MTIF3	125.36949999999999
65	C12orf65	122.2705
66	NFS1	120.667
67	MRM1	120.3665
68	PYCR2	120.36599999999999
69	NGRN	119.2655
70	GLS	117.96399999999998
71	PYCR1	117.76500000000001
72	MRPL11	116.86449999999999
73	CARS2	116.269
74	MRPS12	114.2635
75	NME4	113.96300000000001
76	MRPS28	111.5615
77	MRPS14	108.46
78	EXD2	107.862
79	MRPS24	107.3605
80	DDX28	107.155
81	MRPS16	106.9595
82	CCDC109B	106.16100000000002
83	MRPS2	105.8585
84	PPIF	104.9625
85	RPUSD3	103.85900000000001
86	MRPS25	103.55699999999999
87	MRPS23	102.0565
88	C1QBP	101.9515
89	MRPS34	101.1575
90	MRPS33	100.95599999999999
91	MRPS17	99.35799999999999
92	MRPS18B	99.25550000000001
93	MRPS31	98.95450000000001
94	MRPS27	96.75399999999999
95	MRPS22	95.3535
96	MRPS9	94.35249999999999
97	MRPS5	93.553
98	MRPS35	93.152
99	DAP3	90.851
100	ERAL1	90.6505
101	CRYZ	89.5495
102	MRPS10	89.25
103	TUFM	88.449
104	OTC	87.248
105	MRPS7	86.8485
106	FASTKD3	85.4475
107	MRPS18C	83.8465
108	TMEM70	83.547
109	MTFMT	82.646
110	COX8A	81.74449999999999
111	MRPS11	80.64349999999999
112	ELAC2	79.64500000000001
113	LARS2	79.64200000000001
114	IMMP2L	79.24249999999999
115	TRMT10C	79.144
116	MTG1	78.04549999999999
117	LETM1	77.94300000000001
118	AURKAIP1	74.041
119	MRPL21	71.84049999999999
120	HSCB	71.4395
121	MRPL45	70.53999999999999
122	MRPL44	69.339
123	MRPL37	67.8385
124	MRPL41	67.738
125	CHCHD1	67.0375
126	ETFA	66.2145
127	MRPL50	65.237
128	MRPL43	64.9365
129	ECHS1	63.64149999999999
130	MRPL12	63.335
131	DNAJC15	62.734
132	MRPL46	62.6355
133	MRPL2	61.636
134	MRPL20	60.734500000000004
135	MRPL4	59.133500000000005
136	MRPL24	58.83299999999999
137	MRPS30	57.2325
138	MRPL28	56.331999999999994
139	MRPL47	56.231500000000004
140	MRPL13	54.931
141	MRPL19	53.93050000000001
142	AFG3L2	53.614999999999995
143	MRPL15	53.029999999999994
144	MRPL53	52.029500000000006
145	MRPL49	50.428999999999995
146	MRPL10	50.327999999999996
147	MRPL42	49.3285
148	MRPL23	48.6275
149	MRPL9	47.427
150	MRPL48	47.2265
151	MRPL39	46.426
152	MRPL3	44.7255
153	MRPL27	44.225
154	MRPL40	42.9245
155	MRPL1	42.324
156	MRPL18	41.3235
157	MRPL38	40.523
158	MRPL17	39.5225
159	MRPS18A	38.222
160	MRPL52	38.121500000000005
161	MCU	37.6195
162	GADD45GIP1	36.321000000000005
163	MRPL22	35.9205
164	MRPL55	34.72
165	DNAJA3	31.415999999999997
166	MRPL30	31.219
167	DNAJC19	30.617
168	RNMTL1	30.518
169	MRPL51	29.8185
170	TRAP1	29.615499999999997
171	MALSU1	28.317500000000003
172	DLST	27.516499999999997
173	PNPT1	24.613999999999997
174	SUPV3L1	24.313499999999998
175	COX15	24.012999999999998
176	RBMS2	21.7115
177	MRPL16	21.612000000000002
178	MRPL14	21.5125
179	GUF1	19.81
180	POLG	18.4095
181	RMND1	17.611
182	OXA1L	17.410500000000003
183	ATP5F1	16.308
184	DNAJC28	15.608500000000001
185	H1FNT	14.009
186	PREPL	13.607499999999998
187	STOML2	12.907
188	MRPL32	11.006499999999999
189	CLPX	10.3055
190	PDPR	10.206
191	YARS2	9.205
192	QRSL1	7.8045
193	GATB	6.903999999999999
194	DLAT	6.503
195	POLDIP2	4.901999999999999
196	IBA57	4.5024999999999995
197	ATP5J2-PTCD1	3.6034999999999995
198	NDUFAF3	3.4015
199	PARL	2.101
200	SHMT2	1.7005
