rank	node	rank_score
1	RASSF1	180.1
2	EPHA2	179.09949999999998
3	CDKN2B	178.299
4	CDK6	176.898
5	TEAD2	176.394
6	GLIS2	175.5935
7	FGFR4	174.5975
8	LATS2	174.097
9	MAP2K5	172.8945
10	STK11	171.8965
11	CCND2	171.0955
12	CDK4	170.195
13	AKT1	167.3905
14	ARNT	167.1925
15	RAF1	166.993
16	ERBB2	165.891
17	CD44	165.79149999999998
18	GRM1	165.496
19	PDGFRA	165.29850000000002
20	MAP2K3	164.09
21	NF2	163.692
22	CDKN2C	161.1895
23	KDELR2	160.189
24	BECN1	159.4885
25	CCNE1	158.18800000000002
26	CBLC	157.6875
27	MAP2K6	156.887
28	MAP3K5	155.686
29	ARAF	154.9865
30	TSC1	153.6855
31	MDM4	153.385
32	KAT2A	152.1845
33	MAPK14	150.583
34	FZR1	150.484
35	HIF1A	150.08350000000002
36	TP53	146.9815
37	RELA	146.882
38	HSP90AA1	146.6805
39	TTYH2	144.48250000000002
40	HSP90AB1	144.17950000000002
41	IGF1R	143.68
42	BRAF	143.079
43	CDC37	141.87849999999997
44	CTNNB1	140.178
45	HSPA1A	138.07649999999998
46	YWHAE	137.977
47	MAPK1	137.18099999999998
48	MAP2K1	136.376
49	SRC	135.5755
50	YWHAZ	135.575
51	STUB1	133.274
52	HSPA4	133.2735
53	MDM2	131.973
54	MAPK3	130.7745
55	HSPA8	130.27249999999998
56	SP1	128.072
57	TUBB	127.57150000000001
58	RB1	126.571
59	AR	124.17049999999999
60	CDK1	119.97
61	HSPB1	119.86500000000001
62	BRCA1	119.6665
63	HSPA9	118.667
64	SHC1	118.16900000000001
65	ABL1	117.1685
66	EEF2	116.9595
67	JUP	112.46399999999998
68	GAPDH	110.66599999999998
69	CDKN1A	108.2695
70	HSPA5	107.85799999999999
71	USP11	107.65
72	HDAC6	106.852
73	PRKCZ	104.65050000000001
74	DNAJA1	103.95149999999998
75	CAD	103.753
76	HUWE1	102.242
77	EGFR	102.1635
78	PKM	100.6445
79	MAPT	99.551
80	CSK	99.259
81	HSPA6	98.6575
82	DNAJA2	95.849
83	IRS4	95.4605
84	MAPK7	95.3395
85	LCK	94.0615
86	CBL	93.2655
87	SOX4	91.47749999999999
88	GRB2	90.66
89	TUBB4B	89.8495
90	HSPH1	89.24600000000001
91	GNB2L1	88.86749999999999
92	VCP	88.7415
93	NPM1	88.244
94	RASA1	86.9645
95	PTEN	86.0525
96	CDK2	85.935
97	YWHAQ	85.25550000000001
98	EEF1A1	82.845
99	SOCS1	82.462
100	ATP5A1	81.84349999999999
101	RIN3	80.9465
102	PARK2	80.24549999999999
103	YAP1	79.843
104	FASN	77.1375
105	PIK3R1	76.36800000000001
106	TUBA1C	74.8425
107	ATXN3	74.738
108	PHB	74.441
109	HSPA1L	72.7485
110	SLC25A3	69.7405
111	PML	69.362
112	TUBG1	69.2625
113	CREBBP	67.5625
114	CCND1	67.229
115	FUS	66.4345
