rank	node	rank_score
1	HSPA4	173.894
2	HSP90AA1	171.499
3	CHUK	170.59650000000002
4	PRKCD	169.8955
5	IKBKB	168.9975
6	TRAF6	168.0905
7	SQSTM1	166.59099999999998
8	TP53	165.4885
9	TNFAIP3	162.39000000000001
10	CORT	155.8985
11	MTOR	155.5875
12	TRAF3IP2	154.289
13	PRKCQ	150.39600000000002
14	TRAF2	150.082
15	IKBKG	148.087
16	ELAVL1	147.99349999999998
17	CARD11	147.4925
18	NGFR	145.379
19	BCL10	145.084
20	RIPK2	144.4805
21	RNF31	143.674
22	RIPK1	142.9765
23	MALT1	142.4895
24	MAP3K7	142.292
25	BIRC3	140.15550000000002
26	TNFRSF1A	138.77550000000002
27	MAPT	137.3375
28	RBCK1	135.26100000000002
29	BIRC2	134.6685
30	TAB2	134.275
31	IRAK1	132.973
32	AKT1	132.0825
33	STUB1	131.0855
34	IKBKE	130.668
35	XIAP	130.27100000000002
36	TAB3	126.26700000000001
37	CDC37	125.87750000000001
38	UBC	125.06949999999999
39	MAP3K3	123.67849999999999
40	CFLAR	123.46199999999999
41	CTNNB1	121.497
42	MAP3K11	121.48800000000001
43	PLA2G4B	117.2
44	TRAF1	116.66749999999999
45	TRAF3	115.97449999999999
46	TAB1	115.07150000000001
47	COPS5	114.2995
48	TRADD	114.1645
49	HIF1A	113.6865
50	MAP3K8	113.0845
51	NTRK1	111.6935
52	TLR3	111.5655
53	YWHAZ	110.242
54	MAPK8	110.077
55	NOD2	109.46300000000001
56	MAP3K14	107.78
57	HSP90AB1	106.98299999999999
58	GSK3B	106.95149999999998
59	TNF	106.369
60	TBK1	106.17
61	NFKBIA	103.376
62	VCP	102.378
63	TRAF5	102.0705
64	SGK1	101.9015
65	CASP10	101.75699999999999
66	BCL2	100.08099999999999
67	MAP3K5	98.834
68	CASP7	98.241
69	SHARPIN	97.0735
70	XK	95.596
71	CASP6	94.8665
72	FADD	93.964
73	PARK2	93.0445
74	PRKCA	92.22
75	CYLD	91.97200000000001
76	MAVS	91.7565
77	HSPA1A	91.519
78	SNCA	87.429
79	EGFR	87.265
80	CRYAB	85.09700000000001
81	HSPA5	82.832
82	PRKCZ	82.63050000000001
83	HSPA8	81.46000000000001
84	NOD1	79.9385
85	TANK	79.566
86	RAF1	78.8335
87	NPM1	77.7545
88	TICAM1	76.756
89	SPATA2	73.2615
90	CASP2	72.8585
91	USP19	71.955
92	IL1B	70.684
93	BAG2	69.636
94	PDPK1	68.90950000000001
95	STAT3	68.59
96	TNIP1	68.1625
97	NLRC4	68.027
98	TNFRSF11A	67.5635
99	ULK3	66.6535
100	RIPK3	66.3485
101	OPTN	66.25750000000001
102	YWHAE	65.4125
103	MAPK7	65.2485
104	HDAC6	63.54
105	RPTOR	62.986000000000004
106	DNAJA1	62.222
107	CSK	61.412
108	MDM2	61.15
109	ESR1	60.8495
110	UEVLD	60.052
111	MAP2K5	59.70399999999999
112	STAT1	58.741499999999995
113	RELA	58.521
114	BCL3	57.0105
115	CBL	56.442499999999995
116	UCHL1	54.659000000000006
117	CASP9	54.396
118	EP300	53.7255
119	FYN	51.9465
120	PYCARD	51.68050000000001
121	TRAF4	49.9505
122	CSNK1A1	49.6345
123	PELI1	49.553999999999995
124	VIM	48.7595
125	UBE2N	47.8585
126	USP15	47.8525
127	XPO1	46.527
128	ULK1	46.053
129	PRKCB	45.43300000000001
130	IRS1	45.2355
131	LRRK2	45.2315
132	IRF3	44.946
133	TNFSF10	43.5475
134	YWHAQ	43.3405
135	ABL1	42.6325
136	CALCOCO2	41.747
137	ZC3H12A	41.6505
138	YAP1	41.428
139	OTUD7B	41.248000000000005
140	CAD	40.915
141	PPP2R1A	40.3695
142	CASP12	39.766999999999996
143	USP2	38.451
144	ATXN3	38.1175
145	CDKN2A	37.013999999999996
