rank	node	rank_score
1	AGR2	180.0
2	FN1	177.69850000000002
3	UBE2M	177.499
4	TKT	177.098
5	FGD5	174.6995
6	PARK2	173.796
7	CFL1	173.697
8	YWHAQ	172.395
9	ALDOA	172.2965
10	PGK1	171.99349999999998
11	CDK2	170.294
12	LDHA	169.6945
13	LDHB	167.59300000000002
14	SOD1	166.4925
15	PINK1	165.4955
16	MCM2	164.99200000000002
17	PPIA	164.0915
18	PRDX2	157.8905
19	BIRC3	157.78400000000002
20	MIF	157.391
21	AAR2	151.98899999999998
22	HSPE1	151.4865
23	HSP90AB1	149.18699999999998
24	DDX39B	147.0875
25	HSD17B10	147.06599999999997
26	EFTUD2	144.58800000000002
27	U2AF2	144.48499999999999
28	TAGLN2	142.8645
29	SUMO2	141.5815
30	PRDX6	138.564
31	EEF2	137.1685
32	MYOC	136.79749999999999
33	PSMA3	136.47
34	PRPF8	136.168
35	PGAM1	133.6835
36	CALR	133.586
37	PFN1	132.6885
38	PDIA3	131.6855
39	PPIB	130.3845
40	PIH1D1	129.6655
41	PEBP1	129.583
42	HUWE1	127.96900000000001
43	ANXA5	127.2825
44	PRDX1	125.66749999999999
45	STMN1	123.18050000000001
46	PTMS	122.381
47	ANP32B	122.282
48	DNM1L	121.86500000000001
49	METTL14	120.96700000000001
50	PRKCSH	120.079
51	PDIA4	119.57950000000001
52	BASP1	119.27849999999998
53	PTMA	117.27799999999999
54	CALM1	116.87750000000001
55	TRIM24	116.476
56	ANP32A	115.97999999999999
57	HSP90B1	115.57300000000001
58	CUL7	115.56300000000002
59	FUS	114.55850000000001
60	FKBP3	114.17699999999999
61	CKB	113.9725
62	NEDD4	113.57649999999998
63	MARCKS	113.175
64	TPM3	112.77550000000001
65	MDH2	111.87100000000001
66	HSPA9	111.55799999999999
67	YAP1	111.55550000000001
68	FASN	111.05999999999999
69	PRDX3	110.06949999999999
70	NACA	109.47350000000002
71	RBM39	107.957
72	CFTR	107.87150000000001
73	STIP1	107.6425
74	NTRK1	106.5615
75	HNRNPA1	106.155
76	VCAM1	105.75399999999999
77	ATP5A1	104.65650000000001
78	PHB	104.45599999999999
79	PDIA6	103.2665
80	TXN	101.85900000000001
81	HSPA5	101.4595
82	ITGA4	101.3465
83	HEXIM1	101.2495
84	MYC	100.09
85	NAA40	98.451
86	HSP90AA1	97.65299999999999
87	PAICS	96.2525
88	TFCP2	95.348
89	VCP	94.9505
90	ATP5B	94.752
91	HSPD1	94.049
92	PHOSPHO1	92.3705
93	CCT8	90.747
94	RECQL4	88.143
95	CCT3	87.946
96	ATXN3	87.64500000000001
97	RBM8A	84.174
98	NME1	84.1455
99	PPT1	82.84349999999999
100	PCBP1	82.139
101	BRD4	82.0485
102	FANCD2	80.7515
103	CCT4	79.744
104	PCMT1	79.14750000000001
105	TCP1	78.94449999999999
106	LRRK2	78.4635
107	GPI	78.361
108	TUBB	78.3395
109	HDAC5	77.6405
110	HSPA8	76.4355
111	EIF6	75.65450000000001
112	CDC73	74.4385
113	HMGN1	73.5745
114	EEF1G	72.9345
115	ATPIF1	72.772
116	YWHAE	72.5275
117	HNRNPA2B1	71.74
118	CCT6A	71.14200000000001
119	EEF1A1	69.1335
120	CTNNB1	69.13250000000001
121	RIN3	68.536
122	HNRNPK	68.238
123	PCBP2	68.1365
124	TARDBP	67.937
125	PHGDH	66.935
126	UFL1	66.2255
127	MSN	65.6575
128	CCT7	65.64099999999999
129	CCT5	65.5415
130	YWHAZ	63.926
131	EEF1B2	62.830999999999996
132	LGALS9	62.42999999999999
133	BRCA1	60.634
134	LINC01554	58.999
135	NPM1	57.727
136	PABPC1	57.63199999999999
137	IQGAP1	57.5625
138	WDR5	56.532999999999994
139	AHCY	56.04549999999999
140	HSPB1	55.7285
141	FH	55.592499999999994
142	ISG15	55.462
143	ENO3	55.2895
144	PTBP1	54.727999999999994
145	RPSA	52.025
146	EIF4A1	51.422000000000004
147	MYH9	50.4535
148	DDRGK1	50.118
149	NDN	49.229
150	HNRNPD	48.6245
151	PCNA	48.163
152	CDK9	47.3315
153	CUL1	47.1195
154	HNRNPA3	45.92100000000001
155	MEPCE	44.2205
156	CAND1	43.0185
157	HDAC6	42.1265
158	ATF2	38.8695
159	RPS3	37.6155
160	FAF1	36.92
161	ACTB	36.65
162	DSTN	35.9895
163	RPS4X	35.517
164	STAU1	35.419
165	DDX17	35.0215
166	OBSL1	34.624
167	RUVBL1	34.5235
168	MDH1	34.2795
169	SPR	33.58
170	HSPA4	32.8375
171	XRCC6	32.6225
172	HSPH1	31.85
173	SLC25A5	31.0135
174	RPL7	30.8145
175	EWSR1	30.4235
176	RPS3A	29.714
177	HNRNPU	28.813
178	CAD	25.223
179	RPS15A	25.210500000000003
180	CUL3	24.711000000000002
181	BTF3	24.316
182	RPL12	23.5095
183	NCL	22.811500000000002
184	RPL9	22.81
185	GNB2L1	22.415
186	ZC3H18	21.7125
187	RPL5	20.2085
188	TUBB4B	19.321
189	RPL10A	18.808
190	RPS8	18.4075
191	RPL18	18.006999999999998
192	RPS7	17.9055
193	NME2	17.8905
194	ENO2	16.557
195	RPL24	15.8065
196	DHX9	15.7195
197	RAN	14.829500000000001
198	UBA1	14.631
199	TRIM28	14.212
200	EEF1D	13.8305
201	RPL21	13.203999999999999
202	SERPINH1	12.560500000000001
203	CHMP4C	12.459
204	RPS14	12.4045
205	RPS5	12.103
206	RPS2	12.102500000000001
207	RPS16	12.001
208	MTHFD1	11.933
209	LARP7	10.8085
210	RPLP0	10.4055
211	RPS23	9.8035
212	RPS11	9.702
213	RPS9	9.004999999999999
214	RPS13	8.6005
215	RPL23	8.500499999999999
216	RPS25	8.301
217	RPS18	7.3015
218	CLTC	7.1175
219	RPL6	5.808
220	ILF2	5.7090000000000005
221	RPL7A	5.6049999999999995
222	RPL8	5.503
223	KHSRP	5.4165
224	NR2C2	5.406000000000001
225	RPL27A	5.2065
226	RPS27	4.907
227	RPL11	4.8035
