rank	node	rank_score
1	HSPA4	169.997
2	CTNNB1	169.36849999999998
3	CAV1	168.0885
4	HSP90AA1	163.076
5	EPHA2	161.796
6	HSPA5	161.5955
7	AKT1	158.8965
8	MAP2K3	156.5915
9	ARNT	156.392
10	MYC	155.77550000000002
11	CASP3	155.495
12	CASP7	155.2935
13	HSPA8	146.469
14	MAP2K5	146.1945
15	HSPA1A	142.155
16	IGF1R	141.66500000000002
17	RAF1	141.2825
18	JUP	140.7615
19	HSP90AB1	139.9725
20	HDAC6	139.268
21	STUB1	136.971
22	HIF1A	136.789
23	CCND2	136.3995
24	AR	135.8565
25	CDKN2B	132.29000000000002
26	EGFR	132.253
27	ARAF	130.6855
28	CDK6	129.38150000000002
29	PTK6	127.8395
30	BECN1	127.5835
31	STK11	127.4905
32	GLIS2	127.08600000000001
33	AURKA	126.29400000000001
34	HGF	123.98400000000001
35	SOCS1	123.85799999999999
36	IRS4	123.7385
37	RASSF1	123.39099999999999
38	FGFR4	123.3865
39	YWHAZ	123.26100000000001
40	CBLC	123.18499999999999
41	LATS2	123.18199999999999
42	CDK4	122.58699999999999
43	CDKN2A	122.57750000000001
44	TERT	119.583
45	BRAF	119.175
46	PTK2	118.398
47	SOD1	116.699
48	TEAD2	115.681
49	CASP9	115.593
50	CDKN2C	115.0805
51	CDC37	114.3545
52	GRM1	113.58800000000001
53	FZR1	113.56949999999999
54	MAP2K6	113.3845
55	CDH1	113.1475
56	CD44	112.9875
57	MAP3K5	112.07449999999999
58	CSK	111.76399999999998
59	KDELR2	111.6795
60	HSPH1	110.7635
61	YWHAE	110.367
62	CCNE1	109.077
63	SHC1	108.2895
64	MAPK14	107.78
65	TUBB	105.749
66	PTPN11	102.75750000000001
67	CBL	100.657
68	SRC	99.8585
69	PDGFRA	99.37899999999999
70	MAP2K1	97.56
71	YAP1	97.15950000000001
72	PIK3R1	96.2485
73	HSPA6	93.35
74	GRB2	93.0495
75	KIAA1429	92.5895
76	DNAJA1	91.47200000000001
77	FASN	90.7675
78	CAD	90.562
79	EPHB1	88.7985
80	JAK2	88.063
81	GAPDH	86.96549999999999
82	MATK	85.35249999999999
83	MDM4	83.773
84	DNAJA2	82.83250000000001
85	GRB10	81.138
