rank	node	rank_score
1	PARK2	179.8
2	STUB1	179.0985
3	HSPA4	177.898
4	YAP1	161.49349999999998
5	CLU	157.8985
6	YWHAQ	157.499
7	YWHAZ	152.3995
8	ENO1	148.7945
9	EEF2	137.686
10	UBE2M	133.09099999999998
11	HSPA8	132.5675
12	TXN	131.7925
13	HSP90AB1	131.682
14	PKM	131.189
15	GAPDH	130.8895
16	HSP90AA1	126.878
17	TKT	125.797
18	PRPF8	124.78450000000001
19	PRDX2	124.396
20	PRDX1	122.38400000000001
21	AAR2	121.18299999999999
22	LDHA	121.09400000000001
23	HSPA5	120.49099999999999
24	LDHB	119.095
25	FUS	117.5805
26	AKT1	116.79650000000001
27	RIN3	116.769
28	CFL1	116.09200000000001
29	PGK1	115.4905
30	ALDOA	114.89000000000001
31	ATXN3	113.0855
32	PIH1D1	112.58099999999999
33	TPI1	111.79749999999999
34	EEF1A1	111.171
35	CDK2	111.08800000000001
36	PPIA	110.4875
37	EFTUD2	108.37950000000001
38	RBM39	107.56949999999999
39	PHB	105.373
40	FN1	105.2775
41	MIF	103.59549999999999
42	MCM2	101.4765
43	RPL12	101.4735
44	NPM1	101.24199999999999
45	RPS4X	100.9725
46	PCBP1	100.279
47	PRDX6	96.18350000000001
48	PGAM1	95.69300000000001
49	RPL7	95.668
50	RPS15A	95.1685
51	TFCP2	93.8915
52	DNM1L	93.5965
53	TAGLN2	93.187
54	RPS3A	92.865
55	RPL23	92.2645
56	RPS3	92.253
57	RPSA	91.2615
58	RPS16	89.46700000000001
59	AGR2	87.685
60	RPL9	86.664
61	FASN	86.172
62	RPS7	85.763
63	VCAM1	85.58
64	RPL24	85.5655
65	RPS23	84.7635
66	RPS25	83.8625
67	RECQL4	82.9745
68	RPS27	82.8665
69	RPL21	82.8595
70	HEXIM1	82.574
71	RPL5	82.5565
72	METTL14	82.466
73	RPS18	81.76050000000001
74	STIP1	80.98150000000001
75	RPLP2	78.3545
76	SLC25A5	78.2235
77	RPL10A	77.657
78	RPS14	77.362
79	RPL11	76.759
80	HSPE1	76.6865
81	RPL38	75.9585
82	RPS5	75.55550000000001
83	RPS28	75.46000000000001
84	RPS12	75.258
85	RPL27	74.856
86	TARDBP	74.429
87	RPS9	74.161
88	PCMT1	73.176
89	RPS26	72.45750000000001
90	RPL18	72.1525
91	RPS11	71.955
92	RPL22	71.851
93	HSPH1	71.7755
94	RPS13	70.3535
95	UBL4A	69.84
96	RPS2	69.45
97	RPL7A	69.049
98	BIRC3	69.025
99	ATP5A1	67.8755
100	PAICS	67.575
101	RPS21	66.9515
102	RPL27A	65.554
103	TUBB	65.17
104	ITGA4	64.877
105	HSD17B10	64.67150000000001
106	RPS20	64.3505
107	RPL30	64.05199999999999
108	NAA40	63.778499999999994
109	ENO3	62.588499999999996
110	RPLP0	62.448
111	RPL15	61.445499999999996
112	RPS19	61.347500000000004
113	RPLP1	60.545
114	RPL4	60.244499999999995
115	BTF3	59.431999999999995
116	LOC101929876	58.647000000000006
