rank	node	rank_score
1	MYC	160.4655
2	HSP90AA1	159.5925
3	RELA	157.5985
4	TP53	156.19400000000002
5	EP300	135.3915
6	ESR1	129.799
7	NCOR2	125.98949999999999
8	SP1	123.78899999999999
9	MDM2	122.57150000000001
10	ARNT	120.1955
11	CREBBP	115.779
12	NCOR1	115.1825
13	CSNK2A1	112.88699999999999
14	HIF1A	111.6925
15	NCOA3	110.96100000000001
16	KIAA1429	110.39949999999999
17	NCOA1	106.093
18	STAT3	103.28299999999999
19	HDAC3	101.69500000000001
20	BRCA1	99.56700000000001
21	EGLN3	98.8
22	CEBPB	97.9835
23	MAPK1	97.5765
24	BRD4	96.476
25	HDAC1	95.877
26	CHUK	95.485
27	VDR	94.87100000000001
28	PPARG	94.39
29	PML	94.1815
30	PHLDB1	93.7865
31	RB1	92.9705
32	NCOA2	91.997
33	AKT1	91.691
34	KAT2B	90.7785
35	SMARCA4	90.482
36	TFAP2A	89.9295
37	NCOA6	89.79650000000001
38	NFKB1	89.488
39	KLF5	89.4825
40	NPM1	87.095
41	SMAD3	86.47749999999999
42	HDAC2	86.273
43	AR	86.185
44	E2F1	84.2755
45	EPAS1	84.2735
46	CTNNB1	84.1845
47	SIRT1	83.5745
48	ETS1	83.363
49	RXRA	81.08099999999999
50	RARA	80.775
51	SMARCA2	80.255
52	NTRK1	76.19449999999999
53	TDG	75.9795
54	FOS	74.36749999999999
55	HNF4A	74.365
56	UBE2I	73.7635
57	ZBTB7A	72.0885
58	NR3C1	71.15599999999999
59	TBP	69.46549999999999
60	CCND1	68.7615
61	CEBPA	67.5645
62	BCL3	67.18050000000001
63	NR1H2	66.968
64	NR4A1	66.5355
65	VHL	66.4405
66	AHR	66.2975
67	PARP1	65.447
68	PGR	64.56
69	PPARGC1A	63.18299999999999
70	TP73	62.55800000000001
71	SIN3A	61.943000000000005
72	PIAS1	61.6555
73	FOXO3	61.57000000000001
74	NR0B2	61.361000000000004
75	MAFK	59.7605
76	IGFBP3	59.396
77	NR1H3	58.772000000000006
78	KAT5	58.56
79	STAT1	58.169000000000004
80	CDKN2A	57.65
81	SRF	57.576
82	EZH2	57.541
83	DNMT1	56.6365
84	RUNX2	55.762
85	IKBKB	55.698
86	RUNX1	53.538
87	HSPA8	51.9885
88	ATF3	51.459
89	PIN1	51.32000000000001
90	XRCC6	51.303999999999995
91	NR2C1	51.1155
92	PHOX2A	50.3645
93	HCFC1	50.2055
94	SMARCC2	50.128
95	PLAGL1	49.824
96	SMARCC1	49.434000000000005
97	CDKN1A	49.267
98	CIITA	48.6575
99	DDX5	48.427
100	CTBP1	48.359500000000004
101	HDAC4	48.0695
102	HIST1H4A	47.4185
103	SMARCB1	46.735
104	NR1I2	46.650999999999996
105	HSPA4	45.226
106	MYOD1	44.474000000000004
107	ETS2	44.0505
108	NRIP1	42.1625
109	NFKBIA	41.895500000000006
110	CDK1	40.5395
111	WASF4P	39.897000000000006
112	E2F4	39.8525
113	CHD3	39.7405
114	CREB1	39.64149999999999
115	CARM1	38.845
116	ARHGEF1	38.6995
117	EIF3C	38.496
118	TBL1X	38.3965
119	USP7	38.1325
120	IGFALS	38.0945
121	EIF3I	37.89
122	SP3	37.3545
123	EIF3L	37.1785
124	MED1	37.113
125	RBBP4	36.909000000000006
126	EIF3B	36.7805
127	EIF3H	36.5875
128	TRRAP	36.5075
129	EFTUD2	36.269
130	EIF3G	35.986000000000004
131	EIF4EBP2	35.9755
132	EIF4E	35.975
133	EIF3M	35.784000000000006
134	EIF3D	35.678
135	ANGEL1	35.1835
136	EIF3E	35.08
137	USP3	35.064499999999995
138	EIF4G3	34.973
139	NFATC1	34.7245
140	EIF3F	34.6765
141	CDK2	34.419
142	EIF3K	34.274
143	EIF4EBP1	34.272000000000006
144	GSK3B	34.239
145	DIS3L2	34.19199999999999
146	EIF4A2	34.0735
147	KMT2A	34.028999999999996
148	EIF3A	33.7815
149	EIF4G1	33.6725
150	SMAD2	33.6585
151	PRKDC	32.935500000000005
152	DAXX	32.933
153	KDM1A	32.917
154	EIF4A1	32.881
155	ARID1A	32.6305
156	DDX3X	32.2745
157	EIF3J	31.884500000000003
158	EIF4ENIF1	31.871500000000005
159	DDX60	31.869999999999997
160	ZBTB16	31.857
161	SOX2	31.7125
162	WWP2	31.654499999999995
163	GTF2I	31.615999999999996
164	EIF1B	31.371000000000002
165	CD74	31.3625
166	EIF4B	31.277499999999996
167	TRIM28	30.720999999999997
168	G3BP1	30.576999999999998
169	TFAP2C	30.517500000000002
170	PRPF8	30.165999999999997
171	NR1H4	29.988999999999997
172	ZBTB5	29.863999999999997
173	EIF3CL	29.7685
174	YY1	29.742
175	NCL	29.355
176	CDK4	29.349
177	XRCC5	28.908499999999997
178	RPS27L	28.7255
179	EIF4G2	28.6675
