rank	node	rank_score
1	CCL5	179.9
2	XCL2	179.3995
3	CXCL17	178.299
4	CCL26	177.0985
5	CCL13	176.798
6	CCL11	175.5975
7	CXCL11	174.697
8	CXCL12	173.49650000000003
9	CXCL10	173.196
10	CCL28	171.69549999999998
11	CCL21	171.1945
12	XCL1	170.395
13	CXCL2	169.294
14	CXCL14	168.3935
15	PPBP	167.39249999999998
16	PF4V1	166.693
17	CXCL6	165.692
18	CCL25	164.79149999999998
19	CXCL3	163.891
20	VCAN	162.9905
21	CXCL8	162.09
22	CCR3	160.9895
23	CXCR3	159.98899999999998
24	CCL27	159.8885
25	ACKR4	157.9875
26	JAK1	157.288
27	CXCL13	157.087
28	CSF2RA	155.5865
29	TRAF6	150.98499999999999
30	SYK	127.48299999999999
31	PIK3R1	119.88600000000001
32	IKBKG	111.3065
33	PELI1	109.576
34	JAK2	102.4845
35	CSF2RB	102.284
36	CBLB	101.8725
37	IKBKE	97.086
38	TRAF3	96.2865
39	RIPK1	95.485
40	TLR3	95.47999999999999
41	BIRC2	95.0855
42	TNFAIP3	94.481
43	CHUK	93.58250000000001
44	TRADD	91.982
45	TRAF2	90.8795
46	MAP3K7	90.773
47	CASP8	90.68350000000001
48	TRAF3IP2	90.579
49	TICAM1	90.1785
50	TBK1	88.7765
51	RIPK2	88.5775
52	TRAF1	88.078
53	TANK	87.577
54	FADD	87.2805
55	TNIP1	85.9755
56	BCL10	85.57000000000001
57	CD40	84.7745
58	TAB2	84.2735
59	RNF31	83.874
60	RBCK1	83.372
61	STAT3	82.18350000000001
62	TRAF5	82.16499999999999
63	SHARPIN	81.8725
64	IRAK1	80.1645
65	RIPK3	80.075
66	MALT1	79.96900000000001
67	CASP1	79.67150000000001
68	NOD2	78.971
69	TAB3	78.3665
70	MAP3K14	78.3625
71	SPATA2	78.2705
72	UEVLD	78.1695
73	CARD11	77.9675
74	CDC37	77.0275
75	MAVS	76.464
76	ULK3	75.768
77	CBL	75.175
78	XIAP	74.76849999999999
79	TAB1	74.167
80	TRAIP	74.054
81	TNFRSF11A	73.8595
82	IRAK2	72.851
83	TIRAP	72.55
84	OPTN	72.0655
85	SQSTM1	71.966
86	ZC3H12A	71.4605
87	CFLAR	71.3585
88	UBC	71.1635
89	IRAK4	71.0475
90	USP2	69.262
91	CALCOCO2	68.563
92	CASP10	68.259
93	IRF3	67.961
94	TAX1BP1	67.8615
95	NGFR	65.76
96	TLR4	64.647
97	RNF216	64.1495
98	NFKBIA	62.64
99	RNF11	62.456500000000005
100	STUB1	61.904500000000006
101	AZI2	61.75699999999999
102	BIRC3	60.95799999999999
103	CYLD	59.95450000000001
104	TMEM173	59.3535
105	IRS1	56.480500000000006
106	SOCS3	54.182500000000005
107	UBE2N	54.057500000000005
108	ACKR1	51.6845
109	RNF115	50.640499999999996
110	YOD1	49.352
111	MIB2	47.956
112	TRAF4	46.0505
113	PTK2B	44.982
114	SRC	44.5745
115	ERBB2	43.9815
116	PTK2	43.174
117	PTPN11	42.78
118	SOCS1	42.37949999999999
119	PELI3	42.146
120	FYN	41.173500000000004
121	KIT	40.6765
122	PYCARD	40.382999999999996
123	IGF1R	40.0755
124	RNF114	39.542500000000004
125	UBE2D2	38.843
126	UBE2V2	38.1455
127	NLRC4	37.8485
128	NOD1	37.749
129	PTPN6	37.678
130	UBE2D1	37.5415
131	EGFR	37.463
132	TRIM5	37.3435
133	LTBR	36.852999999999994
134	UBE2D3	36.741
135	ABL1	36.6645
136	MAP3K8	36.4555
137	PRKCD	35.277
138	TRIM31	35.138
139	UBE2V1	35.045
140	SHC1	34.771
141	HSP90AA1	34.64
142	ADAM17	33.8855
143	ERBB4	33.6685
144	ZAP70	33.666999999999994
145	GRB2	33.473
146	PLCG2	33.47
147	PIK3R2	33.369
148	MET	33.266
149	PLCG1	32.772000000000006
150	UBE2L3	32.7355
151	ERBB3	32.6665
152	CSF1R	32.5695
153	TRIM8	32.4385
154	CASP6	31.944499999999998
155	JAK3	31.781
156	ITK	31.762
157	ITCH	31.537
158	EPOR	31.4775
159	UBE2D4	31.238999999999997
160	RNF166	31.142000000000003
161	AKT1	31.023500000000002
162	VAV1	30.971500000000002
163	MAP3K1	30.4395
164	FLT3	30.25
165	SH3BP2	29.968
166	TEC	29.9675
167	UBOX5	29.7375
168	TRIM38	29.529500000000002
169	ULK1	29.406
170	BFAR	29.336000000000002
171	GAB1	29.1615
172	YES1	29.155
173	TNFRSF10B	28.844
174	GHR	28.570500000000003
175	DOK1	28.0625
176	LCP2	27.865
177	LCK	27.750999999999998
178	UBE2W	27.735000000000003
179	PDGFRB	27.458499999999997
180	SHB	27.365499999999997
181	UBE2K	27.1365
182	RNF125	27.134500000000003
183	VAV3	26.96
184	LYN	26.8635
185	FGR	26.8505
186	CBLC	26.818
187	BLNK	26.660500000000003
188	RASA1	26.459000000000003
189	CRKL	26.357999999999997
190	SOS1	26.357499999999998
191	UBE2E2	26.0315
192	PIK3R3	25.964
193	NCK1	25.959500000000002
194	HCK	25.756999999999998
195	INSR	25.1785
196	BECN1	25.008
197	BTK	24.854000000000003
198	DTX3	24.8325
199	RNF8	24.731
200	TRIM21	24.72
201	ABL2	24.5565
202	TRIM32	24.429000000000002
