rank	node	rank_score
1	GAS5	180.1
2	NFKB1	178.99949999999998
3	NFKB2	178.499
4	NFKBIB	177.29850000000002
5	NFKBIE	176.398
6	RELB	175.29749999999999
7	RELA	174.897
8	HIF1AN	173.69650000000001
9	TBK1	172.796
10	BTRC	171.2955
11	CHUK	169.094
12	IKBKB	168.995
13	CEBPB	168.0915
14	IKBKE	167.7945
15	NCOR2	167.192
16	SP1	166.99
17	IKBKG	166.7935
18	NCOA3	165.0925
19	ZC3H12A	164.49099999999999
20	TRIM40	164.193
21	TANK	161.5905
22	UBE2I	119.6425
23	SMAD3	119.362
24	CREBBP	111.71599999999998
25	PML	109.125
26	JUN	108.8125
27	MDM2	106.34400000000001
28	EP300	103.20750000000001
29	KLF5	100.108
30	HIF1A	96.3135
31	HDAC1	94.10499999999999
32	RUNX2	93.10249999999999
33	TNIP2	89.3895
34	PIAS1	89.212
35	VDR	87.589
36	NCOA1	86.487
37	CDKN1A	85.518
38	AKT1	85.0495
39	STAT6	84.985
40	NCOA2	84.8845
41	NCOR1	84.3875
42	NCOA6	84.18350000000001
43	BCL3	84.0805
44	RXRA	83.584
45	FOS	83.1815
46	ETS1	81.2865
47	SRF	81.183
48	RARA	80.58250000000001
49	AR	79.702
50	MAPK1	79.181
51	HDAC3	79.17999999999999
52	KAT2B	79.0065
53	DAXX	78.523
54	SMAD2	78.309
55	TBP	78.07849999999999
56	STAT1	77.375
57	CTNNB1	77.0245
58	HNF4A	76.6775
59	PPARGC1A	76.377
60	GSK3B	76.1555
61	NR1I2	75.8765
62	TP73	74.30699999999999
63	PPARD	73.0725
64	NR1H2	72.572
65	SMARCA4	72.2755
66	NR0B2	72.0715
67	TRAF6	70.8885
68	NR1H3	70.8705
69	SMAD4	70.8115
70	MALT1	70.7805
71	ATF3	70.6745
72	RXRG	69.97
73	PPARA	69.4695
74	NRIP1	68.96900000000001
75	HDAC4	68.57300000000001
76	MAVS	68.488
77	THRB	66.96849999999999
78	SIRT1	66.16749999999999
79	HSP90AA1	66.1645
80	RB1	65.3655
81	E2F1	64.966
82	CEBPA	64.763
83	KAT5	63.1635
84	E2F4	62.6625
85	CCND1	62.5615
86	FOXO3	61.664
87	MYOD1	61.4645
88	NR3C1	61.459500000000006
89	SUMO1	61.315
90	ZBTB7A	61.165
91	USP7	59.556
92	TDG	58.9585
93	ZBTB16	58.36
94	BRCA1	58.3005
95	HDAC2	58.2605
96	PIAS2	57.303999999999995
97	CEBPD	55.157500000000006
98	TP63	54.40599999999999
99	PARP1	53.85699999999999
100	FOXO1	53.856500000000004
101	MAP3K8	53.388999999999996
102	PLAGL1	53.304500000000004
103	CREB1	53.254
104	TNFRSF1A	52.4875
105	SMARCA2	52.459
106	BCL10	51.886
107	DNMT1	51.855
108	DNMT3L	51.8535
109	STUB1	51.56700000000001
110	ATF2	51.4525
111	RBCK1	51.28099999999999
112	BIRC2	51.187
113	MAP3K7	50.8815
114	RIPK1	50.5865
115	TAB2	50.37949999999999
116	NFE2L2	50.329
117	TRADD	49.8855
118	UEVLD	49.885000000000005
119	ESR1	49.6515
120	TRAF2	49.584500000000006
121	SP3	49.251999999999995
122	SHARPIN	49.077999999999996
123	NR4A1	48.910000000000004
124	RNF31	48.678999999999995
125	TRAF3	48.483000000000004
126	TLR3	48.1785
127	RIPK2	47.980000000000004
128	MAP3K14	47.8825
129	TRAF1	47.782
130	CASP8	47.484
131	CTBP1	47.2495
132	UBC	47.177499999999995
133	IRAK1	46.975
134	TICAM1	46.6835
135	PGR	46.6485
136	EZH2	46.446
137	TAB3	46.077
138	CARD11	45.576499999999996
139	USP2	45.476
140	OPTN	45.3755
141	YY1	45.327999999999996
142	FADD	43.5745
143	BCL6	43.32
144	ULK3	43.274
145	SQSTM1	43.2735
146	RUNX1	43.173500000000004
147	TRAF3IP2	43.169
148	TRAIP	42.87
149	TRAF5	42.8695
150	NOD2	42.373000000000005
151	CALCOCO2	42.372
152	TNFRSF11A	42.366
153	NFATC1	42.349000000000004
154	TAX1BP1	41.972500000000004
155	FHL2	41.8455
156	SPATA2	41.6715
157	TAB1	41.571000000000005
158	SMARCC1	41.4465
159	MYC	41.2295
160	IRF3	41.0685
161	CYLD	40.5705
162	XIAP	40.468
163	CD40	40.0655
164	OTUD7B	40.064
165	SIN3A	39.9435
166	CFLAR	39.866499999999995
167	TMEM173	39.7675
168	CCDC50	39.265
169	SMARCC2	37.9445
170	XPO1	37.863
171	GTF2I	37.0215
172	CDC37	36.8575
173	BECN1	36.659000000000006
174	ULK1	36.4585
175	BIRC3	36.457
176	USP19	36.257999999999996
177	ARID1A	36.245
178	UBE2D3	36.0635
179	PELI1	35.9605
180	NFKBIZ	35.898
181	RIPK3	35.6565
182	SMARCB1	35.3425
183	SMARCE1	34.143
184	UBE2N	33.3515
185	RNF115	32.851
186	UBE2D1	32.355000000000004
187	SMARCD2	32.2415
188	DDIT3	32.04
189	UBE2D2	31.753499999999995
190	TRIM21	31.652499999999996
191	RNF11	31.5545
192	RNF216	31.554000000000002
193	TRIM5	31.151999999999997
194	MAP3K1	30.752999999999997
195	PIN1	30.476999999999997
196	ITCH	30.259500000000003
197	NR1H4	30.148000000000003
198	PARK2	29.744999999999997
199	UBE2D4	29.6505
200	UBE2V2	29.248
201	UBE2V1	29.247000000000003
202	TRIM32	29.246500000000005
203	SMARCD1	29.139
204	MUL1	29.049
205	UBE2L3	28.648500000000002
206	TRIM31	27.95
207	EPAS1	27.9315
208	RAD23A	27.2445
209	UBE2K	27.042
210	UBOX5	26.541500000000003
211	HDAC5	26.516
212	ING1	26.438499999999998
213	TRIM8	26.345999999999997
214	DZIP3	26.139999999999997
215	TRIM23	26.040999999999997
216	UBE2E1	25.743000000000002
217	RNF8	25.545499999999997
218	AZI2	25.2625
219	UBE2E2	25.1405
220	KDM1A	24.822
221	RNF166	24.6375
222	RNF125	24.4395
223	TRIM39	24.238
224	TNFRSF1B	24.1715
225	UBE2W	23.938499999999998
226	NR2C1	23.725
227	CASP3	23.6575
228	CASP10	23.157
229	CASP1	22.8565
230	CASP6	22.856
231	TRIM50	22.835
232	HSPA4	22.813
233	FLI1	22.742
234	ATG5	22.56
235	TRIM27	22.4355
236	RNF111	22.337
237	HDAC6	22.332
238	UBE2E3	22.2365
239	OTUB1	22.1475
240	CHFR	22.139
241	XRCC6	21.9135
242	DTX3	21.836000000000002
243	SS18	21.6405
244	SMARCD3	21.541
245	SUZ12	21.424
246	HCFC1	20.816499999999998
247	ACTL6A	20.738
248	SS18L1	20.639499999999998
249	RNF165	20.532999999999998
250	HIST1H4A	20.523500000000002
251	USP15	20.3345
252	TBL1XR1	20.2225
253	DPF2	20.037
254	DPF1	19.9375
255	RBBP4	19.917
256	ARID1B	19.5365
257	GATA1	19.5205
258	TRIM17	19.430500000000002
259	SMAD1	19.4285
260	PRKDC	19.311
261	GLTSCR1	19.236
262	KPNA1	19.227
263	RNF126	19.1325
264	ARID2	18.835
265	PHF10	18.7355
266	TP53BP1	18.726
267	RNF168	18.6265
268	DPF3	18.3345
269	CBL	18.334
270	TRAF4	18.3335
271	TRIM28	18.1125
272	BCL7A	18.034
273	ZNRF1	18.022
274	JUND	17.9195
275	RNF14	17.827
276	ZNRF2	17.720499999999998
277	BRD9	17.6335
278	IRF7	17.561500000000002
279	PBRM1	17.532999999999998
280	MYD88	17.161
281	BCL7C	17.1325
282	TOP2B	17.1275
283	SFPQ	17.1255
284	ETS2	16.982
285	STK11IP	16.832
286	MKRN3	16.829500000000003
287	XRCC5	16.6095
288	BCL7B	16.431
289	TRIM2	16.2275
290	SS18L2	16.1305
291	UBB	16.0215
292	AURKA	15.9435
293	UBE2H	15.830000000000002
294	BRD4	15.713999999999999
295	TEX13B	15.63
296	USP21	15.628499999999999
297	LRSAM1	15.529
298	CBLC	15.128
299	SPI1	14.845499999999998
300	DDX5	14.605500000000001
301	KPNA2	14.526499999999999
302	UBE2S	14.4235
303	SOX2	14.3185
304	YOD1	14.225999999999999
305	RBBP5	14.218
306	TRIM38	13.9315
307	NFATC2	13.8115
308	SMAD7	13.717500000000001
309	UBA1	13.631
310	MTA2	13.613
311	KMT2A	13.5155
312	HIST1H3A	13.514499999999998
313	RFWD3	13.235
314	JUNB	13.119
315	SMARCA5	12.812000000000001
316	BRD7	12.624500000000001
317	CHD3	12.1105
318	UBE2U	11.7255
319	CSNK2A1	10.634
320	CIC	10.6075
321	OTUB2	10.521
322	HIPK2	10.308499999999999
323	MAPK8	10.1035
324	XAF1	9.7165
325	ATXN3	9.52
326	SIAH1	9.324000000000002
327	VCP	9.119499999999999
328	MBD3	9.007
329	POU2F1	8.8455
330	MTA1	8.8065
331	TRIM63	8.803
332	RBBP7	8.604
333	SMURF1	8.519
334	CDKN2A	8.3015
335	AXIN1	8.2225
336	VIM	8.2185
337	ASH2L	8.123
338	THRA	8.036
339	VHL	7.9315
340	CHD7	7.6175
341	SMURF2	7.617
342	MTOR	7.614
343	CDK1	6.6245
344	CHD4	6.606
345	SAP30	6.5035
346	MDM4	6.3105
347	CDK2	5.9235
348	MEN1	5.915
349	BPTF	5.803
350	GATAD2A	5.705
351	TAF6	5.608
352	HSF1	5.528499999999999
353	FOXK2	5.5015
354	MAP3K5	5.3145
355	SIN3B	5.202
356	HTT	4.7155000000000005
357	USP5	4.2225
358	RNF10	4.1215
359	KAT2A	4.109
360	GATAD2B	4.100499999999999
361	MYB	3.9085
362	HIST1H2BB	3.71
363	EGR1	3.4210000000000003
364	HSP90AB1	3.0010000000000003
365	HIST3H3	2.7024999999999997
366	IKZF1	2.6125
367	TSG101	2.511
368	HMGXB4	2.501
369	PIAS3	2.4095
370	ASF1A	2.3129999999999997
371	BRD2	1.8045000000000002
372	BRMS1	1.5165
373	SUDS3	1.4105
374	MTA3	1.4085
375	MBD2	1.008
376	SAP130	0.9075
377	BRMS1L	0.7070000000000001
378	MYBL2	0.6025
379	LIN9	0.5055
380	C17orf49	0.40499999999999997
381	MTF2	0.306
382	ARID4B	0.2045
383	PWWP2A	0.10400000000000001
384	RB1CC1	0.05550000000000001
385	ESRRA	0.052500000000000005
386	CIITA	0.051000000000000004
387	FOXO4	0.0445
388	SUV39H1	0.039
389	ARNT	0.0385
390	CCNE1	0.0335
391	SKP2	0.0325
392	UHRF2	0.020999999999999998
393	DTX1	0.020999999999999998
394	DTX3L	0.020499999999999997
395	TFAP2A	0.02
396	LTBR	0.019
397	BIRC7	0.0185
398	BFAR	0.018
399	MAP3K11	0.011
400	NGFR	0.010499999999999999
401	TRIM37	0.009
402	CASP7	0.0085
403	DNMT3B	0.008
404	PSMD4	0.007000000000000001
405	SIAH2	0.0055
406	SMARCA1	0.0035000000000000005
407	HSPB1	0.0035000000000000005
408	BCL11A	0.003
409	DAZAP2	0.003
410	CDK2AP1	0.002
411	BCL11B	0.0015
412	H2AFZ	0.001
413	LIN37	0.001
414	PHF1	0.0005
415	H2AFX	0.0005
