rank	node	rank_score
1	CCL13	178.7995
2	CCL2	178.5
3	CXCL9	178.299
4	CCL26	177.3985
5	CXCL17	175.898
6	CXCL10	175.89749999999998
7	XCL1	174.59650000000002
8	CCL5	174.397
9	PF4	173.096
10	CCL28	171.9955
11	CXCL12	171.29500000000002
12	CXCL11	170.8945
13	CXCL14	169.494
14	CCL21	168.5935
15	CXCL2	167.59300000000002
16	PPBP	166.5925
17	XCL2	165.892
18	PF4V1	164.79149999999998
19	CXCL6	163.791
20	CCL25	163.0905
21	CCL20	161.89000000000001
22	CCL24	161.089
23	VCAN	160.5895
24	CCL17	159.3885
25	CXCL5	158.488
26	CXCL3	157.5875
27	CXCL1	156.387
28	CXCR3	155.7865
29	CCL27	154.98600000000002
30	CXCL8	154.0855
31	CXCL13	153.185
32	ACKR4	152.1845
33	CCL7	151.18400000000003
34	ACKR1	149.983
35	CCL4L1	149.6825
36	ACKR2	148.58350000000002
37	FUT7	147.78199999999998
38	TMEM237	128.38
39	GJB1	112.777
40	EFNA5	111.87750000000001
41	YIPF6	110.27649999999998
42	RHCG	109.87849999999999
43	GPR42	107.576
44	TUSC5	106.77550000000001
45	SLC16A2	106.67350000000002
46	SSMEM1	106.075
47	TMEM60	105.374
48	SLC39A2	105.072
49	MS4A13	103.873
50	UPK1B	102.571
51	CLDN7	100.1705
52	GJA8	99.96900000000001
53	NIPAL4	98.764
54	AQP2	98.17
55	LHFPL5	98.065
56	FFAR2	97.36449999999999
57	CXCL16	96.2655
58	CD53	95.8665
59	GPR152	95.667
60	LAT	95.566
61	SLC38A7	95.0685
62	ERMP1	94.679
63	IGFBP5	91.4695
64	FAM209A	90.762
65	SLC13A4	89.9745
66	TMEM128	89.4625
67	TSPO2	88.66749999999999
68	MFSD5	88.3635
69	AQP6	87.961
70	MFF	87.8605
71	PNLIPRP1	87.5615
72	IER3IP1	85.678
73	CTXN3	84.16
74	MFSD6	83.3715
75	LPAR3	82.2535
76	CD79A	81.851
77	SLC35C2	81.35650000000001
78	CCL14	80.98150000000001
79	FXYD6	80.55550000000001
80	CYB561	79.852
81	CREB3L1	79.65799999999999
82	RTP2	79.3505
83	GJB2	78.663
84	TMEM218	77.3475
85	ERGIC3	76.954
86	SLC30A2	76.738
87	LEPROTL1	76.65
88	JAGN1	74.35499999999999
89	TMEM97	73.7595
90	EBP	72.953
91	C17orf62	70.95750000000001
92	GPR151	69.8585
93	TMEM86B	69.5495
94	SLC10A6	68.643
95	SMIM1	68.34349999999999
96	TMEM86A	67.836
97	TMEM52B	67.444
98	TMEM107	66.941
99	CNIH1	66.6425
100	ARL13B	66.4525
101	GPX8	65.8485
102	C4orf3	65.256
103	KIR2DL3	65.248
104	NRM	65.2465
105	FCER1G	64.7415
106	FXYD3	63.9335
107	GPR37L1	63.25450000000001
108	CCDC167	62.949
109	SLC18A1	62.540499999999994
110	CERS4	61.959
111	BIK	61.04600000000001
112	STX8	58.24549999999999
113	SMCO4	57.8235
114	PLN	57.556999999999995
115	BTN2A2	57.244499999999995
116	SLC7A1	57.225
117	TMEM14B	56.94500000000001
118	BMP10	56.147000000000006
119	PDZK1IP1	56.134
120	CPLX4	55.6375
121	TMEM229B	54.54200000000001
122	TMEM203	54.5345
123	TMX2	54.4385
124	SLC41A1	52.8605
125	NINJ2	51.939499999999995
126	PLP1	51.339999999999996
127	PLP2	51.1355
128	TMEM254	50.939
129	SLC35B4	50.429500000000004
