rank	node	rank_score
1	MATK	176.345
2	SRC	174.7
3	PIK3R1	174.5985
4	CBL	173.7965
5	ERBB2	172.893
6	PIK3R2	168.097
7	MET	167.3955
8	GRB2	166.183
9	EGFR	164.98899999999998
10	SHB	164.791
11	SYK	164.3995
12	CRK	161.6945
13	SHC1	161.388
14	INPPL1	160.474
15	LYN	157.9875
16	PLCG1	157.195
17	ZAP70	155.19
18	JAK2	154.98499999999999
19	PTPN11	154.78699999999998
20	GAB1	153.894
21	ABL1	152.8805
22	ITK	152.267
23	SOCS1	150.58350000000002
24	CBLB	150.0785
25	TEC	149.6775
26	HSP90AB1	148.3605
27	DOK1	147.17249999999999
28	HSP90AA1	146.262
29	SH3BP2	145.092
30	LCP2	143.98250000000002
31	CRKL	143.7735
32	PTK2	142.1905
33	RASA1	142.079
34	PLCG2	141.1895
35	PTPN6	141.1845
36	SH3KBP1	140.5665
37	AR	139.68
38	VAV1	139.2795
39	SOS1	138.9755
40	ABL2	138.469
41	CSF1R	137.8695
42	SHC4	137.766
43	STAT3	135.99349999999998
44	HCK	135.475
45	RET	134.1645
46	PDGFRB	133.577
47	LCK	133.2855
48	BLNK	132.081
49	PIK3R3	131.6925
50	FYN	131.57649999999998
51	EPOR	131.38150000000002
52	SH2D2A	131.0915
53	YES1	129.6705
54	SH2B3	128.664
55	SOCS3	128.286
56	FLT3	127.55850000000001
57	FGFR1	126.75550000000001
58	NCK1	126.673
59	SLA	126.3525
60	CDH1	125.149
61	BCR	124.0675
62	IRS1	123.576
63	PIK3CA	122.296
64	GAB2	121.06500000000001
65	BTK	120.27799999999999
66	JAK1	119.37
67	FGR	118.9595
68	FES	117.6635
69	WAS	116.2655
70	LAT	113.9625
71	VAV3	109.96300000000001
72	CSK	109.35650000000001
73	TNK2	108.7615
74	NCK2	108.46100000000001
75	PTK6	108.151
76	IL6ST	107.06800000000001
77	HSPA8	106.16
78	INSR	105.47150000000002
79	KHDRBS1	105.3575
80	HSPA5	104.6415
81	GRAP2	102.75450000000001
82	SLA2	101.9865
83	HSPA1A	101.144
84	FASLG	99.8485
85	HSH2D	99.429
86	INPP5D	97.256
87	PXN	96.8535
88	CDC37	95.047
89	PTPN20B	94.225
90	FRS2	93.55199999999999
91	MDM2	92.304
92	EPHA2	88.042
93	GAB3	87.75450000000001
94	STAP1	87.4805
95	BLK	86.7435
96	SH2D1A	86.224
97	TXK	85.982
98	UBASH3B	84.953
99	LRRK1	84.9385
100	CAV1	84.48400000000001
101	DOK2	84.455
102	CTNNB1	84.4515
103	SIRPA	83.23949999999999
104	SH2B2	82.4425
105	HSPA4	81.5405
106	SOCS2	81.138
107	NTRK2	78.8375
108	PECAM1	78.4475
109	GRB10	78.231
110	TUBB	78.1745
111	SH2B1	77.435
112	HSP90AB3P	77.24300000000001
113	NEDD4	76.122
114	IRS2	73.0255
115	ARHGAP32	72.259
116	HSPB1	71.55699999999999
117	NTRK1	70.54650000000001
118	MUC4	70.3865
119	HSPA9	70.136
120	RAF1	70.037
121	TNFRSF1A	69.148
122	PTPN12	67.3505
123	STAT1	66.841
124	CD5	65.458
125	HSPA6	65.3355
126	TRAF6	62.254
127	FER	60.6745
128	STAT5A	60.1185
129	SH2D1B	59.9265
130	JUP	59.521
131	PIK3CB	57.74549999999999
132	IL2RB	56.62049999999999
133	CNTD1	56.199
134	KDR	53.63199999999999
135	PAG1	52.1495
136	MAPK3	50.8195
137	CSF3R	50.2445
138	FLT1	49.827
139	MAPT	49.826
140	MAPK1	47.7245
141	MAPK8	47.1335
142	RPS6KA3	46.6325
143	IRS4	42.0345
144	SKAP2	41.9315
145	ASAP1	39.7365
146	VAV2	38.5125
147	GHR	38.4305
148	CSF2RB	36.772000000000006
149	CTNND1	36.3095
150	BCAR1	36.14
151	STUB1	35.511
152	YWHAE	34.0115
153	MAP2K3	32.0215
154	PRRG4	31.502
155	SOCS6	31.334000000000003
156	YWHAZ	31.1295
157	ARAF	30.908500000000004
158	KRAS	30.55
159	MAP2K1	29.619
160	PRKCD	28.830000000000002
161	ITGB3	28.8285
162	TEK	28.015499999999996
163	AXL	27.0225
164	EZR	26.700499999999998
165	OCLN	26.5015
166	BRAF	24.518
167	SQSTM1	24.308500000000002
168	ATP5A1	24.302500000000002
169	PRKCZ	23.6135
170	SHC3	23.528
171	LTK	22.978
172	UBC	22.302
173	SLC25A5	22.0015
