rank	node	rank_score
1	COIL	179.3
2	GOLGA6L5P	179.299
3	SLC16A1	177.19850000000002
4	WWOX	175.79749999999999
5	HSD17B12	175.597
6	TECR	174.196
7	SEC61A1	173.2955
8	LMAN1	171.19650000000001
9	RPN1	167.7935
10	KALRN	158.7995
11	RPN2	148.5915
12	TMPRSS11B	142.2905
13	CANX	125.1685
14	ATP1A1	112.29400000000001
15	LRRC59	109.9555
16	DDRGK1	109.68800000000002
17	DDOST	109.19200000000001
18	UQCRC2	76.3945
19	CLN3	75.19300000000001
20	SSR4	75.1925
21	VDAC2	73.991
22	BSG	73.8915
23	SLC7A5	73.28999999999999
24	ATP5C1	73.0895
25	ERGIC1	72.6905
26	PGRMC1	72.6895
27	SSR1	72.68350000000001
28	VDAC3	72.589
29	COX15	72.2625
30	CYC1	71.2875
31	HADHB	70.7885
32	SLC1A5	70.4935
33	SLC25A3	69.885
34	TOMM22	69.687
35	COX2	69.183
36	HMOX2	68.95750000000001
37	PHB	68.7795
38	UQCRQ	68.6865
39	TOMM5	68.5855
40	TOMM40	67.886
41	ZNF782	67.284
42	GJD3	66.8865
43	COX7A2L	66.88250000000001
44	VDAC1	66.77000000000001
45	C20orf24	65.982
46	COX7C	65.981
47	MTCH2	65.6845
48	ESYT2	65.276
49	ANKRD34C	65.1815
50	NDUFS8	65.08
51	NDUFA4	64.5835
52	SCCPDH	64.4805
53	NDUFS1	63.678999999999995
54	NIPSNAP1	63.077999999999996
55	NDUFV1	62.5775
56	COA3	62.4785
57	NDUFA9	62.175
58	PDHB	61.7755
59	UQCRC1	61.3765
60	B3GAT1	61.076499999999996
61	NDUFS3	60.3735
62	HADHA	60.176
63	COX4I1	59.974000000000004
64	COX7A2	59.573
65	LAMP1	59.532500000000006
66	BCAP31	59.087
67	PHB2	58.972
68	NDUFS7	58.8745
69	PDHA1	58.677
70	NDUFS2	58.6715
71	ACSL3	58.492
72	POR	58.36
73	NDUFS5	58.072500000000005
74	CKAP4	57.8845
75	PTPN1	57.784000000000006
76	SRPRB	57.5955
77	HSP90B1	57.571000000000005
78	SPTLC1	57.2975
79	JMJD4	56.995000000000005
80	MYL12A	56.770500000000006
81	CORO1C	56.369499999999995
82	BCKDHA	55.96900000000001
83	RNF4	55.793000000000006
84	SEC63	55.081999999999994
85	ATP6V1A	55.067499999999995
86	ATP5B	54.86800000000001
87	NDUFA8	54.366
88	KIAA1715	54.182500000000005
89	CAMLG	54.18150000000001
90	SEC62	54.181
91	NDUFB8	53.9655
92	EMD	53.8775
93	TMEM41B	53.589
