rank	node	rank_score
1	PTGS2	180.1
2	COPS3	179.1995
3	COPS7A	178.299
4	COPS8	177.3985
5	MYEOV2	176.498
6	COPS2	175.39749999999998
7	COPS7B	174.897
8	DCAF11	173.3945
9	GPS1	172.8955
10	COPS4	171.895
11	ERCC8	170.996
12	DDB2	170.59650000000002
13	LRR1	168.09300000000002
14	COPS6	168.0925
15	FBXO17	167.494
16	RFWD2	167.092
17	DET1	165.8915
18	DDA1	164.6905
19	DDB1	164.391
20	CUL5	163.5935
21	VPRBP	162.09
22	NEDD8	161.1895
23	UBE2M	160.189
24	TCEB2	159.4885
25	DCUN1D1	158.0875
26	CUL4B	157.988
27	DTL	156.68699999999998
28	FEM1B	154.9855
29	CRBN	154.6865
30	ANKRD39	154.38600000000002
31	CUL2	153.285
32	ASB6	152.5845
33	DCAF4	151.28400000000002
34	SKP1	149.6835
35	FBXW4	149.183
36	PHIP	147.582
37	IGHV3OR15-7	147.18099999999998
38	RPL7AP9	146.48250000000002
39	CUL3	146.4815
40	KLHL18	144.8805
41	RPL36AP37	144.8795
42	DCUN1D2	144.18
43	RPL7AP27	142.579
44	BTBD2	141.0785
45	BTBD1	140.178
46	UBXN7	139.97750000000002
47	TCEB1	138.877
48	KLHDC3	137.9765
49	LRRC14	136.6745
50	RPSAP12	135.474
51	DCAF4L2	135.17350000000002
52	RNF7	134.076
53	DCUN1D3	133.1755
54	KLHL42	132.373
55	SKP2	132.275
56	GLMN	130.5725
57	DCUN1D4	129.672
58	DCAF8	128.47150000000002
59	ARIH1	127.271
60	KLHL10	127.0705
61	KLHL13	126.17
62	RPL7P32	124.5685
63	CAND1	123.06800000000001
64	RPL10P16	122.16749999999999
65	FBXL5	121.7695
66	RPL21P16	121.26700000000001
67	RPL21P19	120.3665
68	RPSAP55	119.46599999999998
69	KRT24	118.569
70	RPL29P30	118.46549999999999
71	QPCT	117.36500000000001
72	DCUN1D5	116.4635
73	HIST1H2AL	115.56300000000002
74	HSPA1B	114.5645
75	RPS26P54	113.26199999999999
76	SNRPD1	112.564
77	ASB2	111.6625
78	BTBD9	110.7565
79	UBE2F	109.1585
80	FBXO44	107.35499999999999
81	HSP90AA1	105.7615
82	RHOBTB1	105.16100000000002
83	APBB3	104.1605
84	TCEB1P3	103.55699999999999
85	HIST1H2AK	103.554
86	RAB40A	103.2595
87	AMBRA1	102.259
88	HSPA7	102.25750000000001
89	FBXW2	100.36
90	FBXL14	98.0545
91	RAB40C	93.8485
92	APPBP2	90.5535
93	BTRC	85.958
94	PRDX1	85.346
95	HNRNPK	85.256
96	SLC25A5	85.151
97	UBC	83.1405
98	ARIH2	82.3495
99	KRT9	81.053
100	KRT1	77.6515
101	FAF1	77.3505
102	KRT5	77.2525
103	DDX5	77.1555
104	KRT10	76.352
105	HNRNPA2B1	75.75
106	FUS	73.3465
107	HNRNPAB	70.649
