rank	node	rank_score
1	EEF2	179.8
2	CTNNB1	179.49949999999998
3	PARK2	178.299
4	SLC25A5	177.3985
5	RPL12	176.498
6	MAP2K3	174.296
7	RPL4	173.997
8	YAP1	173.4975
9	CDK9	173.4955
10	RPL21	173.3965
11	RPS4X	170.895
12	RPL7	168.99349999999998
13	RPL17	168.493
14	ARIH2	166.99099999999999
15	RPL7A	166.192
16	RPS23	165.8915
17	RPS15A	164.58800000000002
18	RPL6	164.2905
19	RPL30	164.087
20	PABPC1	161.59449999999998
21	RPL14	161.2875
22	RPL10A	161.09
23	RPL24	160.586
24	RPS16	158.9895
25	RPS25	158.2885
26	RPS5	157.385
27	RPLP1	156.6845
28	RPS7	155.5855
29	RPL10L	154.582
30	RPL11	154.183
31	RPLP0P6	153.7825
32	RPL27	152.381
33	RPL9	150.7815
34	RPS2	150.189
35	RPL5	148.3835
36	RPS11	146.68
37	RPL23	146.478
38	LOC101929876	146.17950000000002
39	RPL23A	146.17849999999999
40	RPS3A	145.984
41	RPL3	144.8775
42	RPS18	144.7865
43	RPSA	142.5805
44	RPS12	142.579
45	RPL38	140.376
46	RPL18A	140.077
47	RPS27	138.7765
48	RPS24	138.7735
49	RPLP2	137.87449999999998
50	RPS13	137.37550000000002
51	RPS28	134.77100000000002
52	RPS20	133.775
53	RPL22	133.174
54	RPL37A	132.9725
55	RPS14	132.2715
56	RPS9	131.073
57	RPS8	129.6705
58	RPL35	128.37
59	RPS10	127.468
60	RPS3	127.272
61	RPL27A	126.769
62	UBL4A	125.5685
63	RPL19	124.4695
64	RPL34	123.1665
65	RPL8	122.86749999999999
66	RPLP0	121.56700000000001
67	VRK1	120.86599999999999
68	RPL36	119.7645
69	RPL13A	118.8655
70	RPL31	117.965
71	REST	117.46399999999998
72	RPL32	115.9635
73	ITFG1	115.1625
74	NPM1	114.96300000000001
75	RPL10	113.46199999999999
76	RPL35A	112.76050000000001
77	MEPCE	111.66
78	RPS17	110.9615
79	PAN2	109.96100000000001
80	NCL	108.9595
81	PRPF8	108.05900000000001
82	HNRNPU	107.1585
83	SNRNP70	105.85799999999999
84	AAR2	105.0575
85	CUL1	104.5565
86	RPL26	103.657
87	RBM39	102.856
88	RPS27L	102.755
89	CAND1	101.1555
90	DUX4	100.0545
91	HMGB1	98.853
92	LARP7	98.547
93	RPL29	96.752
94	FN1	96.154
95	RRS1	94.7495
96	NFX1	94.051
97	PPP1CC	92.75
98	PRC1	92.4515
99	ILF3	91.7505
100	RPL28	91.3485
101	RC3H2	90.849
102	TARDBP	90.29249999999999
103	BTF3	87.6525
104	WWP2	87.6465
105	PCBP1	86.548
106	RC3H1	85.946
107	RPS29	85.1455
108	CHD3	84.9475
109	RPS27A	82.94500000000001
110	ZC3H18	81.24449999999999
111	KIF23	80.543
112	EFTUD2	79.84349999999999
113	RPL26L1	78.542
114	ANLN	78.244
115	HNRNPM	77.94149999999999
116	MYBBP1A	75.8425
117	DDX21	75.741
118	METTL14	73.3535
119	GNB2L1	72.994
120	ECT2	72.84049999999999
121	CIT	71.3375
122	UFL1	70.53999999999999
123	BRIX1	69.539
124	NOP2	69.138
125	RIOK1	68.2385
126	RSL1D1	66.837
127	PIH1D1	66.6395
128	KIF20A	65.836
129	PRKRA	65.1365
130	ILF2	64.3355
131	GTPBP4	62.6345
132	GRWD1	62.535000000000004
133	FZR1	60.73299999999999
134	SRSF5	60.3335
135	CHD4	60.034000000000006
136	SRSF6	58.63250000000001
137	KIF14	57.23199999999999
138	DDX18	56.03099999999999
139	ZC3HAV1	55.731500000000004
140	EBNA1BP2	55.33050000000001
141	GNL3	54.529999999999994
142	FTSJ3	53.629
143	DDX24	52.529500000000006
144	STAU1	51.4285
145	DDRGK1	50.028
146	FBL	49.6275
147	KIAA0020	49.027
148	NR2C2	48.5265
149	KRR1	47.025999999999996
150	DDX27	46.0255
151	RBM34	45.1245
152	NIFK	44.025
153	DKC1	42.923500000000004
154	LYAR	42.323
155	DDX56	42.224000000000004
156	RBM28	40.6225
157	HIST1H1E	39.722
158	NSA2	38.0215
159	CCDC137	37.121
160	YBX1	36.6205
161	RPL7L1	36.019999999999996
162	MAGEB2	34.7195
163	SRSF1	33.719
164	NKRF	33.5185
165	DHX30	33.1175
166	SURF6	31.118000000000002
167	CUL3	30.415
168	REXO4	30.117
169	GNL2	28.816499999999998
170	RPL36AL	27.815999999999995
171	LARP1	27.315499999999997
172	BRD4	26.214499999999997
173	RRP1B	25.413999999999998
174	HIST1H4A	24.813
175	BIRC3	23.0135
176	ZNF668	22.4125
177	FBXW7	20.411
178	NAT10	19.410500000000003
179	NOC3L	18.909
180	NOP58	18.81
181	CTCF	18.7115
182	GPATCH4	18.3095
183	NPM3	16.7085
184	CEBPZ	15.607999999999999
185	DDX50	15.312000000000001
186	ZNF512	14.2075
187	ZNF346	12.107
188	GLTSCR2	11.9065
189	RRP12	11.906
190	RRP8	11.005500000000001
191	GLYR1	10.004999999999999
192	RPF2	9.3045
193	ADARB1	7.303999999999999
194	BMS1	6.1034999999999995
195	MPHOSPH10	4.803
196	PPAN-P2RY11	3.2019999999999995
197	ZNF48	3.0025
198	DDX10	1.903
199	MAK16	1.7015
200	HIST1H1A	1.501
201	SRP14	1.1019999999999999
202	RBM19	0.8009999999999999
203	CNBP	0.7005
