rank	node	rank_score
1	HRH3	180.0
2	GHSR	178.3995
3	DLG4	178.299
4	CRHR1	176.8985
5	WLS	176.481
6	SHANK1	174.798
7	ST3GAL6	173.89749999999998
8	LEMD2	168.09449999999998
9	CACNG2	133.4955
10	CHRNB3	131.696
11	SIDT2	123.58699999999999
12	CHRNB2	122.5875
13	TUSC3	121.9845
14	SPPL2B	120.797
15	LPPR3	120.48600000000002
16	GPR114	120.1885
17	GABRA3	119.98150000000001
18	CHRND	118.48400000000001
19	ALG9	118.085
20	DPY19L4	117.99000000000001
21	TTYH1	117.8955
22	HTR3A	117.88550000000001
23	SEC11C	116.38050000000001
24	CNNM1	115.28899999999999
25	POMT2	114.5835
26	GJA4	113.795
27	PIGO	113.5865
28	HTR3C	113.48299999999999
29	GLT8D2	112.79249999999999
30	OPRD1	112.194
31	GPRASP1	111.893
32	UPK1A	108.1825
33	GP1BB	105.776
34	SLC47A1	104.782
35	TMEM39A	104.67849999999999
36	SCN4A	104.3895
37	FZD2	102.4795
38	GABRE	102.273
39	ZACN	101.877
40	NKAIN1	101.2755
41	PLD6	100.9965
42	LRRC8A	99.2775
43	FAM189B	97.7735
44	TMEM179B	97.771
45	CLRN2	96.974
46	GLRB	95.394
47	TMEM219	95.19300000000001
48	ERMP1	94.86800000000001
49	ZDHHC12	93.3715
50	FAM69A	93.288
51	RPRM	92.4935
52	CHRNE	92.28
53	SLC12A9	91.572
54	ABCA3	88.9765
55	POMT1	87.9725
56	GPR21	86.76849999999999
57	KLRC2	86.679
58	GRAMD1A	85.9705
59	EDA	85.1645
60	DNAJC18	85.0495
61	NRN1	84.59349999999999
62	SLC15A4	84.2655
63	ATP11C	83.869
64	TSPAN15	83.6665
65	PTGIR	83.164
66	TMEM63B	83.1605
67	MPPE1	81.66749999999999
68	OR10H2	81.662
69	ZDHHC9	79.566
70	SLC29A1	77.4625
71	TMEM63A	77.363
72	FITM2	76.96700000000001
73	GHDC	74.5575
74	TTR	74.19149999999999
75	RRAGA	73.291
76	SLC4A2	73.2615
77	PCNXL3	72.2595
78	ATP2B2	72.06
79	TMPRSS12	70.671
80	LCLAT1	70.25699999999999
81	SLC39A4	69.9635
82	LRRC8E	69.05
83	TMEM169	68.255
84	MS4A15	67.85650000000001
85	LRRC55	67.0385
86	LPHN1	66.77000000000001
87	RXFP1	66.65799999999999
88	ABCC10	66.3585
89	C3orf52	65.7515
90	CYB5R1	65.3375
91	GPR89A	64.865
92	SLC12A6	63.355999999999995
93	GPAA1	63.158500000000004
94	TMTC3	62.76800000000001
95	ADCY6	62.50599999999999
96	UGT3A2	61.0745
97	LPAR1	57.40650000000001
98	PIGN	57.290499999999994
99	CD97	57.161
100	SNX14	57.0475
101	ABCC8	56.79449999999999
102	PTH1R	56.540499999999994
103	NMUR2	56.3505
104	PLK1	56.1905
105	MARCH4	55.45450000000001
106	CERS6	54.717499999999994
107	CCR6	54.053999999999995
108	MCOLN3	54.04200000000001
109	C15orf32	53.974000000000004
110	FAM189A2	53.659000000000006
111	SLC12A4	53.1555
112	SLC12A7	51.7525
113	OR4N2	51.552
114	ABCD4	51.051
115	ST7L	50.8485
116	CAV1	50.589999999999996
117	TMEM186	49.9545
118	CRELD1	49.658
119	ALG12	49.4875
120	KCNA3	49.089
121	SLC17A2	49.048
122	OCA2	48.9785
123	DPM2	48.475
124	ABCA2	48.449
125	ATP13A2	48.2415
126	ZNRF4	46.847
127	KCNMB3	46.0455
128	BTN2A2	45.345
129	SCAP	44.2435
130	SLC27A3	43.3425
131	GRIN2A	43.315999999999995
132	C1orf43	42.944
133	ADCY3	42.8445
134	CLEC2D	41.7695
135	LMF2	40.661
136	KCNJ8	39.439
137	SLC4A8	38.741
138	WASF4P	38.3965
139	ASPH	38.290499999999994
140	FZD6	37.7675
141	SLC44A1	36.727
142	LRRC8C	36.653
143	STS	36.560500000000005
144	ATP2A3	36.537
145	SMPD2	36.434000000000005
146	TMEM62	36.278
147	CHRNA9	35.943
148	DLG1	35.8855
149	BAI2	35.791999999999994
150	ANO6	35.346500000000006
151	PCDHGC4	35.036500000000004
152	PIGH	34.7395
153	KCNA4	34.588
154	POPDC2	34.54600000000001
155	DHRS7	34.54
156	GRIK2	34.481
157	YIPF3	34.2035
158	EPHX1	33.036
159	TMEM223	32.9535
160	SPPL3	32.7855
161	CHRNB1	32.5325
