#rank	DIAMOnD_node	p_hyper
1	1585	2.4506758737415885e-05
2	403	9.255954433167955e-05
3	51147	0.00019991759818446833
4	5575	6.045433019589792e-05
5	8165	0.00028700791551110365
6	10075	0.0005491623010607225
7	7874	0.00029385229110126933
8	10346	4.471821148591146e-05
9	84447	0.00018249042184945253
10	1029	0.0006202223239677991
11	7486	1.4295286848593341e-05
12	4194	4.151771151803218e-05
13	1616	5.399550546144058e-05
14	7161	2.068852489531482e-05
15	4193	1.3918923956588775e-06
16	5371	7.279307732175754e-07
17	28996	9.959095695462661e-08
18	8626	1.308523085597519e-07
19	79841	1.1391633306679441e-08
20	64779	1.257007813150846e-08
21	60487	5.521495958724435e-08
22	9271	6.055492872892571e-08
23	8131	3.299495137423423e-07
24	1801	3.5988405497453e-07
25	10848	3.915722984807892e-07
26	60684	7.423965733132864e-07
27	259266	8.040816101369087e-07
28	472	1.0384362299839377e-06
29	2033	1.5367887111016094e-07
30	9656	3.884553389372177e-08
31	545	1.2346574529055185e-08
32	11200	1.4636295914411155e-08
33	1877	7.926156215885167e-08
34	4683	1.804430262026407e-07
35	5591	4.1666542978108515e-08
36	64421	1.0252221084411976e-08
37	4361	1.3358214827621534e-09
38	10111	5.966044885381076e-10
39	3981	1.8008140348732154e-11
40	55655	4.6882123859522575e-11
41	2956	2.510638840490516e-12
42	641	3.9004757000455203e-13
43	4436	1.8594354840440908e-14
44	672	1.1320375960375585e-13
45	1111	1.2277634528040355e-14
46	2177	3.421715009262774e-16
47	5981	6.889757407563665e-14
48	5982	4.389427146007237e-15
49	5984	4.3063478657091156e-16
50	4292	4.3291999306967665e-13
51	11073	8.592500447690118e-15
52	580	7.689962214906683e-14
53	571	1.2825712229744135e-15
54	5932	8.603002169997836e-14
55	7014	1.0450774443857125e-12
56	7520	3.780753150181781e-14
57	3014	3.028972171195084e-13
58	2547	9.486416067064896e-14
59	5111	2.346227077099862e-14
60	5395	3.2273690069960794e-14
61	142	2.5180168017001616e-13
62	1017	8.504138391021887e-14
63	54386	9.586962555478494e-16
64	6117	1.4413809935308623e-14
65	7158	6.336741307171645e-16
66	6118	5.405286300659002e-16
67	5422	7.599477240707067e-16
68	5426	2.078163373694329e-17
69	890	4.894682898095793e-16
70	5424	1.2119219218042955e-17
71	6119	3.525715872202319e-19
72	3978	1.2377573767260601e-20
73	891	1.3950268825840622e-16
74	7150	2.070191543723259e-16
75	23649	2.313032925108179e-17
76	5557	3.618025620774394e-19
77	5425	1.014715972310265e-19
78	7155	1.0600940847624329e-20
79	10714	8.67524426070925e-23
80	5558	2.488392916701585e-24
81	57804	8.736200260029359e-27
82	56655	8.6331900617367e-29
83	54107	2.2802350606335427e-29
84	5427	2.0747536726666844e-29
