#rank	DIAMOnD_node	p_hyper
1	55330	8.930542810098512e-14
2	63915	7.203188642273478e-16
3	2647	1.5356244305535084e-17
4	282991	2.0695059880259474e-19
5	23557	2.1193490538302345e-18
6	10947	7.379436909692403e-20
7	10239	1.060803937249286e-21
8	1176	6.030575607128355e-24
9	8120	2.292115748792068e-25
10	26985	1.7253952972313455e-26
11	8943	5.384658702941758e-28
12	1757	1.0769510206125295e-07
13	285216	3.812172356399354e-09
14	10797	1.381864787857788e-10
15	6470	1.7408795724093308e-12
16	25902	1.950798910568983e-13
17	4522	2.734629433038195e-15
18	80025	2.6834073850499006e-16
19	6472	1.8734323798893085e-16
20	4524	3.498162645829188e-15
21	7298	2.8423990553534423e-13
22	2356	2.427524919649722e-13
23	286297	2.1763629400276207e-12
24	10588	4.914136010064586e-11
25	10841	5.292325840565087e-12
26	7781	2.4019643649993265e-06
27	34	4.45419387499934e-05
28	594	4.578707476242866e-06
29	593	4.8054935488744554e-08
30	587	7.39127963855015e-10
31	586	3.897055248282541e-09
32	3712	1.2316938279182942e-08
33	116285	1.3472353784313476e-05
34	2639	1.7088847080923796e-05
35	80724	9.418140070223422e-07
36	55268	1.618893158048827e-08
37	35	5.343173013961418e-10
38	28976	1.3045470453865081e-11
39	84129	2.1834460329414603e-13
40	549	1.350775710919422e-14
41	1891	1.7599226796941783e-15
42	1892	1.7850349805222938e-15
43	3030	5.676888625162526e-17
44	1962	1.747298837876318e-18
45	3032	2.8951472690043295e-20
46	30	9.552588033304363e-22
47	51	2.4529404190000598e-23
48	3295	1.4979482841941384e-23
49	8309	8.43588497934568e-24
50	2877	2.461705583236885e-20
51	2879	6.600298554992039e-20
52	847	2.406843116804456e-21
53	2878	3.5393709778411587e-22
54	6649	1.6547929138952526e-22
55	2876	1.1716893232274872e-23
56	6647	4.0104456079693373e-22
57	257202	4.611838735147135e-24
58	10935	5.366892059948278e-24
59	7001	9.164425328227227e-23
60	6648	5.307299438776072e-24
61	5052	2.129651320018491e-22
62	2936	1.2021665266490006e-14
63	84264	2.1083091421431833e-13
64	3029	3.4325390416377573e-13
65	2181	4.8751090459942505e-11
66	3033	3.8085191423893783e-10
67	3158	7.007500812433046e-10
68	3028	9.354149360353258e-11
69	3157	2.3128885742574868e-11
70	64064	1.2075181145310487e-12
71	38	2.3417172061139838e-14
72	39	1.4762025662332295e-14
73	5019	8.028454354054313e-16
74	65985	6.473484975281444e-10
75	54511	9.481210548525467e-10
76	3155	2.118331576496099e-08
77	622	5.837527506223584e-09
78	4594	7.641009680292987e-06
79	8050	4.2437749838384745e-07
80	23464	2.5095415798648474e-08
81	4967	1.2789616200932698e-08
82	212	1.5441038972643033e-09
83	8803	4.2315589057072227e-11
84	8802	1.7043007587169686e-12
85	8801	4.507489630632815e-14
86	1743	3.311277237455898e-13
87	211	2.2446774827838007e-11
88	6392	4.298013996326601e-09
89	6391	6.750514684889504e-10
90	7915	3.688290836528932e-11
91	6389	6.0490867527136344e-12
92	6390	4.82207459072777e-13
93	2271	1.957142144118865e-06
94	84693	1.9875321964494496e-05
95	23417	1.7159415487609524e-05
96	79876	6.681396512224047e-05
97	60673	3.221760655561722e-05
98	223	9.881645525035278e-06
99	79016	7.995644774891543e-06
100	197257	4.110879319324646e-05
101	501	4.3502438983938204e-06
102	4329	4.530517637895928e-06
103	9380	3.949088819148472e-06
104	217	1.2099032338682088e-06
105	3948	7.383341490168574e-08
106	160287	7.690050645247872e-08
107	8854	7.04991525930955e-09
108	92483	2.8061806468757518e-09
109	216	2.807152449544149e-10
110	55902	2.1875120670376222e-10
111	219	1.3219958582076588e-11
112	84532	1.5074714682557332e-12
113	224	1.07479844201606e-12
114	18	3.284780698339626e-14
115	222	4.8345925517698456e-14
116	220	1.3703168134337304e-15
117	218	3.5140287659268706e-17
118	55293	1.9326908921359337e-18
119	221	6.190233129744567e-19
120	284273	3.2285803558841645e-20
121	137872	3.508043518714114e-20
122	131	3.809657432282463e-20
123	8659	4.0573284742667955e-20
124	130	3.3274115919200866e-22
125	127	3.631824835122422e-22
126	314	2.35617427096898e-22
127	125	2.6940395726430578e-24
128	8639	1.1229952767271572e-25
129	4128	3.0818029830878015e-27
130	124	7.645146680556454e-29
131	26	2.1907930348595036e-30
132	4129	2.8778856024779227e-32
133	126	3.518309270481284e-31
134	316	5.106134816635098e-30
135	128	1.3011323415272432e-29
136	5832	2.0815317687514203e-27
137	3945	6.379421301146757e-23
138	3939	2.5539051722719205e-23
139	230	1.612461812485435e-21
140	229	8.409409312696742e-23
141	226	1.1584311503428674e-20
142	51733	1.8181631734032648e-19
143	84735	3.477089733360205e-21
144	438	4.6997389522295e-19
145	2571	2.4533284707195935e-18
146	5238	1.2673630849786045e-17
147	118881	9.789586119171407e-16
148	10327	1.3037982736887697e-14
149	231	4.506075824455343e-13
150	2805	1.9686258386223883e-12
151	2806	6.103858455257636e-13
152	4357	7.33796100405281e-14
153	1644	8.086815449129561e-14
154	1312	1.7474133267534473e-11
155	5409	1.33610100379914e-13
156	3176	6.681114345735489e-11
157	3067	5.041056640770759e-12
158	10993	7.103167461657939e-11
159	1491	6.210965818710952e-12
160	4353	7.547188165644974e-11
161	6818	1.229309055628968e-10
162	6799	3.1650118181030817e-10
163	8288	9.656939024289189e-10
164	6817	3.334111488637561e-08
165	6723	5.647095282079196e-08
166	112483	2.6024838961740757e-09
167	4953	1.3294827915158651e-08
168	116173	1.0355644279029629e-05
169	3034	1.524420058907182e-05
170	2572	2.734915751690361e-05
171	7173	3.8749751395446356e-05
172	57085	8.00841471102308e-05
173	6303	8.275080157787628e-05
174	121278	0.00021832288171632792
175	7054	5.317311563859899e-05
176	7166	4.353798557169321e-05
177	6697	4.628754012299754e-06
178	3620	6.236686381243009e-05
179	64087	0.0002712090913338132
180	373509	0.00028922239337190656
181	5105	0.0006124942678473284
182	4191	4.843451426720457e-05
183	5106	3.661205379107896e-06
184	5091	7.046299681243271e-08
185	130752	7.936724763385805e-09
186	171425	4.531870255193542e-09
187	4190	4.653139312302121e-09
188	10201	3.770051557948137e-05
189	4833	7.54694869877235e-05
190	4832	0.00034232079187832367
191	4830	0.00012032341550744328
192	8760	2.7269845712729433e-05
193	1040	4.1026185913544606e-05
194	29922	2.5061032263231582e-05
195	1633	2.931171115554699e-06
196	51727	2.0467386722851532e-07
197	2643	9.564916538107973e-07
198	4831	1.9658946848531827e-07
199	55907	5.273290652768565e-08
200	3704	2.259468383207351e-07
