#rank	DIAMOnD_node	p_hyper
1	1601	2.714033235829203e-10
2	338567	8.781365348292521e-07
3	130497	1.024492623967467e-06
4	7042	2.014731813910223e-06
5	7043	3.101744782816016e-07
6	2022	3.2643373230560014e-09
7	94	4.863690374394827e-10
8	7040	1.0858969558918031e-10
9	7049	2.033101264623736e-12
10	9392	4.568182890643908e-12
11	2331	3.902806516637718e-09
12	1490	6.666254848882467e-09
13	114990	1.0222474711879274e-07
14	4054	2.0300184300166124e-07
15	343521	3.658902228455213e-06
16	58533	7.029360582582983e-06
17	93	9.096168720040333e-08
18	91	8.545840124535902e-08
19	92	8.07273007704124e-10
20	3624	1.4329385171343564e-10
21	90	1.4385097606340512e-10
22	3626	4.0576344976285155e-13
23	3625	1.4442995494531266e-14
24	3547	5.1600235546727995e-12
25	3623	6.69560119817024e-10
26	130399	7.506286133373786e-10
27	10220	8.388369348465401e-10
28	650	1.854898569662872e-09
29	655	9.551145793492728e-09
30	11167	5.398984800730311e-08
31	23181	7.83683553909877e-09
32	10468	4.5606676958805015e-08
33	659	4.778946023178224e-07
34	657	6.817782648148263e-09
35	8200	2.1743105884757256e-11
36	658	1.8073000709319638e-09
37	654	1.215214784503175e-10
38	25884	1.136761270470504e-11
39	652	2.450283711644817e-11
40	25928	9.47819271814944e-10
41	51285	1.4250493144624249e-08
42	4086	7.42877705357396e-09
43	392255	1.1992583082613753e-09
44	23551	2.890002850360759e-09
45	23682	4.1648657283356805e-09
46	4089	5.376991905789644e-09
47	121268	5.923467310238759e-10
48	4092	1.9864051731972116e-09
49	4087	2.626675763282628e-10
50	117583	2.1098412770517156e-10
51	4091	5.565029272589028e-10
52	64750	4.425109734062171e-11
53	29984	4.369914732460115e-12
54	57154	4.5488649627560026e-10
55	8878	1.416838184900496e-10
56	9459	1.608589238051604e-09
57	5058	1.3322043530816681e-09
58	57381	7.867402887241941e-10
59	55827	2.659229702095395e-09
60	84085	3.6807740561786495e-09
61	83871	3.897055248282541e-09
62	140901	4.1227229470684456e-09
63	4090	7.468415464371564e-09
64	7554	3.05026274540645e-10
65	860	2.3694989352343606e-09
