#rank	DIAMOnD_node	p_hyper
1	84676	1.4484312791193964e-11
2	58	9.724809800237268e-09
3	51086	1.0291872784623945e-10
4	8790	4.6216153403145587e-10
5	64750	4.6088196092397726e-07
6	7138	5.824548153704837e-08
7	7136	3.3040342120291764e-09
8	7135	1.7868188544211072e-07
9	9033	5.8288668754978426e-09
10	58529	1.0760034787030863e-06
11	2318	1.160877465327542e-06
12	4703	1.8035167805974166e-06
13	81	1.0938544403049872e-07
14	88	2.610950357001645e-07
15	11155	1.1355759015164413e-07
16	91977	1.9020043171167942e-09
17	84665	4.806880873871799e-07
18	87	6.353909435618155e-07
19	89	7.088915119276011e-08
20	10529	1.6205096098228836e-09
21	135	1.0425771885749983e-08
22	125950	4.2506373804009243e-07
23	4892	4.604078335931317e-07
24	79778	8.7813653482925e-06
25	200539	9.231691776410098e-06
26	7125	9.693276365230468e-06
27	9124	1.3850909525984051e-05
28	29995	3.188353180303637e-05
29	27063	3.33648141380568e-05
30	5311	4.208801707540057e-05
31	142678	7.269208927814171e-05
32	1674	9.53518469428781e-05
33	5310	4.117179302387807e-06
34	7094	8.419906271526056e-06
35	26136	1.1331715508247556e-05
36	1495	2.065931938344844e-05
37	6401	3.205123358467787e-05
38	823	4.101828061843627e-05
39	6709	1.3767058008140967e-05
40	825	5.7962512506293055e-06
41	999	7.607010696427531e-05
42	7082	2.1674776511559547e-05
43	5784	9.670499825932715e-06
44	7431	1.791128746229203e-05
45	51762	1.157860038112603e-06
46	60	1.0640197448608234e-06
47	3728	3.988080184043219e-06
48	1499	1.1240748031884034e-06
49	1001	1.782867200666572e-08
50	1500	2.0256598838877874e-08
51	1000	3.1227070992803335e-08
52	1003	7.327215243933475e-08
53	768	1.3278158742384524e-07
54	4647	4.812047196250879e-07
55	55591	7.39127963855015e-10
56	421	1.4997353952621145e-06
57	1013	3.964652156778035e-07
58	50937	1.301919362405959e-08
59	91653	2.722804500870382e-10
60	55914	6.724342359662033e-07
61	8502	1.06771407172003e-07
62	1825	7.679393002266603e-07
63	5663	2.304994114080611e-06
64	1501	9.914788271069328e-08
65	57554	8.679733424668949e-07
66	23037	2.2244561164786597e-06
67	5795	3.089829760095545e-06
68	5787	6.242611581666515e-06
69	2904	9.055613430595225e-07
70	2902	2.7837443980394726e-06
71	815	2.2100844706048997e-06
72	85461	1.211938646254024e-06
73	2906	2.8302980565090037e-06
74	8831	1.8475990955690157e-06
75	1742	9.199430525018128e-07
76	22839	1.0051661899640198e-06
77	1739	9.664285185553667e-08
78	1741	1.372576749868435e-07
79	2898	3.995690144281869e-09
80	2903	4.9531496096804115e-08
81	9229	5.2718942644342944e-08
82	3739	1.568684659739828e-09
83	1740	8.135524833187244e-10
84	22866	3.842189080390784e-09
85	10369	5.52864280125691e-09
86	6714	3.3890539031782454e-08
87	2534	6.238910560235159e-09
88	9743	2.067011546169063e-10
89	58512	1.5540600761547083e-09
90	85358	4.8751090459942505e-11
91	9228	1.2531131828874487e-10
92	493	6.1263730777568705e-09
93	491	8.133934404145102e-09
94	4133	2.4796129790718207e-08
95	25	3.0201753590507364e-08
96	5829	1.1841301731388955e-08
97	1020	1.405216080636234e-09
98	5747	1.1682945742665914e-09
99	5295	3.089329414072524e-10
100	9564	3.2016928820035663e-10
101	2185	6.072852526280227e-11
102	1398	7.8977817326036e-12
103	2064	1.1781385897469815e-11
104	1956	1.8924602453382403e-11
105	5770	1.465800432091663e-12
106	2885	1.0872790067352826e-12
107	1795	5.625549016418929e-13
108	50807	6.964017195611892e-13
109	867	4.2913632998051124e-13
110	5781	6.682218549013183e-14
111	2889	1.2468318721057575e-14
112	1399	6.9473702131983504e-15
113	6654	6.95442573975061e-16
114	4233	5.266785589064764e-16
115	2549	6.06692148515972e-17
116	5335	1.5104290250771097e-16
117	5159	9.181088535508172e-17
118	6464	1.6509875738725867e-17
119	5782	3.398349872365855e-17
120	4914	1.4334790561508265e-18
