#rank	DIAMOnD_node	p_hyper
1	963	3.3185666333080738e-06
2	50615	1.2750149569174213e-05
3	3606	9.534075171532748e-05
4	962	0.00017458206786891522
5	51744	7.807108151224932e-05
6	6777	0.00021484519970239022
7	3716	4.528856373414706e-05
8	3560	9.225435249985469e-07
9	6776	4.962230385678753e-07
10	2690	5.066254916626171e-08
11	3718	1.1098938988783158e-07
12	6774	6.682293612243764e-09
13	3575	1.2823662332442766e-10
14	3561	8.381655515302678e-11
15	6772	3.371481859040086e-10
16	3559	8.704613199878313e-11
17	55250	1.2514279688776663e-10
18	3717	6.532348394595942e-11
19	5159	2.5942543156908817e-10
20	5781	4.577610570825826e-10
21	5156	2.1282266314148232e-11
22	6464	1.298211555333694e-11
23	7852	3.610667764565721e-11
24	5777	4.263146956605844e-12
25	3566	1.2768126054567146e-12
26	6778	1.7140325665458324e-12
27	1439	3.248561041019796e-11
28	3932	5.0789602999774466e-12
29	6773	6.337943468899574e-13
30	919	9.622320685908746e-13
31	9021	1.8501413923874972e-12
32	2185	9.448002515368631e-13
33	1234	1.7304751000049877e-13
34	5747	2.4497810572443395e-13
35	4067	9.506190756005348e-14
36	6850	1.3541365500458893e-14
37	1441	3.0760690455635384e-16
38	2057	8.734566158169945e-15
39	5295	1.5249595789926468e-15
40	3815	3.676025579594883e-16
41	867	2.5418637827349626e-17
42	7297	3.910151215569056e-17
43	1399	1.5280591893227145e-18
44	2534	2.061282743043213e-17
45	10603	1.6831603125257455e-18
46	3643	2.273983121513073e-18
47	5788	1.308509064126681e-19
48	9846	1.1289158915289802e-17
49	8660	1.7925875380055776e-17
50	3667	5.4622051821657924e-18
51	8651	8.256475710386974e-19
52	3480	2.2681133711574683e-19
53	1956	9.115578004748518e-19
54	2064	6.219477853799771e-20
55	7409	1.778477635134461e-20
56	1398	3.416656576533502e-21
57	6714	4.0102545739399865e-20
58	5921	1.986911630440827e-21
59	5335	1.5879314761687348e-22
60	613	7.913831511533408e-22
61	2885	1.4559717861390266e-21
62	2065	3.2704430701083916e-23
63	7535	8.02988639355522e-25
64	6461	7.534406041532008e-23
65	5829	1.0155159547431739e-22
66	1445	6.0757325847768634e-24
67	55824	3.836530528361983e-23
68	3937	2.132186866081436e-22
69	5770	5.344586398134419e-22
70	27040	7.727302119649777e-22
71	5795	2.2578240314973457e-23
72	6654	1.139549452344154e-22
73	2549	2.1393314768177834e-24
74	5336	3.325464215041389e-23
75	4914	2.6175132243126713e-24
76	4233	1.0718110295518462e-22
77	3635	6.696682707707701e-23
78	1796	4.119946055041903e-23
79	25	7.974321670477551e-24
80	3055	4.890678999816463e-25
81	9564	7.011113597441309e-25
82	2889	4.744092183992155e-26
83	5782	8.508015771526427e-24
84	7006	2.8516026736807085e-24
85	5296	1.481735363820494e-24
86	1436	4.202079561956008e-24
87	11184	1.7788575600756692e-23
88	27	3.4279323367461866e-22
89	10657	6.794782585520107e-22
90	3572	1.6394560144451236e-21
91	29760	2.989374553562486e-21
92	3702	1.7977096654392632e-22
93	10006	2.292371443108418e-22
