#rank	DIAMOnD_node	p_hyper
1	55914	9.240223576941413e-09
2	55655	1.0526189245552665e-07
3	5378	1.652723749421806e-07
4	641	2.3118892617292979e-07
5	472	2.315741732313833e-08
6	10111	5.149858614573485e-09
7	4361	2.4718842441502027e-10
8	5981	6.201112100746433e-12
9	5984	1.1023708087922461e-13
10	4683	1.8666999421528205e-15
11	5982	1.1626869431256127e-16
12	672	1.97150819246178e-15
13	11073	4.8456508751496837e-14
14	571	2.278885829732803e-14
15	545	4.434016587534742e-13
16	64421	4.3928038079272565e-14
17	9656	1.354688183025622e-13
18	2177	7.901724711140191e-15
19	580	5.230841600656906e-15
20	7013	1.2297823975690524e-13
21	7014	1.448383180283443e-13
22	5932	1.1715373647441499e-12
23	7520	8.189772176591532e-12
24	3014	4.9935640711468e-13
25	1111	7.88603884952598e-13
26	5591	4.700078775741435e-14
27	3981	2.5558154064822703e-13
28	2547	1.1193492343116385e-14
29	54386	2.3208667730821228e-14
30	26277	2.583351751332547e-14
31	5111	6.460550476813486e-14
32	7518	1.2434466014259535e-13
33	79840	1.0617201373735055e-14
34	65057	9.697126585563171e-13
35	25913	3.563611150952138e-13
36	142	2.436303954303329e-12
37	6117	1.2756863752373136e-13
38	1017	2.7891731749973432e-14
39	6118	6.492086815210979e-15
40	5422	1.838561221800771e-14
41	5426	7.499410123970813e-16
42	5424	2.656398919082721e-16
43	6119	7.331338189895728e-18
44	3978	3.5773219870204327e-19
45	890	6.359873196095407e-20
46	891	4.271085059391529e-17
47	23649	3.5659062395804986e-16
48	5425	4.0775726684681256e-16
49	5557	2.3571423639225618e-17
50	10714	1.8512327898365266e-18
51	5558	4.4046663171707306e-20
52	57804	2.0933896412706245e-22
53	56655	2.1579094155081216e-24
54	54107	3.0061447224532325e-25
55	7155	1.2440008227524103e-26
56	5427	8.572432939708293e-28
57	7150	2.2139394166949298e-27
58	7153	8.835472437145865e-28
59	5884	5.337551786088245e-19
60	7157	1.7422751690195333e-17
61	983	3.649471358460555e-17
62	5888	1.973262773289495e-15
63	5883	1.1798433730037138e-14
64	5983	2.459059455079321e-16
65	5985	1.9247395279780927e-16
66	3364	8.60374524095001e-16
67	5810	2.802539786154383e-17
68	2237	5.710804895084573e-16
69	200558	2.3710662137607778e-14
70	7515	7.493824879595198e-16
71	9557	3.990937431645505e-17
72	11200	1.3957371363132875e-13
73	7158	3.064310795108619e-14
74	675	2.7326516144608394e-13
75	2178	4.499337496957714e-15
76	7156	1.0024512049823355e-12
77	2176	7.968157553843772e-13
78	2175	3.291843656824402e-14
79	2189	7.47928408442233e-16
80	80010	1.0099141705473427e-16
81	2188	7.056183192065874e-19
82	55120	8.183170739269819e-19
83	57697	8.626216202013234e-19
84	2187	4.7564504755574114e-21
85	378708	6.243053853057614e-13
86	3980	5.4857430603038045e-12
87	55775	4.4604524189704397e-13
88	5965	1.2868614217864672e-12
89	22909	6.994781669901272e-12
90	5395	1.4482529804688242e-12
91	83990	3.794727134640433e-12
92	328	1.0328828023083764e-11
93	1457	1.0946001712015174e-11
94	995	5.4643088542698044e-12
95	51720	1.655711073364547e-11
96	63967	2.0719388395673703e-11
97	4999	2.4028783377421287e-11
98	84142	6.286016078205819e-11
99	5423	8.010695124488461e-11
100	8243	8.736868074003873e-11
