#rank	DIAMOnD_node	p_hyper
1	651	9.311498256275578e-06
2	23381	2.0218087199010574e-05
3	118429	5.462047858779726e-05
4	2335	6.89640146728337e-05
5	7045	1.354542939793185e-06
6	1286	3.316896157782787e-06
7	4147	2.79715197010155e-08
8	1285	1.2423396211210314e-09
9	3026	9.526034963893335e-10
10	6288	1.0838015393127483e-09
11	2199	2.5866807687399677e-09
12	1287	1.3967506723471178e-09
13	5270	1.3453971250055199e-11
14	1288	2.7282742541379386e-13
15	5008	1.622627354794056e-13
16	5653	7.09020061451337e-13
17	4318	1.2145730215833026e-11
18	22918	1.522834707476002e-11
19	1634	3.786996967962853e-10
20	1277	1.4210118390361228e-09
21	1278	1.5339118884162092e-10
22	351	4.344908457180042e-07
23	633	2.191862746922035e-07
24	7040	3.9267705503640814e-08
25	7057	1.5158384177161443e-08
26	1280	1.8473315517761834e-09
27	6678	1.0622407901636453e-10
28	5549	6.597347528898492e-09
29	4811	3.7161510518170746e-08
30	3339	1.307440010375452e-09
31	1305	3.5869755300005055e-09
32	22795	2.463448597116739e-10
33	3690	1.0084438899509448e-08
34	3685	2.0600133495177786e-09
35	4313	1.5197454047340595e-08
36	1294	8.491141099128646e-09
37	284217	3.3143770123145556e-10
38	3688	1.5454234667646726e-09
39	948	7.757386573267655e-09
40	3918	1.5691473288250682e-08
41	2192	4.174397068331588e-08
42	2006	7.45420371288198e-10
43	4856	7.373361019619223e-09
44	1490	5.3293162885533655e-09
45	3678	3.1603099591865095e-10
46	80781	1.446838727402134e-09
47	7052	7.809982075355223e-09
48	3674	6.324830790126536e-09
49	2200	2.349944199792375e-08
50	4237	4.1227229470684456e-09
51	1293	6.024678277250487e-08
52	3673	1.798514733435158e-09
53	3672	4.048535315424839e-09
54	961	4.947739656211946e-09
55	928	6.750100956642541e-10
56	550	5.189490813065305e-08
57	3675	7.47110146732695e-08
58	2201	8.696653517087989e-08
59	4052	9.625733214296324e-10
60	1690	2.3285309451634646e-07
61	1101	2.41477283202135e-07
62	164656	2.503118179534244e-07
63	27329	2.593592330601883e-07
64	2812	3.450864754702291e-07
65	1462	4.3057917300253665e-07
66	2811	5.665943985641274e-07
67	3827	9.007925993156616e-07
68	5340	1.205960607438137e-06
69	8076	1.2666479394998822e-06
70	3386	1.5133463498107722e-06
71	3676	5.42321248811731e-08
72	7058	1.2042544070476224e-08
73	2515	1.4408162914149e-06
74	1991	2.269719400153467e-06
75	3486	2.3880011995173297e-06
76	960	3.543868243362108e-07
77	4316	1.7041108163182835e-07
78	6696	2.5679648966248576e-08
79	2147	3.2085362730775394e-08
80	2244	1.0201406081755404e-07
81	2243	5.191034623736705e-09
82	5327	5.3549741988141714e-08
83	5345	8.153665181477983e-08
84	5328	1.1431891776103523e-08
85	1404	1.4002869313133583e-07
86	176	1.355794560812594e-07
87	4314	9.714287935275236e-09
88	4312	2.6184254985765608e-08
89	63827	1.6993103465699795e-08
90	7035	4.884476871146991e-08
91	5054	1.7221171099721272e-07
92	811	2.5050250026295274e-07
93	7450	1.2823710624805797e-07
94	4035	1.4819629964647414e-07
95	7076	3.763908588074735e-08
96	1511	8.876012822722757e-08
97	5155	1.5199108311936747e-07
98	2149	2.2879258342434545e-07
99	2160	4.5460096231808893e-07
100	5104	1.9047409592618435e-08
101	3488	4.997258015540203e-07
102	7448	3.588117840851454e-08
103	2266	8.520835942202301e-09
104	5329	1.01452814662566e-07
105	3693	9.284251259604601e-09
106	3684	2.5358281944295664e-08
107	967	1.2926581403116627e-08
108	4321	4.4224760652637685e-08
109	2923	5.303852010601708e-08
110	2162	1.708583133399084e-07
111	4982	3.3394037929812413e-07
112	53353	3.4407460243511754e-07
113	3914	7.032603632890832e-07
114	649	1.9813975624430142e-07
115	5029	7.456744765865108e-07
116	4319	1.109991119101021e-06
117	7422	1.229222318570809e-06
118	3732	1.3273672216240517e-06
119	1839	9.537752555326483e-08
120	3655	4.257289984197933e-07
121	977	6.019663363732037e-08
122	3491	6.662512599752678e-08
123	5738	6.849774231563404e-08
124	3915	1.826753565107305e-07
125	3911	4.3308501934049476e-07
126	8754	4.4784055898724827e-07
127	4179	4.629916437668516e-07
128	7106	2.121344302421351e-08
129	975	3.3574239565308058e-09
130	963	5.108960624311764e-07
131	1289	2.064319556891472e-06
132	4099	1.1020115130161812e-06
133	821	2.554153660458949e-06
134	5354	2.7287199753013577e-07
135	2157	1.6616329988649646e-06
136	2159	2.304041334979002e-06
137	2153	1.7324710113902964e-07
138	5269	3.019061054056914e-07
139	5624	4.5685797883692673e-07
140	7056	1.0677216486179417e-07
141	5627	1.959715124642124e-07
142	6667	2.5419012054878264e-06
143	12	2.847995121266727e-06
144	3817	3.450667088999616e-07
145	462	3.581963557055377e-07
146	6670	3.774550534541823e-06
147	682	1.1763173316030692e-06
148	1514	2.304453439024584e-06
149	5275	1.8003727494327333e-06
150	4224	4.602502233339523e-06
151	3694	5.541624765083828e-06
152	2161	5.6691939225145704e-06
153	3818	1.973455512608741e-06
154	3082	1.052187278099892e-06
155	4323	2.9088591022307867e-06
156	3696	3.146039773092707e-08
157	4322	5.124232306893078e-08
158	7078	5.268475406160329e-08
159	6382	1.7370208468290958e-06
160	90070	3.4393692097694316e-08
161	6354	3.515977312456439e-06
162	6383	9.082385552752026e-06
163	5196	2.1645022728413438e-07
164	3909	3.8061187122024243e-06
165	3949	5.241760336550857e-06
166	2247	6.046517390872052e-06
167	3934	1.1286085196899962e-05
168	8516	1.146553010937506e-05
169	3481	1.2702789445607497e-05
170	3485	1.4416391281619533e-06
171	7018	1.3468063692464768e-07
172	3053	7.44992333452444e-07
173	3479	1.7406793228013792e-06
174	3483	1.2582125913062558e-05
175	3912	1.4367173418729179e-05
176	1291	1.6292106953019488e-06
177	3959	9.338533614592892e-06
178	3490	1.5245478842401996e-05
179	2252	1.5546873707065193e-05
180	1281	1.020970373259522e-05
181	4653	1.2378002775760058e-06
182	5118	3.5857921873093417e-06
183	3679	3.6954592014083615e-06
184	2150	1.712037021020532e-05
185	5657	1.574726109527371e-06
186	5265	1.11773061083206e-06
187	354	8.607668604993752e-07
188	5858	8.931988131550433e-07
189	7042	1.2147458079377396e-06
190	4054	2.1372062320361994e-06
191	7043	7.357525059388506e-07
192	9507	2.2183937589813006e-06
193	2331	4.197696494739517e-06
194	3689	1.72075842290819e-05
195	51454	3.436906367672798e-07
196	2208	4.713725249062436e-06
197	7094	2.0545161506648157e-05
198	7049	2.2152726372395514e-05
199	2022	4.6080564482513515e-06
200	7048	1.5877101641670305e-06
