#rank	DIAMOnD_node	p_hyper
1	1231	1.13177330901136e-05
2	388585	1.796802448189019e-05
3	2690	2.133599206395382e-05
4	5159	3.0060095456542275e-05
5	6777	2.554821813123644e-06
6	6776	3.2611478244285305e-07
7	1234	4.215235820982074e-08
8	3716	9.891147548462506e-08
9	5156	1.1673138101688159e-08
10	6772	1.3875670565578812e-09
11	55250	1.1518347489157654e-09
12	3718	1.641790151693512e-09
13	3560	1.215312368173363e-10
14	7852	4.370712539090118e-10
15	8651	1.7269253638813069e-10
16	5781	1.4202883556250918e-09
17	9021	7.335840532290901e-10
18	3572	1.777525246875797e-09
19	5777	2.5544525823563514e-10
20	7297	3.663545949389419e-11
21	5295	8.657828268891075e-11
22	8660	5.056003331750946e-12
23	3643	8.8280123070047e-12
24	6464	8.333826369920766e-13
25	3667	4.396856883320541e-13
26	3480	5.570277595765916e-14
27	3566	4.312681145057707e-13
28	867	5.086409515404989e-13
29	2057	1.517528392060257e-13
30	1399	6.490977606061202e-14
31	1398	4.8424526731191156e-14
32	7409	4.0356111270634676e-15
33	2185	2.355800973357183e-15
34	5747	8.796965243279659e-15
35	2064	4.417606416890917e-16
36	6850	6.967694220584744e-17
37	1956	4.6368499914216246e-17
38	5770	4.0858619671702446e-17
39	5788	2.8475345539581585e-16
40	3932	1.303040449561511e-16
41	4067	3.430113083843865e-16
42	3815	3.1549513798827474e-17
43	10603	3.0289671005203603e-19
44	1439	2.8308589910129692e-18
45	2534	2.2701119851770284e-18
46	6714	1.0078714297404707e-18
47	5921	6.828756256610505e-20
48	5335	2.3817575979971098e-20
49	613	2.0430874201250228e-20
50	9846	4.139103829102904e-21
51	2885	6.709400236384251e-21
52	4914	5.277828006066324e-22
53	5336	1.7350930108053704e-22
54	3635	1.867839888227755e-22
55	10657	3.053146483152478e-22
56	2549	1.2794065185232248e-21
57	2065	2.635401439657882e-21
58	7535	3.828809394399833e-21
59	5296	6.3793357450205276e-21
60	1436	1.6786388799854138e-21
61	6654	6.768181310680042e-23
62	3055	1.6994900927706514e-22
63	3937	1.0802456290576983e-22
64	1796	3.4954689778594127e-22
65	1445	1.3414926709401e-23
66	55824	3.38608905082223e-24
67	7006	1.4166799092243535e-21
68	5795	9.82441767888977e-22
69	27040	3.930606357732549e-22
70	6461	1.8851391318222354e-23
71	3702	5.055819567257487e-22
72	5829	2.8479507383452135e-21
73	25	3.6099057579410865e-21
74	11184	1.2497390102073504e-22
75	2889	1.3994812813201385e-22
76	9564	4.1799881383369797e-23
77	29760	1.8737936843869855e-22
78	4233	2.6869882040700453e-22
79	5782	8.817591906118322e-24
80	27	4.0886419493886465e-21
81	4690	2.408826198157431e-21
82	10006	5.423978702510527e-23
83	868	4.748790028057182e-24
84	695	7.472856035273638e-22
85	7454	1.0378489435347921e-22
86	6655	9.567515075184108e-22
87	2887	1.0683864755118278e-21
88	10278	1.2092899736711437e-21
89	100124696	1.338384690691551e-21
90	2066	2.1578630502668766e-21
91	7525	2.9961062593154748e-21
92	3791	2.727276447335528e-22
93	2321	2.7947649683666504e-24
94	660	4.54998270050176e-22
95	5800	4.983457490149329e-21
96	10451	5.63665357955787e-21
97	6452	6.160351836144687e-21
98	2268	1.0487314849625794e-20
99	50807	1.96952495477909e-20
100	9402	4.178162852068235e-21
101	10750	1.3955670048131731e-19
102	10818	2.336503121738701e-19
103	5787	4.88565564509974e-19
104	4739	5.384228675676223e-19
105	2242	5.929818971858879e-19
106	5793	6.476224025348306e-19
107	7010	3.5543467954457636e-19
108	30011	2.608051364560775e-18
109	5175	2.920967265736752e-18
110	5979	3.2220199824692733e-18
111	55715	6.831705095503558e-20
112	5595	3.4875596170546266e-18
113	857	1.6679509287577039e-18
114	2213	3.0981700457091733e-18
115	3636	2.465229943819097e-19
116	5594	4.845413549890585e-19
117	25970	4.213342225267215e-19
118	5580	7.977785026146553e-18
119	4582	6.4209159550799876e-18
120	7410	1.0347939832819541e-17
121	930	5.215508549028882e-19
122	1441	1.1896062426691677e-17
123	7462	3.8657213769023453e-17
124	933	5.5165809484943287e-17
125	5796	5.971627818428602e-17
126	1499	3.280367570424537e-17
127	2260	3.545814012269346e-18
128	9743	9.23456950129055e-18
129	8440	3.0639432690582534e-17
130	558	4.0807710690800705e-18
131	1000	4.6786700274522215e-17
132	919	3.8457759900832283e-16
133	10019	1.8017145464806532e-16
134	23624	5.228005125684964e-16
135	23607	7.449958546268849e-16
136	56955	1.535616133279262e-15
137	128853	1.6023820521176668e-15
138	83747	1.6716742489659174e-15
139	238	2.1182014870800543e-15
140	2886	4.748998273606859e-16
141	58512	2.7856347027092093e-15
142	3575	5.935107996144251e-15
143	3561	3.6281037697247304e-16
144	53358	7.791488436132156e-15
145	4915	3.88233012653639e-15
146	4486	1.4661352078000866e-14
147	27071	2.152624442716458e-14
148	6503	2.504554042353618e-14
149	8853	3.044986013874347e-14
150	2533	4.8684903093774314e-14
151	3454	5.801473633931214e-14
152	8503	7.123103491917628e-14
153	974	8.638257353653273e-14
154	640	1.241302980968592e-14
155	9103	4.972266810736442e-16
156	916	4.423989140238192e-14
157	50852	5.423327524709077e-16
158	6004	7.164443115414749e-14
159	1969	1.4812856098966165e-13
160	9046	1.5524692628215473e-13
161	7275	1.8292563619334353e-13
162	1795	1.89901875131159e-13
163	25759	1.9710955579266899e-13
164	80831	2.9386461984904804e-13
165	27240	3.035221425670652e-13
166	2209	3.6954880941349323e-13
167	5338	6.258142643044049e-13
168	973	7.620731177064314e-13
169	5170	1.411606069228566e-12
170	3690	2.0216607781913068e-13
171	8751	2.1589078520179932e-12
172	921	2.6808292965653413e-12
173	64714	3.0269156336704766e-12
174	5287	3.1356380796287794e-12
175	4058	3.2797918114346693e-12
176	58480	3.382059852029532e-12
177	139716	3.487047024325057e-12
178	85358	5.5397719110513125e-12
179	9229	1.0113963440701607e-12
180	940	5.983410973454282e-12
181	2322	1.0233944394315652e-11
182	5792	1.0818629564587537e-11
183	493	1.2547957000377152e-11
184	2048	1.39812655079865e-11
185	10044	4.432246060332949e-12
186	8471	1.9969224983283493e-11
187	30837	4.892718348798643e-12
188	6504	2.143922582897087e-11
189	4068	1.0393659223119566e-12
190	79930	2.2715579922392462e-11
191	4145	2.337777046728432e-11
192	118788	2.4056412016605398e-11
193	9047	2.4751842870867574e-11
194	8835	2.5464406849452143e-11
195	5618	1.9520686034208758e-11
196	1154	2.6325424603190775e-12
197	3563	6.36722767490726e-13
198	2241	3.885166924498084e-11
199	1500	3.8242433609999474e-11
200	3728	8.456739665544369e-12
