#rank	DIAMOnD_node	p_hyper
1	2252	5.516587040944803e-07
2	6910	7.794099754035709e-06
3	8822	1.705400233558976e-05
4	2263	1.4583745768331876e-05
5	8817	2.328659873320257e-08
6	2254	2.6322497801420804e-08
7	2253	2.9611141229153503e-08
8	2264	4.2564631684573597e-10
9	2251	1.8067513283816245e-11
10	2250	2.0847130712095683e-11
11	2249	1.194839730408891e-10
12	2248	4.089460898646954e-10
13	2246	3.062093837434826e-08
14	2043	6.283284585701406e-08
15	8829	1.8731245782697777e-07
16	2247	2.418869492916375e-08
17	6774	2.8488114865026904e-06
18	9965	7.91448697416618e-06
19	8074	2.4980569491022548e-05
20	6197	4.1253328937958265e-05
21	1460	8.030592507076311e-05
22	9982	9.635216689692127e-05
23	3339	2.1028474573114135e-06
24	9158	1.191093269941854e-05
25	5549	0.00023155172238505337
26	2199	6.491142158195477e-05
27	2335	4.247095971007611e-05
28	6678	5.5699158775254334e-05
29	1305	9.26601851819742e-07
30	4811	2.091183611486862e-06
31	1277	2.3118892616964846e-07
32	22795	4.2505496199695345e-08
33	1282	4.2497367752287805e-06
34	1690	6.28605278173258e-08
35	7045	8.379806643813434e-08
36	1284	5.434490999960979e-08
37	1634	1.5700383453632133e-07
38	7057	4.869334224256199e-08
39	1278	7.095901898764364e-08
40	4318	1.3430562925636707e-08
41	1286	3.294019392602808e-09
42	1285	5.565029272589028e-10
43	4147	4.2290380219738206e-11
44	22918	2.490723504186335e-10
45	1287	3.468360765223691e-12
46	1288	4.085506372437961e-14
47	3026	8.944128263583625e-14
48	5270	1.1677152942165794e-12
49	5008	6.975841725988302e-12
50	5653	2.8097415703528203e-11
51	7040	1.6945003920898454e-08
52	351	4.180995719539495e-09
53	633	1.678180449089176e-10
54	2006	1.656343657212601e-09
55	4237	4.603290437794836e-09
56	6288	3.3717798200635006e-08
57	2201	7.080625747246153e-08
58	284217	1.1397006142276778e-07
59	1294	3.765378134795333e-08
60	4313	1.0766941379750473e-07
61	3918	4.3685139608208426e-08
62	2192	1.4671197769065933e-07
63	4052	1.719973837905372e-07
64	164656	2.41477283202135e-07
65	651	2.503118179534244e-07
66	3688	5.177648287821934e-07
67	3685	4.165645861893997e-08
68	3690	1.0976576309253906e-08
69	3678	2.1637711000304483e-09
70	4856	3.8148986494773507e-10
71	1490	2.4625472379607725e-10
72	80781	6.276394012510663e-09
73	7052	2.059412124838006e-09
74	948	6.436499965113357e-08
75	3674	3.7095259130419114e-08
76	1293	1.7301730939206577e-07
77	3673	8.62779499232407e-09
78	3672	1.4738553355384323e-08
79	961	2.276069525223571e-08
80	928	3.938549880715469e-09
81	550	1.79140319676511e-07
82	3675	2.5389478183974787e-07
83	811	1.0626309708458607e-07
84	2923	8.087995303380353e-09
85	3914	2.4842792935587746e-07
86	649	5.470295357540889e-08
87	7422	3.2263457297048333e-07
88	1289	4.978321817768466e-07
89	4099	1.9082326916583956e-07
90	1291	1.5079387170530787e-07
91	3959	5.133792652677674e-07
92	27329	5.776153644623974e-07
93	1101	5.933685107659283e-07
94	2812	1.0244535199040528e-06
95	1281	1.060986428135204e-06
96	2811	2.1164278469462584e-06
97	7450	1.3387776016750538e-07
98	8076	2.6882575583209744e-06
99	3827	3.5964954974456315e-06
100	7448	7.335261406671833e-07
101	4982	2.2145564597812356e-07
102	7042	1.7447126053891675e-06
103	5858	1.0211767611579244e-07
104	2147	2.640836595958827e-06
105	2244	2.691786936066017e-07
106	2243	1.9867149010187513e-08
107	5327	1.6694645589941617e-07
108	5340	5.205154771455876e-07
109	3486	3.5885625306816433e-07
110	5118	9.066675710340296e-07
111	2266	1.0808820945385194e-06
112	5104	1.2147301126679352e-06
113	5328	4.229119859270816e-08
114	5345	2.639269010809724e-07
115	2160	5.4078751738179455e-09
116	2162	1.9101658084573967e-07
117	354	2.439414436989442e-06
118	960	3.3488948935809674e-06
119	6696	1.736515551153571e-07
120	4316	2.0178829886040082e-08
121	3693	4.141093694040595e-07
122	3386	1.5366217303381573e-07
123	5029	8.600489870713528e-07
124	3488	1.0502926798170905e-06
125	5054	7.153747886359789e-07
126	5329	2.324208624503893e-07
127	53353	4.844437038302597e-07
128	4035	9.017347346832387e-07
129	5155	4.4784055898724827e-07
130	1991	8.730480573168855e-07
131	3684	6.506345924511589e-08
132	821	2.102184883275985e-06
133	5354	2.4597782164940123e-07
134	2157	1.4640199769563554e-06
135	4018	2.1183626238966673e-06
136	4314	2.7705770914351448e-06
137	1404	6.308565477394984e-07
138	1462	2.8459849078995597e-07
139	176	1.902064287499647e-08
140	4312	2.3221995320187594e-07
141	63827	1.0527975332870709e-07
142	7076	1.8433133977373415e-07
143	7035	3.058335213626702e-07
144	4321	1.0943483506021904e-07
145	3676	1.525180085103448e-06
146	967	5.590632290158244e-08
147	7058	1.1772172257807084e-07
148	3732	1.8010760791644758e-07
149	3655	4.400952415809328e-08
150	3491	1.2646974230271222e-07
151	977	1.4228478561115616e-07
152	5738	1.325661861219183e-07
153	1839	2.557883548566218e-07
154	3915	4.2325086468905706e-07
155	3912	1.596985671508938e-07
156	4054	9.970118174255529e-07
157	3911	1.052187278099892e-06
158	8754	1.0819148079727163e-06
159	4179	1.1123026049386957e-06
160	7106	5.124232306893078e-08
161	975	1.3300830179506506e-08
162	4653	5.74347068116211e-07
163	963	1.2406715607811533e-06
164	3679	2.356448386615729e-06
165	4319	2.631150507599636e-06
166	2159	4.974694693466128e-06
167	5269	5.506132424690553e-07
168	5624	9.557805470281252e-07
169	7056	1.9368624434996952e-07
170	2153	4.0779285031202713e-07
171	5627	4.1856992297168475e-07
172	1511	1.4963716064208942e-06
173	12	1.977850739107871e-07
174	6387	4.5226286545450927e-07
175	5196	2.7389217298131495e-07
176	3817	7.641085850485118e-07
177	462	6.784752246037561e-07
178	5265	8.146265426966333e-07
179	9507	1.6292106953019488e-06
180	2149	2.7628391105853335e-06
181	4224	9.567712341229316e-06
182	3694	1.0012168017151299e-05
183	7043	5.664236852315693e-07
184	2331	3.5333171796897947e-06
185	2161	1.0613416103960373e-05
186	3818	3.6954592014083615e-06
187	3082	2.2775579292032457e-06
188	6383	1.1581820035276757e-06
189	6382	9.718976452307084e-08
190	90070	5.989692162435884e-08
191	4323	4.2947465590147e-07
192	3696	6.222847217811718e-08
193	4322	1.1894204680184984e-07
194	7078	1.2175671596252027e-07
195	3909	7.526054103773084e-06
196	6354	7.698078852318058e-06
197	3934	1.6821105512197822e-05
198	2515	1.7054846992192792e-05
199	8516	1.729073475213337e-05
200	7049	2.176100647454821e-05
