#rank	DIAMOnD_node	p_hyper
1	3630	0.00016921415657271058
2	2767	0.00025756467216613905
3	7220	0.0001824904218499474
4	7222	1.6136014463974792e-06
5	57113	1.1515448954480704e-08
6	7225	1.3759146267057698e-09
7	7223	5.942011790302222e-10
8	7224	4.860522775423511e-12
9	4599	2.7695370796034335e-14
10	3708	2.5300567971583057e-11
11	7226	3.370605628005294e-09
12	7221	1.559453238732082e-08
13	9456	4.827206380450139e-08
14	9454	9.541568480588817e-10
15	84876	3.2440082047062027e-07
16	2911	1.1371040957150552e-05
17	2195	2.3650424106648626e-05
18	3709	4.239003429910081e-05
19	55024	2.7350851311401202e-05
20	9455	0.0001359763738331634
21	6261	5.9282445434516873e-05
22	5592	6.831222718401674e-06
23	10335	1.780527238124988e-05
24	2280	1.954588339308877e-05
25	6262	3.666753811449074e-05
26	6263	2.124173406793707e-05
27	116986	0.00015608350013374575
28	387	0.00029935733875769414
29	398	0.00023100340286700714
30	857	0.000257553269433805
31	1910	0.0002554777601412816
32	5879	0.00037430204892617417
33	397	8.7455809093159e-06
34	23164	2.209768747930098e-05
35	4983	3.33648141380568e-05
36	4659	5.65813782314386e-05
37	392	6.0374602888450604e-05
38	2036	1.2222509150219848e-05
39	64857	7.906453138222991e-05
40	128272	8.235063007502664e-05
41	23463	8.570328697353127e-05
42	115557	8.912248191662528e-05
43	998	1.4131283148169407e-05
44	5337	1.0195495213892752e-05
45	25791	1.4246573769021455e-05
46	56990	1.7337567482526208e-05
47	56882	1.796802448189019e-05
48	5910	2.1682366677410017e-05
49	23002	2.28310495208928e-05
50	8506	5.638044669020285e-05
51	201176	6.162488406870722e-05
52	3895	7.440894554555113e-05
53	50619	7.806342277679629e-05
54	5880	1.774748287238249e-06
55	396	5.649835780465698e-06
56	391	2.009503630982865e-06
57	7409	3.100445237140534e-06
58	6242	1.043677592174727e-05
59	4843	2.825047053949129e-05
60	389	3.820621174812204e-05
61	11113	3.0786301669689506e-05
62	388	1.0694069623551602e-05
63	4688	8.38586014740633e-05
64	6714	0.00014761637233284822
65	10451	5.146461952327136e-06
66	5335	8.831609767654569e-06
67	5295	1.3652135671178499e-06
68	9743	4.6841471134831774e-08
69	613	9.282738456715855e-08
70	100124696	4.089753455932765e-07
71	7454	4.793953538661385e-07
72	2534	1.3135699958112021e-07
73	2137	4.823328608572534e-08
74	85358	7.079652389609177e-08
75	58512	3.870281065209714e-08
76	9229	2.549587853549883e-08
77	25	7.586094103834803e-08
78	56955	6.165157236106389e-10
79	128853	6.530899222724816e-10
80	1398	3.4373359055409973e-10
81	83747	2.3728642748138376e-12
82	9228	4.2645513572852466e-11
83	4690	4.300979355461965e-12
84	64714	5.320329059575992e-13
85	9472	5.741640709323307e-13
86	80831	8.293051048536847e-13
87	9826	1.7242653260186951e-12
88	2885	2.1886870061190624e-12
89	9784	4.2814519839472463e-14
90	22941	9.647745189866367e-14
91	1795	1.3682427612041186e-13
92	445815	1.7308440908446922e-13
93	9749	1.8379066119277844e-13
94	22839	3.142163313072922e-13
95	9793	4.943273673668899e-13
96	27	7.9009457313798e-13
97	29998	1.6155481633089451e-12
98	5159	2.2152279075436792e-12
99	79890	3.3166853194823012e-12
100	2151	7.033478806187491e-12
101	81875	8.039513803581596e-12
102	4007	8.493480338378255e-12
103	11217	8.968588358524274e-12
104	50807	1.3796188955043497e-11
105	11184	2.2969954918983752e-11
106	10278	3.5339436237473345e-11
107	831	3.7887335750638654e-11
108	10006	4.2028860861721436e-11
109	8936	2.28637693158907e-12
110	6655	9.223712555009825e-12
111	4067	4.625756407725882e-12
112	9103	5.306449117177619e-13
113	868	2.0736545731658065e-12
114	1399	1.5187137169235068e-13
115	2889	7.546816954718367e-13
116	6464	2.885335575471594e-13
117	9846	9.755311027248894e-15
118	867	3.5132377448445133e-14
119	3937	4.771669492958452e-15
120	6850	7.518924915890962e-16
121	6654	8.799032425455594e-16
122	3055	4.757370283787285e-17
123	2065	7.532455813035373e-17
124	7535	3.0154398577719524e-18
125	5921	9.764600419285818e-18
126	1956	9.184080201143357e-18
127	2185	1.6794043182801042e-18
128	9564	1.8890148150373633e-19
129	5777	8.947584621603932e-19
130	29760	4.109772946305987e-20
131	5781	1.9893573370558295e-19
132	55824	7.877679861526851e-21
133	5747	1.1660685905807074e-19
134	3717	7.751558249720501e-21
135	3815	9.192437468000668e-21
136	2064	3.9503020075262875e-20
137	5336	4.252916802355743e-21
138	1796	1.0630002931113707e-20
139	3932	3.020067676964175e-20
140	7410	1.2478965886811705e-20
141	6452	5.63665357955787e-21
142	27040	9.472606881242892e-21
143	3702	7.102040666162243e-19
144	2057	1.116469606589366e-18
145	5829	4.125564646302974e-18
146	2549	2.6068118774415074e-19
147	3643	2.3542991556588096e-18
148	5795	4.877415180627379e-20
149	1445	2.675877821353602e-21
150	5788	6.68875936935628e-20
151	4914	1.0877380659703376e-20
152	5782	1.49291667851101e-20
153	7006	2.084810031494329e-21
154	8651	4.50044975117762e-19
155	3480	3.9833673196428694e-19
156	5296	1.514608405363455e-19
157	695	8.59255834112266e-19
158	10603	9.093620995368547e-21
159	3716	8.85062437981981e-21
160	6776	2.6086569586189883e-20
161	6777	1.4022577854181854e-20
162	2690	5.060756390992045e-21
163	5770	2.5112319584368584e-20
164	3667	3.357990568240469e-20
165	2887	2.730209930546731e-20
166	10657	3.5225368391013487e-20
167	5156	5.753979163003758e-20
168	2066	6.360955745972145e-20
169	8660	5.939881140400283e-19
170	7297	9.520400931484705e-19
171	4233	2.7084843597128436e-18
172	5800	8.118606112187399e-20
173	5787	1.0010857727511774e-19
174	6774	2.668723480306342e-19
175	3718	1.881612575800454e-19
176	3560	1.0816546077827333e-20
177	6461	4.31676718637346e-21
178	9021	7.345401730090128e-21
179	1436	8.012996640640037e-19
180	3635	1.0162216231218706e-19
181	7525	4.255669801207459e-19
182	3791	2.935635203420258e-20
183	2321	1.9123927162352543e-20
184	660	2.0596719948905822e-20
185	1439	7.952783211700983e-20
186	6772	4.373322984202081e-19
187	5771	2.3339921807490196e-18
188	10818	5.133043562686196e-18
189	3572	6.953524709342838e-18
190	5793	1.1574352841182603e-17
191	7010	6.26379399999881e-18
192	9402	1.3622944567452503e-17
193	4739	2.2470508102325647e-17
194	2268	4.3217507347769075e-17
195	1441	7.166260090501149e-17
196	5979	9.417006607178332e-17
197	55715	6.566050380292339e-19
198	26191	1.1692420927129099e-16
199	30011	1.839888619440599e-16
200	7462	2.0875818583422763e-16
