#rank	DIAMOnD_node	p_hyper
1	8678	0.00029748139022201084
2	9711	3.711848522383683e-06
3	7405	3.1143452735882877e-08
4	30849	4.0475091234143024e-08
5	22863	9.213396840706366e-09
6	29982	3.2756647054120495e-07
7	392862	0.0012003901268069323
8	80305	0.0012754145097323643
9	80183	0.0013504388926577947
10	81037	0.001425463275583234
11	440738	0.002411375490959055
12	57120	0.003103900588738105
13	51148	0.0016505364243595377
14	79647	0.0017255608072849647
15	83733	0.001800585190210391
16	10675	0.0018756095731358284
17	399670	0.0019506339560612673
18	10999	0.004047365063505045
19	10948	0.004197109858971268
20	253558	0.004346843396426959
21	6507	0.004496565675499978
22	339210	0.004646276696576328
23	2009	0.0071856011877052955
24	2894	1.780527238124988e-05
25	1740	0.005341646105282277
26	19	0.004211243137794828
27	8825	0.0014421182730317296
28	3761	0.0006681266056027694
29	64130	0.000428296950476786
30	3768	1.530870471230107e-05
31	55327	5.4061821378317016e-06
32	8573	2.67334476945602e-07
33	320	2.7333682614666625e-09
34	1739	6.926396316451418e-09
35	1742	7.259311262258944e-08
36	3759	1.0213672662857266e-09
37	2898	5.8371023615238195e-09
38	1741	9.844711799535463e-10
39	27165	1.215214784503175e-10
40	3739	3.2586182762053477e-09
41	493	6.760385466205835e-09
42	491	1.6655504335968654e-10
43	9419	2.5576984077191124e-08
44	10369	4.595873333785103e-08
45	2904	5.862327448281939e-08
46	10207	1.7447190297593642e-08
47	2903	1.8408838873650463e-09
48	9229	2.0544087473962813e-09
49	85461	1.6391894489802681e-09
50	6331	4.1486669579762265e-09
51	2905	5.5268480130502035e-09
52	22866	1.8799718605850965e-08
53	6640	5.495059484600989e-10
54	6329	1.1113650146713713e-10
55	23095	4.944346619240172e-10
56	57555	3.552679210143093e-08
57	9311	1.1258668007585931e-07
58	6641	1.1969178188949295e-07
59	6300	2.8930167413169614e-08
60	5998	6.122259957314079e-08
61	54910	2.2386370355637386e-07
62	2901	2.371287060155261e-07
63	2891	4.378924404728477e-08
64	2890	3.7441615411987e-08
65	6645	8.400476170040862e-07
66	1756	6.291802220199271e-07
67	1837	2.0598104601029167e-07
68	7402	4.947739656211946e-09
69	2902	1.56530444122036e-06
70	116443	3.946573086764142e-08
71	2066	1.7065775158899118e-07
72	116444	2.1622561818152433e-07
73	8831	1.270814466784938e-06
74	815	9.76861056562861e-08
75	22839	1.3916170098315923e-08
76	2906	6.555907871629585e-08
77	88	1.5005226774459836e-07
78	60412	2.5451453786394916e-07
79	3603	4.022615350523524e-07
80	3766	2.7576763663868743e-08
81	3738	3.9570830993190543e-07
82	3736	4.1375208713772704e-07
83	3737	2.005421393742844e-07
84	3741	7.649775304204455e-08
85	57554	1.5797490916373457e-06
86	5071	3.026012166551547e-06
87	1821	3.583192666998045e-06
88	9615	3.697131634139817e-06
89	3358	3.813451732197994e-06
90	8777	2.5110832629374563e-06
91	54221	4.053332330416321e-06
92	1838	2.6404088589680223e-07
93	54212	6.552569319969728e-07
94	146	4.985143986378338e-08
95	58512	5.92268543633555e-06
96	8525	7.414948469728809e-06
97	54413	9.60929082681632e-06
98	9379	4.795386485754775e-07
99	22871	6.03892109010981e-08
100	9369	2.1026583390327582e-08
101	9378	2.440267521364368e-06
102	85358	1.2739756661270684e-05
103	9228	5.368628270309346e-07
104	22941	1.8591766845551855e-06
105	90627	7.643853060857179e-07
106	4842	4.219222079752075e-06
107	9118	2.1915763557721797e-05
108	5578	2.7106704590653113e-05
109	6714	7.422951744733278e-06
110	3758	1.8990837943651206e-06
111	1605	4.529692047858143e-06
112	361	4.398022835338171e-07
113	5786	6.229725301368635e-06
114	2534	2.765699290419493e-06
115	2185	7.132440571651522e-06
116	1398	1.427674347852308e-06
117	57716	2.6067825513734676e-07
118	8506	4.0965257673629826e-07
119	81875	5.51342357726527e-07
120	4690	3.443572420511875e-07
121	9743	3.823485851174993e-08
122	5335	1.025718495608728e-07
123	2151	2.36800323831716e-09
124	56955	5.015166870670575e-09
125	128853	5.208568278286933e-09
126	83747	5.4078751738179455e-09
127	25	1.7242467592930984e-09
128	114784	1.0663203732752274e-10
129	5295	5.955286232084961e-10
130	80831	8.010530548363662e-12
131	64714	9.19384094955991e-12
132	9784	7.652059032213316e-11
133	50807	1.0097050160907869e-10
134	10278	1.9129467211568364e-10
135	1795	2.902567118270305e-10
136	2885	1.736677313918724e-10
137	445815	1.5582252740762016e-12
138	9749	1.6245327325475979e-12
139	9793	5.737743520923259e-12
140	29998	1.2235905433872236e-11
141	2137	1.2744907208638939e-11
142	9472	1.5730729305209808e-11
143	27	2.1188463962422353e-11
144	79890	3.705820599277228e-11
145	4007	5.927371787926193e-11
146	11217	6.165257041437441e-11
147	9826	8.18115334149902e-11
148	2048	1.883984327751463e-10
149	6237	5.825670834452715e-11
150	57190	2.2685491018507887e-10
151	23230	2.3417281051365464e-10
152	29886	2.4167834931218834e-10
153	92591	2.493751120291131e-10
154	8529	2.5726672949840113e-10
155	5775	3.913590011153554e-10
156	11184	4.206350235077538e-10
157	8853	4.414274702962221e-10
158	831	6.618437687114292e-10
159	3400	7.385427727686783e-10
160	9103	7.655293993946703e-10
161	9564	8.584191473960864e-10
162	23607	4.042204272303381e-10
163	6655	2.3777369753038547e-10
164	2889	1.4500403851810618e-11
165	867	5.438962233481353e-11
166	6654	2.3115550756991795e-11
167	1399	1.0140767684731904e-11
168	10006	5.521788869421496e-12
169	29760	7.004440737618454e-12
170	3055	3.4163771158947925e-11
171	868	3.2982080189675483e-12
172	2065	3.782204930299351e-12
173	6464	1.2110643474038159e-12
174	6850	1.7664767513611794e-13
175	4067	1.616035552262757e-13
176	3937	1.1803350379990157e-14
177	9846	3.397304055594742e-14
178	5921	4.8424526731011826e-14
179	613	8.64242757013e-15
180	3815	8.411471432142857e-16
181	7535	1.7409929986664472e-14
182	7409	1.2735741940017158e-15
183	55824	4.769895100637934e-17
184	5777	2.689769626321373e-17
185	1796	1.5135062277873344e-15
186	2064	3.531771523010669e-16
187	5781	2.057993893605427e-16
188	5336	6.999257148180673e-16
189	3932	6.011911321249974e-16
190	6452	2.2970623584232337e-17
191	27040	6.469667910735919e-19
192	5747	2.8571304250789853e-16
193	1956	2.257866213989161e-16
194	5829	3.9858790083951124e-17
195	30011	1.220402484242574e-16
196	5159	1.2961989041103317e-17
197	3717	1.5506178064787143e-17
198	10451	3.716812257276965e-17
199	7525	5.3831020242175434e-17
200	1445	1.2199281879842889e-17
