#rank	DIAMOnD_node	p_hyper
1	11018	5.235044726866717e-06
2	27178	5.5589485620035286e-05
3	5744	0.00032240474037254424
4	3569	0.0004102241118404077
5	972	0.0005130884768179453
6	3108	0.00010566783927565076
7	3109	6.839405247183852e-07
8	3123	7.871812604098441e-05
9	3732	0.00013015843584585706
10	967	1.9803011404991457e-05
11	3112	2.7015530822959507e-08
12	5738	9.635216689692127e-05
13	928	0.00015949825535195735
14	975	4.455987181420213e-06
15	93185	2.9781920051593263e-06
16	963	1.7002741537078094e-05
17	920	2.0170934741209893e-06
18	3676	3.786993559170055e-06
19	3688	2.8859319843456824e-06
20	2515	1.9816276041867722e-07
21	4179	2.5154741650847414e-07
22	7106	2.5576984077191124e-08
23	3675	9.132307832595189e-09
24	977	4.0944503867409694e-10
25	3655	1.309645145733359e-09
26	3679	3.8757202661440045e-06
27	3964	6.116195053376942e-06
28	931	1.6730463053619453e-05
29	8754	3.6093893459461615e-05
30	948	4.658008292962316e-05
31	4067	5.685494845242663e-05
32	930	4.205575912999851e-06
33	7057	6.94038270792342e-05
34	961	5.668324400706753e-06
35	3673	3.5268397904645e-06
36	3690	1.8062395173870963e-05
37	7052	5.416915734039309e-06
38	3674	2.670604718887276e-07
39	2812	1.3490098338901962e-07
40	2811	1.691949484529982e-07
41	3386	5.096570969063685e-07
42	3685	3.3620965627926225e-07
43	2335	1.537883235114357e-07
44	1278	2.240668734184943e-07
45	1277	4.4117277300318836e-08
46	3678	3.330808429432083e-08
47	4856	1.618893158048827e-08
48	4318	6.64695797364e-08
49	960	7.418793471514936e-08
50	1293	8.269182943650339e-08
51	6678	1.3790449815198817e-07
52	27329	2.244367176061548e-07
53	6696	3.993244509243058e-07
54	3693	3.4980688992425157e-07
55	3491	7.66387228777013e-09
56	5029	1.1086807571207866e-07
57	80781	5.395788920530414e-07
58	5175	9.75131257242113e-07
59	5747	1.2827947741514695e-06
60	6714	1.3190552016464926e-06
61	8751	3.180255244019044e-07
62	7525	2.392953757095922e-07
63	2534	8.441589879295854e-08
64	1796	4.887353655246654e-09
65	1445	7.062832836086137e-09
66	5829	2.607875023451931e-09
67	5310	1.5411331158855338e-09
68	7094	5.312318283055466e-09
69	2934	1.0515907031030843e-08
70	2185	5.527757352573916e-09
71	9564	1.951785432950665e-09
72	3932	2.1671712651651344e-09
73	6850	1.550991035682744e-10
74	867	1.6973411985244904e-10
75	6464	4.640962256862868e-11
76	5921	7.061370276672293e-11
77	3815	4.665704896284182e-12
78	5295	9.822596257317435e-13
79	1436	6.301196538483677e-13
80	1399	1.1957804441860201e-12
81	5781	2.934930147104017e-12
82	613	1.5462286204118766e-13
83	9846	1.0296417408940167e-13
84	5777	9.431978810267554e-15
85	55824	4.422378530393411e-15
86	1956	1.3559860761164118e-14
87	2889	5.373151568516062e-15
88	3717	3.275505201846428e-14
89	1439	1.975812312348411e-15
90	2057	3.621851848207433e-15
91	5335	3.602361589242195e-15
92	3791	1.2983372069619739e-16
93	5336	5.756157622540481e-17
94	3055	1.5988316666930886e-17
95	7409	2.6914515892906275e-17
96	2064	1.667509569806885e-17
97	2065	1.0018093279452172e-18
98	25	6.437806578050666e-19
99	6654	2.1362917298440774e-20
100	7535	4.0080256086493095e-20
101	3937	4.069550298263561e-20
102	27040	5.91624649089935e-18
103	2885	1.6498638360218762e-18
104	11184	2.7755640149521e-20
105	1398	4.8673309607786895e-20
106	29760	2.697078619069144e-20
107	868	2.2273712339487883e-20
108	10006	1.5108574462129666e-19
109	6655	6.376014138381137e-20
110	5159	2.6164819176215465e-19
111	27	7.700962442684688e-21
112	4690	8.009063437930773e-21
113	2321	3.229936144978878e-20
114	10278	1.4513246443387124e-19
115	5788	3.0976018956589696e-19
116	2549	9.357417183054883e-20
117	6452	5.541150340766239e-19
118	7410	1.0416236430314401e-20
119	10451	6.550003335906912e-19
120	50807	8.652453282865769e-19
121	3643	1.1079972340733894e-18
122	5782	1.7845235627358842e-19
123	4739	2.9753946495674245e-19
124	5795	2.0133224975343337e-18
125	4914	2.5705037551363913e-19
126	10818	2.1448465521696575e-19
127	10603	5.411874336850293e-19
128	7006	4.560958095201393e-18
129	8651	2.708316975561269e-19
130	3702	2.0973665958496516e-20
131	3716	9.764023463924008e-20
132	3480	7.624284560073257e-21
133	5296	1.0826372501814398e-19
134	6461	1.395616385590765e-19
135	5156	1.9489798821470337e-20
136	6777	8.347914153631107e-21
137	6776	4.81714105777903e-22
138	2066	4.349302860133168e-22
139	2690	3.786758350629614e-21
140	5770	5.342129002604721e-22
141	6774	2.5221448439704744e-21
142	2887	2.0912529136644113e-20
143	3667	2.9690498661731566e-20
144	9021	2.05734776654978e-21
145	3718	1.4554172163322056e-21
146	8660	2.0156885000959096e-22
147	10657	1.0457830064117278e-21
148	3572	2.4570564526131842e-20
149	7297	1.635021919351822e-20
150	3635	3.770557037284503e-20
151	4233	2.321053066652169e-21
152	695	1.8928877152863055e-19
153	7454	6.917365199531956e-19
154	100124696	4.628079898064259e-20
155	5800	1.0265713058279255e-19
156	2268	2.1316749720525393e-19
157	5771	1.1687897773597183e-18
158	660	1.254639815315948e-18
159	6772	1.8327105524706585e-19
160	7852	2.953235160388141e-19
