#rank	DIAMOnD_node	p_hyper
1	5335	6.881207715803917e-06
2	7275	2.0566012529142693e-07
3	9846	3.6666681269867075e-07
4	5295	2.7164860548159877e-08
5	6464	2.88793591018438e-09
6	1399	2.684781223475242e-10
7	2065	8.462410050560094e-12
8	6654	4.3462024385588337e-13
9	5781	3.99346944275369e-11
10	2064	1.3314533959970134e-12
11	2057	1.9224762167449555e-12
12	5777	3.142163313075002e-13
13	3815	7.510114359164387e-15
14	867	7.184528737469314e-16
15	2885	6.878783551680666e-16
16	7409	1.5834494575527845e-17
17	6850	1.6832647467063646e-18
18	4067	1.0816057809210632e-17
19	10603	2.369416201809975e-19
20	2185	4.2309684872411543e-19
21	6714	2.3951223528416034e-19
22	1956	2.688821119725884e-20
23	5921	6.105837279502717e-22
24	7535	1.2485224678211423e-22
25	55824	3.342862237943756e-22
26	2534	1.1470926689822099e-21
27	3937	1.3125690183334759e-23
28	11184	1.1873661911267757e-24
29	27040	1.092063048598336e-24
30	5336	3.4602624963885478e-25
31	6452	1.7139758165609616e-25
32	3932	3.1738058082503564e-25
33	1796	6.2977556631463466e-24
34	868	4.411940915252576e-23
35	29760	1.7537996133768407e-24
36	9564	2.188206976026995e-23
37	3055	1.5256050296402043e-24
38	2889	6.322952653331371e-26
39	1398	1.357327831837533e-25
40	10006	2.2385943599019306e-24
41	6655	7.060441183135641e-26
42	27	2.3637142780996903e-24
43	4690	1.9218503600857944e-24
44	5159	1.0056304741219948e-24
45	5747	4.113725476047503e-24
46	10278	9.769957535270178e-25
47	5829	1.951899180977735e-24
48	50807	2.0672825757291224e-24
49	10451	1.4304612735819446e-23
50	2549	3.0654832011292446e-23
51	3643	3.2215617728261192e-24
52	1445	1.6419677633709246e-24
53	5788	1.3314768761911905e-25
54	5782	9.357246636812456e-24
55	4914	3.310042562259635e-25
56	5795	1.38980047425742e-25
57	10818	5.244243279393411e-24
58	4233	1.8957792370648374e-23
59	7006	6.260751415247731e-23
60	3702	1.867613634020529e-23
61	7454	9.837740468141194e-25
62	5800	2.4990682556352297e-25
63	5793	3.2304018375912377e-23
64	10657	5.637762750432783e-23
65	695	1.8486077687829716e-23
66	6776	1.1775632584690193e-22
67	6777	2.36640715398395e-22
68	3716	9.352801969761612e-24
69	2690	3.6256417319646695e-24
70	5770	1.0683029308781473e-24
71	3480	3.389045933156009e-24
72	8651	1.1225205702612257e-25
73	3667	8.559579307666135e-27
74	5296	1.5567798759806154e-26
75	2066	6.632981384296317e-25
76	2887	9.13884732746749e-25
77	100124696	1.789981729384669e-24
78	8660	1.0279290096686707e-23
79	6774	1.3816507262701535e-23
80	3718	2.6757128366680453e-24
81	3560	3.2961213723128064e-25
82	9021	1.0989175202667025e-25
83	6461	6.678954541066995e-25
84	5156	4.766815132922775e-26
85	3635	3.910263285208652e-23
86	1436	1.0132290733756609e-24
87	7297	1.3392455074655406e-22
88	7525	2.3852051205931175e-22
89	3791	4.640512912972683e-23
90	2321	2.651829702750043e-24
91	1439	5.819671863279029e-24
92	6772	3.8838317112792916e-24
93	660	4.030334719855443e-24
94	3572	6.123022018111375e-22
95	5787	1.7128712497403556e-21
96	2242	1.976719347059623e-21
97	7010	2.429669568316295e-21
98	9402	3.0905378350207067e-21
99	2268	9.829683384791899e-21
100	5979	1.183378096036156e-20
101	55715	1.6780223128208977e-21
102	5595	3.282541158336137e-21
103	857	1.1363186637157177e-21
104	5175	3.9094337274114846e-20
105	2213	4.433493279189245e-20
106	5594	4.280451084447764e-20
107	25970	8.480600945310504e-21
