#rank	DIAMOnD_node	p_hyper
1	5476	6.419403553865605e-12
2	3938	8.328195453558723e-10
3	8972	2.507715026586304e-09
4	2595	5.835620244300492e-10
5	55655	8.635206574739722e-08
6	545	1.0318028581656855e-07
7	27034	2.4649956938216217e-07
8	1508	1.0065931678570255e-06
9	9656	1.024062309066984e-06
10	4361	7.649081999027722e-07
11	83548	1.260899684825316e-06
12	57511	1.585769759781741e-08
13	22796	2.8966487472202785e-09
14	4123	1.8049241825419648e-06
15	587	1.8197490218235735e-06
16	2877	1.998489575076642e-06
17	84129	1.8814072423771992e-07
18	80724	1.3816285415304757e-07
19	2879	8.287466032897734e-09
20	35	7.076809840807954e-10
21	30	1.843695559732966e-10
22	2878	1.0239372008933805e-11
23	8309	2.6789067126586926e-11
24	3295	3.6510644610785064e-12
25	1962	7.945859496588319e-13
26	2876	4.067475364629211e-14
27	6649	5.199888551429567e-14
28	257202	1.9823968973371103e-15
29	10935	6.688888761958333e-14
30	7001	8.995600029740224e-13
31	6648	9.131646663116633e-12
32	5052	7.0799391761262154e-12
33	549	2.7972392145810564e-11
34	55268	1.558911264809954e-11
35	1891	1.8097265086107416e-12
36	3032	1.288737795216527e-11
37	1892	2.829109766707834e-12
38	3030	4.4079553378879365e-13
39	116285	4.157209218215402e-09
40	2936	5.185594549438697e-09
41	84264	2.144468781775009e-08
42	3029	3.349239763692836e-08
43	3028	2.5901810752412214e-07
44	2181	2.890292490995891e-06
45	3033	4.70405107512011e-06
46	3158	3.667281880855524e-07
47	38	2.3499376352745622e-08
48	5019	1.2937873618918268e-08
49	3157	1.9060245741707934e-09
50	39	2.1523338727614043e-10
51	64064	3.619247789430133e-10
52	65985	1.665427986407503e-06
53	54511	1.8996463460570536e-06
54	4759	1.0763471627065621e-05
55	586	1.206346792005441e-05
56	1537	1.527265764431457e-05
57	27089	7.514310826662754e-06
58	170712	7.746778294848518e-07
59	1350	7.845227400451372e-07
60	7388	2.812783916880528e-07
61	1347	3.303723549038392e-08
62	7385	8.057304767659475e-09
63	1346	1.0904011277804279e-09
64	7384	2.964765577207384e-10
65	1339	2.7961347429112333e-11
66	125965	7.318427841629552e-11
67	124637	4.115435724327544e-12
68	84701	1.7201584337037125e-12
69	1351	1.7549659197117962e-12
70	29796	2.1336951860824107e-13
71	1349	3.1775851329638454e-14
72	10975	2.0554474803160638e-14
73	1337	4.2756354170965687e-16
74	9167	1.7910799173891342e-15
75	7386	2.245730294983684e-16
76	4514	3.5711598235371206e-16
77	7381	1.2433654604626496e-16
78	1345	5.2752416735264744e-18
79	1327	3.570006649469925e-17
80	4512	1.3906604102073043e-17
81	9377	1.0271814420562673e-18
82	4513	1.0121216153902552e-18
83	341947	1.67562543586424e-15
84	1329	8.394259431550785e-14
85	7991	1.622836418506431e-11
86	4718	2.6043684762653114e-11
87	4713	2.280382596752539e-12
88	4711	1.8438712137098194e-13
89	4708	1.3793389809895227e-14
90	4706	9.56091223032365e-16
91	4710	9.969235262751067e-17
92	4709	6.145644953766008e-18
93	4707	3.525015832840472e-19
94	4728	3.3151921564421666e-20
95	4714	3.058507455486727e-21
96	4712	1.518522389362941e-22
97	4724	1.2086370441403552e-23
98	4717	4.841948845532051e-25
99	4696	1.8015741243840292e-26
100	126328	6.222198666840675e-28
101	4716	3.600599889440703e-29
102	4700	1.2335658450454256e-30
103	55967	4.133617144604447e-32
104	4731	1.1039157694434358e-33
105	4702	2.725885552542872e-35
106	4695	6.211405391177777e-37
107	4705	3.9735211142708356e-38
108	4719	1.3281137805738256e-39
109	4729	5.04496437668982e-41
110	4694	1.8336472994089528e-42
111	4701	5.587659247459345e-44
112	4726	3.3542547610832087e-45
113	4725	5.401972303538112e-47
114	4704	7.949839593759593e-49
115	4698	1.0641773303664028e-50
116	51079	1.288705005062556e-52
117	4722	7.097992645922564e-54
118	4720	7.578256360226591e-56
119	4535	1.0738268662309487e-57
120	4715	5.857925853471098e-59
121	54539	6.820743093007356e-54
122	4697	1.5545764296295097e-51
123	51103	3.833440269851442e-09
124	11073	3.904965415933426e-05
125	571	2.8933814782228055e-05
126	3981	4.4953060922614014e-05
127	3712	5.784263649559203e-05
128	5830	6.790989588781053e-05
129	6476	6.871150982701948e-05
130	64772	7.024144669530587e-05
131	129807	2.6083775095735652e-05
132	55907	2.636255222433447e-05
133	3155	7.191957567954386e-05
134	622	4.3455488796034975e-06
135	51295	7.899698238323399e-05
136	1476	0.00012146017373577965
137	2	0.0001289840498231257
138	5260	0.00013962376126693408
139	3416	0.00014051164032504414
140	83990	0.00014140366120549155
141	7156	0.00015524595848268147
142	80010	1.3766316833512102e-05
143	2188	9.916959650944629e-07
144	57697	1.0038949288808324e-06
145	2176	2.1438419689723941e-07
146	2189	4.404028177475249e-08
147	6117	1.0165195381812202e-06
148	6118	5.036604704014861e-07
149	6119	5.391112636366305e-07
150	378708	1.597587631358942e-06
151	80233	1.889583666268781e-06
152	5981	2.719385997911192e-06
153	5982	7.535002142832929e-07
154	672	1.8153624348928652e-06
155	5984	4.988881178877481e-07
156	5888	9.939102410510078e-07
157	675	8.02619448712174e-07
158	5893	4.1856726782519175e-06
159	29935	4.684605454510697e-06
160	7014	5.134776518800596e-06
161	201254	1.2187192436688409e-05
162	22909	1.5101947181202416e-05
163	580	1.74553394829989e-05
164	4437	2.130801494914594e-06
165	5932	5.029880593758569e-06
166	5591	8.223235880142806e-06
167	11277	2.189919313558299e-06
168	7520	2.1949627391923837e-05
169	54386	3.343115775855127e-06
170	26277	3.893182899471062e-07
171	7013	1.6881231193955454e-06
172	25913	3.3235919867548955e-07
173	65057	9.646901833184276e-07
174	2547	3.6390165502544795e-06
175	7518	1.0103798017302963e-06
176	1111	5.77214971979923e-06
177	3014	1.9213191759808845e-05
178	9557	3.295885592946922e-06
179	200558	1.6998387600577666e-06
180	142	1.7902276156740482e-06
181	7515	3.532196321201389e-06
182	5111	3.607913623761157e-06
183	5378	2.911788595812754e-07
184	5422	7.322442252557323e-07
185	5426	2.038470835529447e-07
186	9156	1.7138832799220928e-06
187	7155	2.643921965265562e-06
188	5424	5.893393453394494e-07
189	983	4.0153898434963207e-07
190	3978	6.341061368122516e-08
191	5557	3.4460020593807324e-08
192	10714	6.117278226597798e-08
193	57804	1.1102671780916632e-08
194	5558	5.296289408561807e-10
195	56655	4.655274733819155e-11
196	5425	1.2481418930492556e-11
197	54107	1.6300796333792542e-12
198	5427	4.377905432090877e-12
199	23649	1.3755027135665984e-11
200	7153	1.0712189772971842e-09
