#rank	DIAMOnD_node	p_hyper
1	5830	9.172939810679362e-13
2	5193	1.7233171631906757e-09
3	5825	9.314429472588613e-07
4	225	2.455726957546699e-09
5	5189	2.139050533558435e-06
6	4597	0.0002799553286063687
7	10654	0.0001417525006248745
8	11001	3.0042543356481325e-06
9	9453	4.640397265217492e-05
10	2224	6.934244662069933e-07
11	3422	6.58915385925844e-09
12	91734	2.9611141229153503e-08
13	8079	0.00015181213215806393
14	3418	0.0002483566553376315
15	23417	5.6491962702166645e-06
16	3417	2.4708445687168952e-06
17	3156	1.49126241535341e-06
18	48	8.861294846863829e-05
19	3421	8.418688576733577e-07
20	3419	1.942447536941283e-08
21	3420	1.363599790041453e-10
22	3658	6.925975538132158e-12
23	50	3.573443091118529e-11
24	387082	6.900214771198425e-05
25	11021	0.00047478077491745264
26	9519	0.0010779625242433215
27	10935	0.003002783512084333
28	34	0.0002635876508926662
29	30	0.00011550193341652215
30	7001	2.9134202488750372e-06
31	51	6.218869442034378e-08
32	80724	1.1677084083430994e-09
33	35	1.564555846130732e-11
34	28976	2.371212971209849e-13
35	84129	2.477022297866006e-15
36	36	8.4882472434205e-17
37	3295	1.589057558588624e-18
38	2877	1.714400263546642e-20
39	6649	3.888962427632643e-22
40	27034	1.0844839714022603e-22
41	2879	4.215890417416878e-25
42	1962	3.9362375307788093e-25
43	2878	1.2555225428928289e-27
44	6647	4.5920426678420935e-28
45	2876	3.0980633109989077e-29
46	257202	3.283278684307674e-27
47	6648	1.6492632823994946e-28
48	5052	7.989185391209556e-26
49	8309	1.5104486756470692e-25
50	549	6.433779970868908e-20
51	1891	9.903058841965667e-21
52	55268	1.502402560909978e-20
53	1892	1.9861963085284759e-22
54	3030	4.5620878382739795e-24
55	3032	1.0523279393490298e-25
56	2639	1.4344780614245957e-25
57	2936	6.114991096493038e-16
58	116285	3.927127190572219e-15
59	84264	8.780108916066445e-15
60	3029	1.488215113036724e-14
61	2181	4.4696708364381016e-12
62	3033	5.064730240519505e-11
63	3158	9.553095364991676e-11
64	3028	9.318964745928086e-12
65	3157	2.3504512576142043e-12
66	38	1.5496866773188959e-13
67	39	5.0486865532631466e-14
68	64064	9.114452830188586e-16
69	5019	2.2648807776176315e-15
70	54511	3.9151974343569867e-13
71	3155	2.720914266367276e-11
72	65985	8.892735324519908e-11
73	622	1.77388124926944e-09
74	1738	8.648030215431923e-08
75	23600	2.977283828406379e-07
76	8050	5.7819538702134705e-06
77	23464	6.759031887939721e-07
78	4594	4.215793261113974e-08
79	4967	2.637626065148617e-09
80	212	3.204186811109071e-10
81	8803	5.262314358773494e-12
82	8802	1.6485040697255088e-13
83	8801	3.3922643955990393e-15
84	1743	2.5784206776172748e-14
85	211	1.8427289320934053e-12
86	6392	1.2434688960755467e-09
87	6391	1.5409510190730924e-10
88	7915	4.114182821495821e-12
89	6389	1.1005305885054838e-12
90	6390	6.953169028288625e-14
91	2271	7.648772751721616e-07
92	594	1.7197257241705837e-05
93	593	2.783097833067479e-07
94	587	2.115438517256183e-06
95	1629	1.385955145681203e-06
96	586	2.2633006543570457e-08
97	3712	6.995309979395923e-08
98	64087	7.124164092820425e-05
99	2194	0.00010220196228503064
100	6785	4.924114474639317e-06
101	9415	3.6652403230847748e-06
102	3992	1.3387776016750538e-07
103	6319	1.986361025329385e-09
104	126129	4.0497480759855105e-11
105	2180	3.857842992039137e-11
106	1374	2.537693459919349e-12
107	51703	5.306449117177619e-13
108	1375	5.5624362539850994e-14
109	2182	1.978167985304515e-15
110	55301	6.694529108058114e-11
111	11343	1.664620982642007e-10
112	10555	3.3558908286363688e-06
113	56894	8.530182683672919e-06
114	137964	8.732292742742106e-06
115	10554	8.93755453251505e-06
116	57678	1.7877521551478543e-06
117	55326	4.5604025266823856e-08
118	56895	1.3995368660891484e-07
119	56922	0.0002989771010001292
120	2713	0.0003034577154744054
121	2712	0.00030797142525742404
122	3990	0.00035589058837183057
123	2710	4.311131454192823e-06
124	1350	0.0004606684641682688
125	1347	0.0004704375504286584
126	1346	0.0004803392004281986
127	1339	0.0004903741809005527
128	124637	0.00031909205553944277
129	170712	1.625846711898493e-05
130	6821	8.791561608556926e-07
131	1351	5.835167498274969e-07
132	1349	6.036449174097233e-07
133	29796	6.461528409458974e-08
134	1340	1.2881296055202386e-08
135	1537	1.364980251125165e-09
136	1337	2.1875120670376222e-10
137	10975	1.5737861697620417e-11
138	125965	2.9857828010852725e-12
139	4519	8.679555091410566e-13
140	84701	3.284780698339626e-14
141	7386	5.5110882452623886e-14
142	9167	6.976516660939909e-16
143	1345	3.464976403623295e-15
144	7381	3.6465314192094054e-16
145	4514	3.666711959696295e-17
146	1327	1.5204950416281544e-17
147	27089	6.750300999652054e-19
148	9377	3.284431722609547e-20
149	7388	1.1693483860757451e-21
150	4512	3.711606659373344e-23
151	4513	8.706568942828379e-25
152	7385	5.1520862479178884e-26
153	7384	4.243639772190148e-27
154	341947	2.216602877972585e-23
155	1329	1.3641975649398393e-21
156	4537	1.0082788261579717e-18
157	4540	2.795196804535315e-16
158	7991	4.1787734414924775e-15
159	2110	1.8345361107110379e-13
160	4538	4.625869097409984e-13
161	4718	3.2121005749043047e-12
162	4708	1.3580608179136372e-13
163	4713	5.23413522127868e-15
164	4711	1.8469704949549652e-16
165	4706	5.989176855743971e-18
166	4710	2.58243770115801e-19
167	4709	7.332961405140767e-21
168	4707	1.9304192274113403e-22
169	4714	1.126939677423396e-23
170	4712	2.714645102994732e-25
171	4716	9.821322059465954e-27
172	4700	2.123623135636615e-28
173	4694	1.2069348413710689e-29
174	126328	2.9562258207800727e-31
175	4717	4.782589865733886e-33
176	4724	7.212861740245617e-35
177	4696	1.0141500981169548e-36
178	4731	2.7840739341649544e-38
179	55967	3.5417598244712936e-40
180	4723	4.203331620273983e-42
181	4702	4.650707869720238e-44
182	4695	4.793056820290218e-46
183	4541	4.596078940741891e-48
184	4539	4.094909611013833e-50
185	4705	9.50213594885003e-52
186	374291	2.1945012782553693e-53
187	4729	1.733092110490105e-55
188	4728	1.2689179708007387e-57
189	4701	2.7961652822321226e-59
190	4535	3.289517836257176e-61
191	51079	3.9978270009943223e-63
192	4726	2.4013510069048906e-65
193	4725	1.3273136533124336e-67
194	4704	6.724617890454623e-70
195	4698	3.108352651181763e-72
196	4722	6.2247051491988634e-74
