#rank	DIAMOnD_node	p_hyper
1	6285	0.00014532470144397057
2	6271	7.337577987392661e-05
3	6286	1.0044568279117722e-05
4	6273	4.538846152031595e-06
5	6275	0.0001132628570787197
6	11319	0.00012611760946872844
7	3597	0.0001967335243147715
8	1290	0.00020488968866925488
9	29922	0.0002904557818736554
10	3109	0.00030959575807442557
11	967	4.644120286951341e-05
12	3732	1.0195495213892752e-05
13	3108	1.3181027382356989e-06
14	3111	1.7337567482526208e-05
15	972	2.057245724409381e-05
16	5738	0.0001845382713475087
17	3123	0.00019098457252515462
18	1485	0.0002954518858067774
19	3125	0.0001228861226904306
20	10910	0.0004404079429374116
21	6277	3.529576810773957e-05
22	27101	2.263222558885275e-05
23	6283	2.3416974262113185e-05
24	928	0.0005689301902536375
25	975	2.4138327582424086e-05
26	93185	1.043677592174727e-05
27	1839	2.825047053949129e-05
28	963	6.0326001708732715e-05
29	3676	1.824308091507213e-05
30	3688	2.764930815368435e-05
31	2515	6.280068662723263e-07
32	4179	1.1407107899557045e-06
33	7106	1.1403817085812296e-07
34	3675	5.7617796899757864e-08
35	977	2.5359542560259097e-09
36	3655	1.1230889428962339e-08
37	3679	1.0985040263048384e-05
38	3964	1.7040627385662966e-05
39	931	4.572456739294674e-05
40	7412	6.139431353174193e-05
41	5877	0.00010037073477401434
42	3673	9.846542549340993e-06
43	961	1.759096199408969e-05
44	2923	2.4524258542324232e-05
45	821	9.119351850738825e-06
46	1293	1.5204981908492873e-05
47	3105	2.1853548348677943e-05
48	6892	2.5064649853707713e-06
49	3135	5.464409315525957e-08
50	3134	3.4422091052124807e-09
51	567	5.073237136007764e-10
52	6890	7.41864187842366e-11
53	6891	5.015146016317384e-11
54	811	5.039583434258158e-12
55	912	8.209642372706453e-09
56	10859	9.455696781113535e-08
57	3107	7.3630737472443874e-09
58	10288	1.0260691211352892e-07
59	3106	2.7567270478385387e-07
60	925	8.858368058930699e-08
61	6955	1.1922402471602983e-05
62	3824	1.5788674634933037e-05
63	7057	3.2506330154605576e-05
64	948	6.389461541099614e-06
65	3690	1.4286403919863817e-05
66	3674	2.695696268036206e-06
67	2812	8.556461626147243e-07
68	2811	1.6272347169055293e-06
69	3386	3.0740292872931e-06
70	3685	4.572583677582218e-06
71	3491	5.860455742518658e-06
72	4856	6.442320843508877e-06
73	3678	3.99513388492371e-07
74	2335	5.037174682097374e-07
75	7052	2.819517792842299e-07
76	1277	6.642832730931835e-07
77	1278	6.877617109783194e-08
78	7450	1.5199108311936747e-07
79	27329	7.298248186112254e-07
80	4318	9.578959205401878e-07
81	6678	1.1149230747680685e-06
82	960	1.6368222081159336e-06
83	80781	2.3118881054813936e-06
84	6696	3.182439537289949e-06
85	3693	2.0280579053925426e-07
86	8754	2.099395857042367e-07
87	5029	5.688477767236149e-07
88	4316	6.322164141596034e-07
89	3680	4.150078424626151e-06
90	7422	9.183248013443893e-07
91	3371	1.1485284714617955e-06
92	5829	7.800256416482604e-06
93	1490	9.31222173160732e-06
94	2192	1.8331250542622197e-06
95	3339	4.1314592584285734e-07
96	4811	1.6636022658468192e-07
97	1305	1.6717918122948887e-07
98	5549	3.9823272060200046e-07
99	2199	1.0963646544345359e-07
100	1280	1.1493112616870448e-06
101	1634	6.592425497343694e-07
102	1285	9.267353406172595e-08
103	7045	6.232294185936499e-08
104	1286	4.3527537882103935e-09
105	1282	1.676991202231991e-08
106	22795	3.8010193003205735e-08
107	2006	1.1355477285395688e-07
108	7040	1.9188431818311808e-07
109	2200	2.1366103423572855e-08
110	4052	2.1929454971208973e-08
111	1462	2.3528278555256347e-07
112	4313	2.704051295063662e-07
113	7058	8.717813211734521e-08
114	4147	5.626448228144499e-07
115	1287	8.207259624905754e-08
116	1288	2.19787196033202e-09
117	22918	1.345201655194051e-09
118	3026	4.822755544273294e-09
119	1284	3.4573211897214825e-10
120	5270	2.394732970612113e-10
121	5008	1.339706663908089e-09
122	5653	5.0589883957630606e-09
123	351	2.182342523281304e-08
124	633	4.261817814639938e-10
125	4237	1.1772172257807084e-07
126	2201	1.6279467051181605e-08
127	284217	1.761830648476909e-07
128	6288	6.546628154205065e-09
129	1294	4.495799251119631e-08
