#rank	DIAMOnD_node	p_hyper
1	81037	0.0009753169780306318
2	1890	0.0020996582292475137
3	4860	0.0004715821027221345
4	9615	1.3481429558514366e-05
5	4837	0.0012754145097323643
6	6507	0.0026991552867289452
7	151531	0.004270616845957115
8	5457	0.004495048712925181
9	7378	0.004719446853491695
10	3954	0.006586557492393746
11	64216	0.0068851712873493325
12	7019	0.00016921415657186552
13	4163	0.0010555371998611537
14	353	0.00016307634916058224
15	4507	5.8978304392155826e-05
16	10525	0.0003272199405117024
17	1431	0.0004092564964479931
18	7189	0.00029484347132972523
19	87178	5.235044726866717e-06
20	5198	8.354458496311283e-06
21	7407	1.531667871509637e-05
22	9761	1.8917154081115402e-05
23	23193	2.8335850164068965e-05
24	8793	6.170366705168088e-06
25	5902	2.1729443024823114e-05
26	7428	5.920802807295031e-06
27	2935	5.323445396036194e-07
28	9641	9.238832335825488e-07
29	56681	5.344809977822036e-09
30	6902	5.964069864451957e-08
31	3106	2.0697637896351746e-08
32	51504	3.912424609365458e-10
33	136319	6.826191378921008e-10
34	8407	1.1452062140450709e-09
35	2035	1.094282546707514e-09
36	54205	4.7215283727452284e-11
37	5110	1.731015229983228e-10
38	7247	2.7472559309595427e-10
39	4282	1.0286946708707102e-09
40	3336	1.4471402891381697e-09
41	24140	2.834117817335167e-09
42	873	5.938345084582904e-11
43	54093	1.381864787857788e-10
44	10289	6.448770547959495e-11
45	5358	7.822185853194609e-12
46	1892	1.2215135638416622e-11
47	7086	2.538848429279843e-11
48	2171	4.977033845767158e-11
49	9474	2.179807503875007e-11
50	10857	5.3650826328917254e-12
51	7879	4.0947394987749604e-11
52	5564	1.6297137225040637e-11
53	27101	4.346620130032862e-12
54	5687	6.209351829347334e-12
55	5691	8.650484924973566e-13
56	9861	5.028357050212832e-12
57	5688	2.524402182614729e-12
58	10197	1.3679341400858578e-12
59	7077	8.31217975512203e-14
60	5683	2.50721386603727e-12
61	23043	1.798204135498012e-13
62	5719	1.6129442810647823e-14
63	5707	1.2769528950989301e-15
64	5700	2.979969783172231e-17
65	5682	2.7762684986127603e-18
66	5689	2.0694004653515996e-19
67	5693	9.38069347827137e-21
68	5694	8.497906765168895e-22
69	10213	4.707603067931785e-23
70	5706	1.005630474107504e-24
71	5704	2.9493302582665816e-26
72	5692	4.2294212199701135e-28
73	5718	2.2605915009913553e-29
74	5695	2.4938451700213244e-31
75	5721	2.89879453343225e-33
76	5714	1.22538325694861e-33
77	5702	3.235516413770114e-35
78	5690	3.0170264238476413e-37
79	5711	1.4972777956950616e-38
80	5713	1.1590111594144866e-39
81	5685	1.0956784638674265e-41
82	5686	1.4655990124003847e-42
83	5701	1.53164872975735e-44
84	5716	1.1307972407078188e-46
85	5720	1.2311192636775165e-46
86	5684	5.2727972790595594e-48
87	5710	5.8563377256154405e-50
88	5709	1.4164010290712113e-50
89	51377	2.5576324273066818e-51
90	23198	1.269190488061768e-53
91	5717	1.249818583765992e-53
92	5705	3.963713682096161e-55
93	11047	3.9255232444435294e-57
94	3306	1.4015916777010412e-58
95	5708	1.1564217575542454e-56
96	7277	4.2181434473089425e-49
97	81027	1.5789122285012608e-44
98	3309	1.3018138799926345e-44
99	3303	4.675464879154185e-45
100	9097	4.6198162887522776e-40
101	3312	8.463801886200449e-38
102	80227	1.1755494933812442e-32
103	5696	1.663385977040802e-26
104	51371	1.8911597221701652e-26
105	5698	2.1169847601569724e-27
106	79008	3.0824796873076317e-18
107	548593	4.8431829394212306e-18
108	2688	3.1199599007728616e-17
