#rank	DIAMOnD_node	p_hyper
1	285733	0.0012003901268069323
2	57142	0.0016002006036570109
3	1272	0.0002905664658191953
4	27255	1.9202384476848498e-05
5	7881	1.0073173626774611e-07
6	8506	1.0692804266691269e-08
7	3737	1.1469595841957084e-10
8	3736	5.343580856265077e-07
9	8514	6.489408895680864e-05
10	26047	6.934244662069933e-07
11	6900	5.273309369740993e-06
12	1463	8.246640652950175e-05
13	3371	0.00015181213215806393
14	5787	0.00010041115534723215
15	4897	0.00010212523835416781
16	3738	0.0002328580513508492
17	3739	8.354458496311283e-06
18	1739	1.6149851079874167e-06
19	1742	8.773118177603974e-06
20	3741	5.76371924409931e-07
21	8573	6.7450471255776015e-06
22	27165	2.3315077525882866e-06
23	85461	5.995126626642126e-06
24	9229	1.4099635760155048e-06
25	1740	1.6635238030621534e-07
26	2903	2.406517608793218e-08
27	1741	2.1738645985453586e-08
28	3759	8.057229489977279e-10
29	3761	6.071149515961007e-10
30	8825	5.4711006294584384e-11
31	3768	1.4484312791322243e-11
32	2904	5.047656851885272e-10
33	64130	2.2219024983201108e-10
34	493	6.089688323634142e-09
35	491	1.5027322818723897e-10
36	320	7.488635497561301e-09
37	55327	5.755658124446622e-10
38	2898	1.2139866989576163e-08
39	9419	2.986011428471322e-08
40	10207	1.7447190297593642e-08
41	10369	2.7041149244016794e-10
42	6331	3.474105002664806e-09
43	2905	4.809828666518911e-09
44	22866	1.5848329266878932e-08
45	6640	2.1944539945665614e-08
46	6329	9.410026925334972e-11
47	23095	4.0619260600108044e-10
48	19	1.8118669017586093e-08
49	57555	3.3348561935700474e-08
50	90627	4.517728581508739e-08
51	3603	7.117709888458004e-08
52	3766	8.6799491036156e-09
53	6641	1.2712657018350603e-07
54	6300	3.207800635427404e-08
55	5998	6.586590227858367e-08
56	54910	2.371287060155261e-07
57	6645	7.520027477830001e-07
58	1756	5.492754027904005e-07
59	1837	1.800295219620605e-07
60	7402	4.212348116119715e-09
61	2902	1.3419509716904572e-06
62	116443	3.5558917549251524e-08
63	88	7.598622100061584e-08
64	2066	1.5822531688172647e-07
65	116444	2.0821726195257334e-07
66	8831	1.209551792220333e-06
67	2906	5.277436835319923e-08
68	22839	1.293969010494218e-08
69	815	5.74667225624022e-09
70	57554	1.054042161890645e-06
71	5071	1.6860799529944969e-06
72	1821	2.6608851562912592e-06
73	9615	2.7544872909386e-06
74	3358	2.850251752394202e-06
75	8777	1.5649218146531469e-06
76	54221	3.048365070609587e-06
77	1838	1.5117400628947573e-07
78	54212	4.516729132124664e-07
79	146	3.442158541228903e-08
80	58512	4.1273796006677146e-06
81	22941	8.270695815459593e-07
82	9228	2.6157348277982126e-07
83	85358	1.539654628303589e-07
84	6714	1.341110919618539e-07
85	2534	3.046136039790252e-08
86	1605	5.3633365406473153e-08
87	1398	1.814133246698483e-07
88	57716	1.1562891169160729e-07
89	2185	1.4111316048233807e-07
90	4690	2.4819044393495234e-07
91	9743	9.220666018480796e-09
92	1000	1.8120701372235003e-08
93	2151	6.010207323369074e-08
94	25	2.350020096083922e-08
95	80831	7.240479655865721e-10
96	23114	1.3704959235650533e-09
97	5295	1.9362275729789687e-09
98	56955	8.968588358524274e-12
99	128853	9.465616892910672e-12
100	83747	9.985366228809914e-12
101	5335	2.7953119680259993e-11
102	64714	2.558282440574412e-12
103	50807	1.8890962350633188e-11
104	9784	2.2948578766266773e-11
105	10278	4.651528511523804e-11
106	2885	2.469899043494309e-11
107	445815	5.1957072996795e-13
108	9749	5.462153827868834e-13
109	1795	5.960936805737229e-13
110	9793	1.7227035082106823e-12
111	27	3.855487214771177e-12
112	9472	4.594118483707915e-12
113	29998	4.841726860254531e-12
114	2137	5.0775793835978844e-12
115	79890	1.1660956543932701e-11
116	9826	1.998908147255318e-11
117	81875	2.3183770108831164e-11
118	4007	2.4275917329618095e-11
119	11217	2.54105545573626e-11
120	2048	4.841817955006106e-11
121	6237	1.7372602405254953e-11
122	11184	9.464999808360541e-11
123	8853	1.0035985086747117e-10
124	57190	1.1476914712245154e-10
125	23230	1.190198562751542e-10
