#rank	DIAMOnD_node	p_hyper
1	4050	1.0226488028588568e-05
2	7132	2.5854770436630248e-05
3	329	2.5281490039981274e-05
4	8740	1.4407561473110945e-07
5	7186	1.7239866622944664e-06
6	56616	2.122120043634456e-08
7	330	4.256463168487344e-10
8	7187	1.530183976395277e-10
9	8737	6.144474717469151e-10
10	8717	1.857381059901582e-11
11	26133	1.0123899184447029e-09
12	7185	3.6980681348593883e-09
13	113457	1.0872308877633922e-10
14	3305	1.6317092387218923e-10
15	9020	9.040030652042404e-12
16	7278	2.256004611553321e-12
17	8767	1.606390092366957e-12
18	10382	2.6460748994753407e-13
19	8517	4.0173644247797255e-13
20	3551	2.5109480248298654e-14
21	841	2.403013845345166e-15
22	1147	1.765579483352553e-15
23	71	2.50716024713826e-16
24	8915	6.824377964634775e-16
25	6885	1.3664724759496597e-16
26	10010	3.834034862546762e-15
27	3313	1.5836104560630372e-15
28	1326	4.3206937365853214e-15
29	805	2.324035087466565e-16
30	4792	8.181952386756499e-17
31	4791	7.543141165118617e-18
32	29110	1.447065648681721e-19
33	3303	8.38692975278115e-20
34	4793	4.795276283071172e-20
35	5971	1.0593829316476676e-21
36	4794	7.343976899553309e-23
37	808	2.101627983740768e-24
38	4790	7.791679203051986e-25
39	203068	3.297536926006655e-24
40	5970	8.426002974946543e-25
41	3309	1.8559514030447234e-24
42	3320	1.6006967555905063e-24
43	3312	2.7698059482566957e-25
44	23118	6.180108126762889e-27
45	1213	1.450988575098497e-27
46	801	4.004482710007032e-26
47	11035	3.8617275648406525e-27
48	92609	3.800203873893389e-27
49	7133	5.2498890600090986e-27
50	790	7.745093766855797e-29
51	4215	4.817418748346354e-26
52	9532	8.865214007912337e-27
53	3326	6.455038314336631e-25
54	4214	1.1175259329041634e-25
55	3301	1.8163109716009282e-26
56	7189	1.9037744920189185e-24
57	347733	1.1346077273382074e-24
58	10454	2.5312918259770698e-25
59	3310	3.04463104952009e-27
60	7314	1.122960413930014e-25
61	7316	8.397283250916976e-25
62	9641	1.032529145457627e-23
63	708	5.81393852775514e-22
64	6233	8.244249926338433e-22
65	7311	2.2860650708274157e-22
66	409	2.408030243159416e-23
67	4646	2.9650962345545154e-22
68	220717	7.14845149457531e-21
69	8607	9.402582640274437e-21
70	408	2.301511763082338e-20
71	11140	1.237589087319837e-19
72	5134	6.423700862589861e-19
73	1917	9.148326916014137e-19
74	6156	1.892887715298466e-19
75	2734	6.518366982797226e-21
76	6207	1.935121527796442e-20
77	1654	4.055535248175188e-21
78	6128	1.894870658521892e-20
79	6232	5.682842296659275e-20
80	2969	2.176281977579665e-19
81	10856	9.796812685867938e-19
82	292	1.0379619787523212e-19
83	9349	3.051574526780335e-20
84	6205	4.739405587268765e-21
85	8454	2.5340879251988747e-21
86	6188	2.136600991645974e-21
87	6217	8.610564367321211e-21
88	10985	6.109017124882914e-22
89	6202	1.6747301937347592e-22
90	293	4.709882582225058e-23
91	2091	1.9134992991515138e-23
92	6224	2.9875211771856816e-24
93	6135	1.1503811507929735e-24
94	6208	1.0780320931469373e-25
95	6191	6.77479576282969e-27
96	6169	4.8962354145414706e-27
97	6222	2.7601359400798127e-28
98	6204	5.735137269579682e-29
99	6129	8.056530689274619e-30
100	6141	5.916083215663172e-31
101	6146	4.016199401014002e-32
102	6203	2.4522070074717806e-33
103	6130	1.6288086123991844e-34
104	6181	6.256850029683934e-36
105	6229	4.637169083618091e-37
106	6132	3.1438093119789967e-38
107	6189	2.0013846873591037e-39
108	6223	6.236917017750981e-41
109	6124	5.1711707597747896e-42
110	6206	7.262641636039088e-43
111	6193	4.011245415641146e-44
112	2197	8.75813882746372e-46
113	25873	1.8065750858857744e-46
114	6171	6.738981529628231e-48
115	6218	3.0473112920432273e-49
116	140032	8.700228375976586e-51
117	6192	1.913749116208098e-52
118	6167	4.178641738782979e-54
119	6227	1.6433007524176025e-55
120	6164	6.511009732198905e-57
121	6122	6.2696219716917874e-58
122	6231	1.0451715247495945e-59
123	6230	7.667428616101126e-61
124	6234	1.7278529506100886e-62
125	6161	5.148818434891171e-64
126	3921	2.1769791815892352e-65
127	6170	1.7480094147798266e-65
128	497661	2.821189500000201e-67
129	6209	2.043811199508493e-68
130	6173	3.2581853011083607e-70
131	6155	2.887916429101661e-71
132	4736	6.678058779038783e-73
133	6176	7.840737916608935e-74
134	6235	2.1694288422395598e-75
135	6125	1.2086564186970817e-76
136	6165	2.6274962664379786e-77
137	6133	1.3940622026508994e-78
138	6210	5.861036578000457e-80
139	6160	8.116548597374651e-81
140	6228	1.9695329712572347e-82
141	6137	3.845491519895052e-83
142	11224	1.8543816980388808e-84
143	6194	4.595391067599035e-85
144	6152	2.663849094625886e-86
145	6175	1.8469995291364964e-87
146	9045	1.4756746360224266e-88
147	6138	3.759508743057777e-90
148	6168	3.040540798556697e-91
149	6134	9.085167072463968e-93
150	6136	1.266030355311982e-93
151	6147	3.132724901722814e-95
152	6157	2.1649752573215925e-96
153	6143	1.1934297551379937e-97
154	6187	4.491594806269686e-99
155	6201	5.716679554614488e-100
156	23521	1.2945769741478355e-101
157	6159	2.325379445129237e-102
158	6142	6.074976177371676e-104
159	6154	3.5550336010495205e-105
160	6158	9.765966814272814e-107
161	6144	1.1730522102772633e-106
162	4673	7.652990574027363e-100
163	55681	1.577464256572011e-101
164	7846	1.1372961771240912e-102
165	8971	7.516208277951506e-104
166	9188	1.971765860300117e-104
167	55131	3.03900395735344e-105
168	3007	2.091247652403449e-107
169	4904	2.7758169857815e-108
170	8342	2.4060117726869274e-110
171	11137	1.7509674813332316e-112
172	6949	3.1352941407905733e-114
173	51602	7.257957027008755e-116
174	72	1.6565194279906175e-117
175	9221	9.02567117431803e-119
176	6727	7.375085276599876e-121
177	55299	4.098703569890013e-122
178	7284	9.558480185407213e-124
179	1938	3.666957013972685e-124
180	81027	3.1833026919168955e-122
181	4869	1.3999917370625037e-121
182	26156	1.345517641514541e-122
183	4691	4.374497189044442e-124
184	6732	4.8881247989972147e-126
185	51631	3.6206387432966375e-126
186	4670	1.704109223481841e-127
187	10969	7.137806056054092e-129
188	10514	5.774561747891668e-130
189	3192	6.820793348218318e-131
190	3178	6.908336606890977e-132
191	3608	2.1175610652639797e-133
192	10642	1.4171608665800013e-134
