#rank	DIAMOnD_node	p_hyper
1	6093	0.001131068957591964
2	4994	0.0012754145097323643
3	4991	0.0013504388926577947
4	144125	0.001425463275583234
5	91851	0.001500487658508664
6	64388	0.0031486598690271855
7	650	0.0004372093232618365
8	168667	8.535967518594888e-06
9	9241	1.8602503151000098e-05
10	25928	3.365804905437548e-05
11	25884	7.637689856777401e-05
12	654	8.811597945039346e-07
13	657	1.0765845971707618e-05
14	653	3.6986979309894e-08
15	655	2.5520531361117494e-07
16	659	7.743158985661945e-08
17	658	6.519308485671123e-09
18	8200	2.163829205966805e-09
19	392255	1.511232098362566e-07
20	92	2.30955437310006e-07
21	93	2.595595176589872e-07
22	90	2.1938313279347014e-08
23	2022	6.11765577250659e-10
24	3624	4.83135149407787e-10
25	3626	1.0383101233469694e-09
26	91	2.170578354817581e-11
27	3625	5.624768030021596e-14
28	3547	1.527749189997897e-11
29	11167	7.225519460012406e-08
30	3623	7.141436725407409e-07
31	7049	4.0247251020079e-08
32	10468	6.57887615301483e-08
33	130399	8.700183455682127e-07
34	10220	9.26601851819742e-07
35	7046	2.3111035821355724e-07
36	9392	9.199668592309438e-08
37	7042	2.367455141489272e-08
38	7048	9.129028188344296e-10
39	7040	5.171192321251274e-11
40	94	7.727046660944908e-13
41	7043	3.782453390608513e-12
42	58533	1.3278088411942443e-08
43	23181	4.145800641490115e-08
44	2331	8.238723185024139e-08
45	28512	1.7178315014494032e-06
46	114990	1.8063789592540233e-06
47	4054	3.310314436324077e-06
48	79674	3.4750455845086924e-06
49	4086	6.130705303508911e-07
50	58473	1.782867200666572e-08
51	51560	3.7809731831268145e-08
52	51285	4.020066167602441e-08
53	121268	1.9900318124199177e-07
54	23551	8.598936814926549e-07
55	4089	5.166694121612273e-07
56	23682	1.0997908971546086e-08
57	29984	2.5097161648697943e-07
58	4087	3.566368210322051e-08
59	83871	4.3580443649549475e-09
60	4092	1.1045087601394369e-08
61	4091	1.9506570010294803e-09
62	64750	3.473989785051621e-10
63	4088	1.307804779950742e-09
64	117583	7.956790739677947e-10
65	57154	3.038997305660242e-09
66	8878	9.309492822848546e-10
67	9459	5.5466730176274504e-09
68	55827	6.342984865858214e-09
69	84085	7.303660084000188e-09
70	140901	7.66387228777013e-09
71	4090	2.1588085601677157e-08
72	860	6.1835951493332454e-09
73	10273	1.1177685027364755e-09
74	864	9.130316303093349e-09
75	29068	1.547161041964409e-08
76	51176	4.4604363962872856e-08
77	11171	5.354910673670095e-08
78	57111	6.098344966563605e-08
79	51588	8.187751797047116e-08
80	7554	9.564221136810534e-08
81	10140	1.9502263148229682e-07
82	379	3.413427962371898e-07
83	57381	3.5933344141981803e-07
84	5058	5.485488200857454e-08
85	10413	4.093089213380708e-07
86	64718	4.223394194789905e-07
87	55761	4.351375837056442e-07
88	81788	6.814852364601666e-07
89	54440	7.084881345912974e-07
90	22800	1.2918875267557359e-06
91	1601	1.389038380549481e-06
92	1855	2.6034444972382534e-07
93	8312	1.8677674401470127e-07
94	7738	2.115438517256183e-06
95	145258	2.174626745933683e-06
96	5872	2.234906492628141e-06
97	5218	3.1861523352752007e-06
98	861	3.810160773612719e-06
99	2033	8.991108777011983e-07
100	163126	1.804108496085823e-07
101	79753	3.487928701226962e-07
102	10691	3.792923606390779e-06
103	1499	4.67221340523152e-06
104	55914	2.2234488456410698e-07
105	9372	1.1689617507643837e-07
106	1387	1.1945960568846391e-06
107	2737	3.3527307920211033e-07
108	28996	5.932867616575247e-07
109	6497	6.736153140740937e-08
110	5371	7.69511175298188e-08
111	207	1.128240597273048e-06
112	2290	5.628914338832335e-07
113	4303	3.3615494828524244e-08
114	2308	9.652852309976915e-08
115	51701	1.1660553782460226e-07
116	2309	1.809979274203542e-07
117	2274	6.741415548952269e-07
118	367	1.7240064676237864e-07
119	3172	1.1327838626518901e-07
120	8202	1.4959318497005203e-07
121	2099	5.296280585317636e-08
122	6996	7.771265817807891e-09
123	208	1.8486699476840164e-08
124	1147	5.185374369704148e-08
125	10499	1.5199763785512436e-08
126	10401	9.14174521341198e-09
127	10000	2.6395863469657703e-08
128	7249	5.292233651051349e-08
129	595	2.24850963843432e-08
130	672	1.4185452800001295e-07
131	3065	2.870000958720967e-08
132	1616	4.475589395816555e-08
133	6774	8.9210581170371e-09
134	8841	5.065100167914185e-09
135	9611	1.6824025601077845e-09
136	51592	9.36442072800619e-10
137	6597	2.414586064372953e-10
138	6601	2.5742846843316934e-10
139	57492	2.384500110389469e-11
140	6599	2.2059871689565364e-12
141	7421	1.765565532990652e-10
142	8648	3.371822187196963e-10
143	6667	1.4458593898148457e-09
144	1051	1.543270785598729e-10
145	7157	1.2753043821355457e-10
146	3091	6.215237516895213e-11
147	8850	2.355987469273486e-11
148	6598	1.3030239653353022e-11
149	3066	5.657407413069765e-12
150	5914	2.3886635716631672e-12
151	4152	2.509922339063547e-12
152	6595	3.322962293620003e-12
153	8289	1.1225585068609688e-12
154	6605	1.1663033458346284e-13
155	10498	6.866689494531478e-15
156	6602	1.6034184898082547e-13
157	7155	7.54614576085299e-15
158	2623	1.646167204707425e-14
159	6603	2.6395947845340475e-14
160	1024	9.397864845908539e-15
161	54760	5.8992984687679055e-15
162	6604	4.535508595679884e-16
163	2959	1.0369394054307409e-16
164	9412	2.5847697268241207e-16
165	86	1.0054176551714258e-16
166	25942	1.2100798667835634e-16
167	3621	4.407317677537947e-17
168	51742	1.7900178335148235e-17
169	6908	9.526206393328459e-17
170	5928	2.1639239017424923e-17
171	8819	4.937905234971554e-18
172	5931	1.3827566039767888e-17
173	9219	1.94004345192195e-18
174	8932	1.6957916178247011e-19
175	5977	3.4277680747977777e-20
176	57459	4.101493064660537e-21
177	53615	1.7429089139115936e-21
178	1108	6.909614333291517e-23
179	10284	2.6983849997420688e-20
180	6880	4.4672886855732194e-20
181	10589	1.3352838603894863e-18
182	6878	2.2575639477999007e-18
183	8189	8.521444306436052e-20
184	53981	8.371773554811348e-21
185	6883	3.170790447446474e-22
186	4297	2.3714015221150158e-22
187	6872	9.266332822853624e-24
188	23028	6.600693447307205e-25
189	5929	7.0667794402708275e-25
190	1107	1.0647681988521993e-25
191	5901	1.5267344417886081e-25
192	11091	2.7410993138672942e-25
193	8467	1.0183136525780276e-24
194	2962	9.553750198820732e-19
195	2960	2.15173808245223e-19
196	2965	1.1862451366107869e-20
197	892	1.0895497461039587e-21
198	9343	2.3113433060643454e-17
199	2967	2.176226664398367e-16
200	5430	1.338138422142475e-16
