#rank	DIAMOnD_node	p_hyper
1	3594	1.1123294283907418e-05
2	51561	5.263022385315824e-06
3	3593	3.687641762976948e-09
4	3592	1.1515448954480704e-08
5	6775	0.00020439635916011864
6	3717	0.0003327729239600986
7	3459	9.405728868599877e-05
8	3460	2.877908572749927e-05
9	3458	5.957060978819309e-05
10	6774	0.0015109437969223767
11	388585	2.600635122378945e-06
12	168544	8.535967518594888e-06
13	3718	6.037832556793413e-05
14	6772	5.5280481281173636e-06
15	3560	3.0113550905422776e-07
16	3716	1.1156137126482056e-08
17	6777	6.371369596844448e-10
18	55250	1.5520246455753807e-11
19	6776	5.5274965317647505e-11
20	5771	1.23744193293601e-11
21	3559	1.5212399262936512e-11
22	3575	5.300042380753883e-11
23	3561	2.958449760553838e-11
24	7852	3.2079665303292506e-10
25	1234	1.6960999040433468e-11
26	6773	3.1359708519461365e-10
27	2690	9.171021697108374e-10
28	5781	9.321101169233083e-11
29	9021	9.869300601487914e-12
30	2185	7.001880444200776e-11
31	5777	2.7141080476953093e-11
32	6464	3.4880553071487494e-12
33	5159	9.234553492532515e-14
34	5156	1.488353945374206e-13
35	3566	5.932134336622103e-13
36	7297	7.236968233594444e-13
37	3572	1.157798523826944e-14
38	5295	5.437044550883632e-15
39	8660	9.888275727489763e-16
40	8651	2.413505409828279e-15
41	3667	1.7777203110980628e-15
42	3643	4.632290687261323e-17
43	3480	4.818982646885765e-16
44	5747	2.4606513461845358e-15
45	5770	5.376030597668211e-15
46	1398	1.2019107218269398e-15
47	1399	7.562442623196733e-16
48	2057	4.31244681767791e-17
49	867	4.1233568777342736e-18
50	6850	5.530585164697663e-18
51	1956	5.707364887709901e-19
52	7409	1.4073465095760137e-20
53	2064	3.129612284899106e-20
54	5788	1.1405017469227776e-18
55	4067	3.66708659233596e-19
56	10603	9.064893279224894e-19
57	3815	1.549327820341446e-19
58	2885	3.144439107024447e-20
59	2534	5.687699308626146e-20
60	5921	5.00885346849858e-21
61	3932	4.95730447525735e-22
62	5335	7.31506641136424e-23
63	613	5.736552268028926e-23
64	9846	1.8109117094005217e-23
65	6714	8.186814953885998e-24
66	2065	2.7190040888221616e-24
67	1439	6.992822841268307e-24
68	4914	2.585874532762133e-22
69	5336	1.2590893541969312e-23
70	10657	8.727142132354549e-23
71	5296	1.0226484605143134e-21
72	3055	2.612133548770776e-22
73	2889	4.58194313486317e-23
74	9564	3.0457845346517506e-23
75	6654	8.898895255740215e-24
76	25	9.156454159852361e-24
77	7535	6.513262095090015e-25
78	3937	8.656757697546848e-25
79	55824	5.720277455589346e-26
80	6461	2.388776495245636e-25
81	27040	2.4577236151446258e-26
82	11184	9.771423318223417e-25
83	1796	8.146832940610411e-24
84	1445	1.095773444081268e-23
85	5829	7.309414733955211e-24
86	5795	1.9250893917934334e-25
87	2549	1.6389928519753565e-26
88	3635	4.716437919302339e-25
89	1436	8.83123206818576e-25
90	4233	1.3934697373129304e-24
91	5782	2.3627022885234177e-24
92	7006	9.273613585333603e-25
93	27	8.811528298742104e-23
94	29760	6.05603106215871e-22
95	3702	3.277336773966059e-23
96	10006	3.37202234031799e-23
97	868	5.817715008673226e-24
98	4690	4.316948571460523e-24
99	6655	1.912642449458707e-23
100	2887	2.2086722562871194e-23
101	2066	2.8231689404832595e-23
102	10278	3.8274335686209323e-23
103	10451	1.2453005599672642e-22
104	6452	1.4032267292725864e-22
105	50807	2.335082356375697e-22
106	3791	3.423523149414814e-22
107	2321	1.4942481044189476e-23
108	7525	1.151159629992132e-24
109	695	1.305305417996878e-21
110	7454	2.067017039770055e-22
111	100124696	1.1844123059942773e-22
112	660	2.7538383622083265e-23
113	5800	3.0997851988283935e-22
114	10818	1.0830540893395334e-20
115	5787	1.4537934168201326e-20
116	2242	1.6453416793177282e-20
117	9402	1.9207781780913457e-20
118	5793	3.2924654226666465e-20
119	7010	1.8425143232356003e-20
120	558	5.725585546022687e-20
121	2268	8.382586125841436e-20
122	5979	1.1536346009621118e-19
123	55715	7.501012113060085e-21
124	5595	1.560176127464281e-19
125	857	2.2108038236356876e-20
126	2213	2.3127041324946616e-19
127	5175	2.8952299096738795e-19
128	5594	1.6022131563593671e-19
129	25970	4.081885778559995e-20
130	7410	7.208008653354858e-19
131	930	2.938579063862426e-20
132	1441	8.582574824992172e-19
133	3636	1.2005534508245404e-18
134	5580	1.8442527111689277e-18
135	26191	1.1127778460376882e-20
136	4582	6.764350418239381e-19
137	2260	5.2856600832559245e-18
138	5796	5.855934266853266e-18
139	7462	6.685449719634164e-18
140	933	8.111440366617693e-18
141	4739	1.3754075900388038e-17
142	919	2.7009557979784922e-17
143	10019	2.870525054032868e-17
144	10750	3.24504457552264e-17
145	3454	3.610133643709093e-17
146	30011	4.233489922031575e-17
147	8440	5.0282792873686286e-17
148	9743	1.2352034635861196e-18
149	1499	1.7486759327893032e-17
150	1000	5.972374356038746e-18
151	23607	9.089602400247269e-17
152	238	1.2968039812207285e-16
153	2886	4.076523667105931e-17
154	56955	4.651172252472967e-16
155	128853	4.886674645003735e-16
156	83747	5.132545067393539e-16
157	58512	5.797886678073396e-16
158	640	1.1626034642131607e-15
159	9103	7.140764124735944e-17
160	974	8.876177645142257e-17
161	53358	1.770416921495809e-15
162	4915	6.66694075972738e-16
163	4486	2.941106479908924e-15
164	940	4.697089994390051e-15
165	916	5.8992984687679055e-15
166	50852	1.03518175441507e-16
167	8853	6.6914917996592025e-15
168	6503	7.927751315514816e-15
169	27071	8.422208306221298e-15
170	8503	1.244514906777741e-14
171	6004	1.4598941289885573e-14
172	23624	3.05020668245605e-14
173	1969	3.223280071248177e-14
174	9046	3.405115941030532e-14
175	356	5.3875821925657945e-14
176	2533	1.921533418558465e-14
177	7275	5.928598338530428e-14
178	1795	6.189799736665935e-14
179	25759	6.461006056365653e-14
180	2209	9.803093918799309e-14
181	5338	1.1031620920796537e-13
182	80831	1.197314212093753e-13
183	27240	1.2421334606749933e-13
184	5170	1.6432614162156307e-13
185	973	2.0834576391257376e-13
186	10399	5.59276147455012e-13
187	3690	6.315192066213534e-13
188	8751	4.755324655009068e-13
189	921	7.545358669936173e-13
190	64714	1.0937691368600304e-12
191	5287	1.138565225310269e-12
192	4058	1.3540108618854316e-12
193	58480	1.4020296293258719e-12
194	139716	1.4514997415526408e-12
195	85358	1.8209201187972787e-12
196	9229	2.6314106890026146e-13
197	5792	2.9472917719780732e-12
198	2048	3.249166373865475e-12
199	2904	9.395528555554387e-13
