#rank	DIAMOnD_node	p_hyper
1	1294	0.000652187298213175
2	2335	0.00012051356085775675
3	7057	0.00018970305354633078
4	1991	5.363586374354774e-05
5	1634	5.873715279756949e-05
6	1277	2.2104724086169455e-06
7	4313	5.8000220549280856e-08
8	4318	3.1080150228817285e-06
9	7040	4.925477760734275e-07
10	6678	3.613222179879541e-07
11	1278	9.551145793492728e-09
12	7045	2.5029442748526037e-08
13	1280	7.014893542380828e-10
14	1690	3.127567222196518e-08
15	1286	1.0091442646064572e-07
16	1285	8.800942590748045e-09
17	4147	1.1452062140450709e-09
18	22918	4.907282151073506e-09
19	1287	5.88661281604985e-11
20	1288	1.6334835551262075e-12
21	3026	1.2629096607415199e-11
22	1284	3.5677373480696613e-12
23	5270	2.1787121377915535e-13
24	5008	1.3428455670922945e-12
25	2199	2.7906764809739993e-12
26	5653	6.2545746044125105e-12
27	633	4.598158778961413e-09
28	351	3.856404678600558e-10
29	5549	1.1186553828876056e-08
30	6288	1.1997953567134856e-08
31	2006	3.871822542641696e-08
32	22795	8.166854994359319e-08
33	3339	3.4545741025191865e-09
34	4811	1.4424578940692266e-09
35	1305	1.3009991880213611e-11
36	284217	5.441890966280438e-10
37	3685	5.9084081961844625e-09
38	3690	1.2084414995249273e-09
39	3688	4.186125198956716e-09
40	2192	7.867402887241941e-10
41	4856	9.960491800848364e-09
42	1490	7.1684779037647994e-09
43	3678	4.768165280453169e-10
44	80781	1.9307966959838935e-09
45	7052	1.1589090551016016e-08
46	948	2.0505617490742784e-08
47	3674	9.586344523775306e-09
48	2200	3.305945189560353e-08
49	4237	5.401341754997206e-09
50	3918	3.946573086764142e-08
51	1293	8.269182943650339e-08
52	3673	2.8808334107374443e-09
53	3672	5.963498642365583e-09
54	961	7.81891132856557e-09
55	928	1.145419069218881e-09
56	550	7.515994867376401e-08
57	3675	1.076632980095193e-07
58	2201	1.1618308677790588e-07
59	4052	1.3799612796933234e-09
60	1101	2.8780410341261614e-07
61	164656	2.977283828406379e-07
62	27329	3.0787821407386806e-07
63	651	3.1825613140221946e-07
64	2812	4.516729132124664e-07
65	1462	5.990053403411975e-07
66	2811	7.849774209535875e-07
67	3827	3.12258026734791e-08
68	8076	1.4867156712899511e-06
69	5340	1.866146755112135e-06
70	3386	1.944797433228466e-06
71	3676	7.866351926047552e-08
72	7058	1.5439076598744536e-08
73	2515	1.7308523112626579e-06
74	3486	3.054246204850844e-06
75	960	4.966251363124703e-07
76	4316	2.176715729610696e-07
77	6696	3.435456761260937e-08
78	2147	4.4771087645997005e-08
79	2244	1.2944968315009868e-07
80	2243	7.218958147982079e-09
81	5327	7.07866099262063e-08
82	5345	1.0279491242341561e-07
83	5328	1.5060166409107504e-08
84	1404	1.6808657573645365e-07
85	176	1.6977750921401809e-07
86	4314	1.2703911878774917e-08
87	4312	3.412539514802631e-08
88	63827	2.118331576496099e-08
89	7035	6.073166878940652e-08
90	5054	2.2234488456410698e-07
91	4035	1.8038132131779496e-07
92	811	2.3552232409828235e-08
93	7076	4.451441694748438e-08
94	1511	1.0813254072148347e-07
95	7450	1.7911195230570325e-07
96	5155	1.8645761425481447e-07
97	2149	2.801079056371326e-07
98	2160	5.342420404707578e-07
99	5104	2.4200749057270057e-08
100	3488	6.083975744304318e-07
101	7448	4.7081217705923594e-08
102	2266	1.0370170708940732e-08
103	5329	1.2770743664536574e-07
104	3693	1.2566186777273299e-08
105	3684	3.18552289689619e-08
106	967	1.6219878202780723e-08
107	4321	5.144567716221072e-08
108	2923	7.088565588687964e-08
109	2162	2.0547215667387637e-07
110	4982	3.8692485406505113e-07
111	53353	3.9823272060200046e-07
112	3914	8.128358049317333e-07
113	649	2.36984940956674e-07
114	5029	8.600489870713528e-07
115	4319	1.2350709993793168e-06
116	7422	1.4622130823543357e-06
117	3732	1.6273755687148596e-06
118	1839	1.1342156166756614e-07
119	3655	5.214052988369205e-07
120	977	7.143369910021583e-08
121	3491	7.638502797413397e-08
122	5738	7.845877972371757e-08
123	3915	2.158780049919714e-07
124	3911	5.108960624311764e-07
125	8754	5.277076988009973e-07
126	4179	5.449545449503325e-07
127	7106	2.498858844351165e-08
128	975	4.338028701896596e-09
129	963	5.993890487599066e-07
130	1289	2.3451237928315565e-06
131	4099	1.2893750091383433e-06
132	821	3.233080973914561e-06
133	5354	3.0951179014063606e-07
134	2157	1.9376239758651308e-06
135	2159	2.683234772544438e-06
136	2153	2.020064110665713e-07
137	5269	3.413753423697274e-07
138	5624	5.31341864355294e-07
139	7056	1.205856724486027e-07
140	5627	2.2763877680251266e-07
141	12	3.2013917453979018e-06
142	3817	3.881897310253147e-07
143	462	3.9368870257113026e-07
144	4224	4.602502233339523e-06
145	6667	5.083406871674013e-06
146	6670	4.8896078719564484e-06
147	682	1.4405529243584033e-06
148	1514	2.8153598224685802e-06
