#rank	DIAMOnD_node	p_hyper
1	5104	4.41020692592604e-12
2	2811	2.4393554280886537e-11
3	5627	6.211118380665301e-11
4	928	2.0865709674652428e-08
5	961	5.499621387913062e-09
6	7057	2.9563768268977003e-09
7	811	6.197568902978938e-08
8	5327	1.2660581389376285e-08
9	388552	1.6087121729706153e-07
10	55330	2.4100805542163197e-09
11	63915	2.5300567971426417e-11
12	2647	5.136932486927764e-13
13	282991	7.462605906272104e-15
14	23557	1.9709701206339547e-14
15	10947	1.2185276634550905e-14
16	10239	1.6074533630882334e-16
17	1176	1.0937925696664595e-18
18	8120	3.0410998257887426e-20
19	26985	1.5296723542514876e-21
20	8943	4.0564439486360223e-23
21	84062	1.0046772242448325e-24
22	8546	8.272534238720104e-26
23	7056	6.250020869681387e-07
24	3675	9.604101266690186e-07
25	7781	1.3924765801059956e-06
26	5269	1.469587575879201e-06
27	5328	1.827941666990136e-06
28	5340	8.944598757769891e-08
29	5345	4.522980781615789e-09
30	2160	2.7410063048358923e-08
31	3827	1.3785327139806969e-07
32	5054	2.610950356981457e-07
33	3817	2.7193641904800657e-09
34	1991	3.058637366603151e-07
35	4035	4.460394824804098e-08
36	1511	1.6713492897917183e-07
37	710	1.9900318124199177e-07
38	2150	2.11160494624146e-07
39	5653	4.812047196250879e-07
40	7035	5.096570969063685e-07
41	7448	1.3219980554425358e-06
42	5329	2.0918938982548185e-07
43	3684	6.681334267985359e-08
44	3685	4.294683114089357e-07
45	2149	2.193452691872298e-08
46	2335	2.3419705206096993e-07
47	4982	3.747424318119216e-08
48	3488	5.189490813065305e-08
49	3688	2.9467269553013776e-07
50	4811	6.73944693524312e-09
51	3386	9.644040542626754e-09
52	7052	2.6049494930568163e-08
53	1277	8.752103731335293e-08
54	6678	2.826155036173936e-09
55	1278	1.5884625195350868e-10
56	4318	7.849165306974818e-11
57	3678	1.9971394814405675e-09
58	6696	1.1949478140503779e-08
59	3693	1.860441674510126e-08
60	4856	3.777078897351644e-08
61	1490	2.6756430414891564e-08
62	2192	4.8875487165003595e-09
63	3339	4.3632415060973256e-08
64	3673	7.603942796049896e-09
65	284217	5.927009657118932e-09
66	1305	3.909561032741534e-08
67	5155	5.491498833275839e-08
68	5549	9.852047360655583e-08
69	2199	1.3952831326592212e-08
70	80781	1.0075020584616311e-08
71	1285	1.1696167996079038e-08
72	1286	4.733429800534105e-08
73	7045	1.1684014995567591e-08
74	1282	1.5893239400493444e-09
75	1634	2.8839528247617677e-09
76	5270	3.726853356883327e-09
77	1287	1.3388123898437368e-10
78	1288	1.5411002543468989e-12
79	22918	1.1649823137557348e-12
80	3026	2.0235469466806983e-12
81	1284	2.750598164959084e-13
82	4147	1.2713313680599845e-13
83	351	1.5970292298281867e-11
84	5008	1.6131748492729737e-10
85	6288	9.481210548525467e-10
86	7040	1.2151983475670257e-09
87	1280	3.426384811254317e-10
88	633	3.3206823333951248e-09
89	22795	1.3222765721191886e-08
90	2006	6.497296196712852e-10
91	2200	5.921825231627578e-09
92	4052	7.54434880744818e-09
93	4316	9.724809800255586e-09
94	4237	3.659362394548697e-08
95	2201	3.815902831945244e-09
96	53353	2.6910679104270424e-07
97	3486	3.4269651794870653e-07
98	4313	8.02779666904165e-08
99	1293	4.469089682062866e-09
100	1294	9.097432880354366e-09
101	3672	6.61332290492158e-08
102	550	1.4828041087274328e-08
103	960	1.8119459552000326e-07
104	4312	8.460592568800572e-08
105	12	2.457384972815371e-08
106	354	6.884619517160677e-08
107	5858	1.623879197156634e-07
108	7042	1.0069371204558943e-07
109	3918	3.9823272060200046e-07
110	2923	8.867466333494519e-08
111	3915	1.5366217303381573e-07
112	3911	3.649761412883269e-07
113	3914	8.844078132607554e-07
114	649	2.630430763721207e-07
115	5029	9.346646255000551e-07
116	27329	1.3144474947739789e-06
117	1690	1.3416429601830978e-06
118	1101	1.3692109662142465e-06
119	164656	1.3971540471574988e-06
120	651	1.4254747373025927e-06
121	7422	1.845519035797616e-06
122	1289	2.011309159138387e-06
123	4099	1.0672688637240969e-06
124	4314	2.6843088424975886e-06
125	63827	8.990398075192047e-08
126	7076	1.5761977845914865e-07
127	1404	6.471248666923604e-07
128	176	1.902064287499647e-08
129	1462	9.18011539481634e-09
130	6387	1.7872098149898463e-07
131	3676	1.3701974213470445e-06
132	967	5.0143354678483894e-08
133	7058	1.0943483506021904e-07
134	3655	9.87735160564295e-07
135	3491	1.1490900721028323e-07
136	3732	1.7291161199150418e-07
137	977	1.302434672418895e-07
138	5738	1.2350147256557343e-07
139	1839	2.344333629569693e-07
140	8754	8.871033527138265e-07
141	4054	9.093483443716221e-07
142	4179	9.396700724285862e-07
143	7106	4.323391819885116e-08
144	975	1.0208075703633807e-08
145	963	1.023109447747558e-06
146	4319	2.3026558448159683e-06
147	718	3.540690191298778e-06
148	4224	5.437803885704918e-06
149	3694	6.34000286210051e-06
150	7043	3.2035893519371664e-07
151	2331	2.5045373819044528e-06
152	821	8.338962714300184e-06
153	5354	5.160354347246508e-07
154	5265	5.468489099767592e-07
155	5657	9.065140968346436e-07
156	9507	1.270660023029838e-06
157	5275	2.5674496945764028e-06
158	4018	4.667845564394211e-06
159	4321	1.97839527991537e-07
160	2161	8.021234530572775e-06
161	3818	2.7921997570188825e-06
162	3082	1.613234184315295e-06
163	4323	4.784594280660931e-06
164	3696	4.443243562381929e-08
165	4322	7.84858497913986e-08
166	7078	8.050938346114615e-08
167	6382	2.629733861845206e-06
168	90070	4.822206515600515e-08
169	6354	5.2884716618933265e-06
170	4192	1.2404370565983343e-05
171	8076	1.3565973407563121e-05
172	3934	1.376867927265143e-05
173	2515	1.3973386514143918e-05
174	8516	1.4180104809437667e-05
175	6383	1.67623129018176e-05
176	5196	3.6863137321740307e-07
177	3909	6.404653660383343e-06
178	2247	1.0759467319073165e-05
179	3689	1.3567958984861875e-05
180	51454	3.014779040146555e-07
181	2208	4.142594187626592e-06
182	7094	1.7106763329435656e-05
183	5310	6.871381028603525e-06
184	5747	1.2279907054645917e-05
185	4036	1.2833381259772213e-05
186	56899	8.076451693853697e-06
187	3695	1.429528808924223e-06
188	9479	6.97103880009664e-07
189	7412	1.3526060624883631e-06
190	3680	8.628396423814878e-07
191	8174	4.559035555220208e-06
192	5829	7.146464176923642e-06
193	6401	4.8146696246436525e-06
194	3371	9.321563509268349e-06
195	3912	2.418987705245728e-05
196	1291	2.754772369716966e-06
197	3691	1.2073208544284476e-05
198	3913	2.852772292465144e-06
199	2316	8.986096318956019e-06
200	2152	7.815882978273733e-06
