#rank	DIAMOnD_node	p_hyper
1	11187	2.0345916298131955e-08
2	1823	3.382234105339253e-08
3	5318	5.421338673117256e-09
4	1828	7.124806121351534e-10
5	8082	3.1135019108261e-07
6	6445	3.588352049493447e-09
7	6443	7.286993852322245e-12
8	8910	6.191134423501029e-10
9	58	4.51214176900693e-06
10	84676	5.999579239175861e-07
11	51086	1.617356588406405e-06
12	6271	2.091183611486862e-06
13	8790	4.361880474137754e-06
14	5317	6.592309705921475e-06
15	7398	1.8651593516856634e-06
16	1264	1.0136306044447832e-05
17	58529	1.0716258427610002e-05
18	2318	6.415841918370609e-07
19	91977	4.089884302115438e-06
20	8557	1.5566273376011553e-07
21	64750	3.2864271344456297e-07
22	7273	3.4492354677340255e-08
23	87	1.8605520831254994e-08
24	4703	2.0427693720983124e-07
25	125950	1.9924652511583315e-06
26	84665	3.645126455146786e-06
27	10529	2.353136947557081e-06
28	89	9.541776944645415e-07
29	81	3.067241571635049e-07
30	135	1.2712657018350603e-07
31	70	1.8346248795934598e-06
32	4892	2.7432779212858494e-06
33	823	5.327856658659539e-06
34	2274	1.6997066814825452e-05
35	5310	2.0372249190479538e-05
36	999	1.5770212732293266e-06
37	1495	1.1568963278067727e-07
38	1499	5.1875461678888435e-08
39	1001	3.5558917549251524e-08
40	1500	1.3006228323563979e-09
41	1003	1.5657107778036388e-07
42	8502	1.2952183187686784e-07
43	1825	1.265615955152086e-09
44	1000	1.06228953136121e-07
45	1501	1.1940847150802095e-07
46	55914	2.7497081023454244e-08
47	768	2.503118179534244e-07
48	5784	3.2933953011143634e-07
49	7082	7.174204017615155e-07
50	421	8.824676482513791e-09
51	51762	9.479880668781738e-08
52	1013	9.231436056059996e-07
53	50937	3.017898835010698e-08
54	91653	7.733255619892226e-10
55	55591	1.3087955021604124e-06
56	4647	1.928465950986278e-08
57	1308	1.6482942913056212e-06
58	57554	1.7190265251322838e-06
59	23037	3.697131634139817e-06
60	7094	5.283986682875198e-06
61	26136	1.354110492533889e-06
62	5795	7.743664662054263e-06
63	1956	5.178893412866158e-06
64	2241	3.364758381848221e-07
65	815	6.853283556893166e-06
66	3875	2.409119314209103e-06
67	3856	5.301749192733672e-07
68	818	9.276173601254569e-08
69	5581	4.798439937890224e-07
70	2904	1.8677674401470127e-07
71	1739	3.3305777620087336e-07
72	488	6.398434694944859e-07
73	817	2.580346705036988e-07
74	816	1.4566931306431374e-08
75	7431	3.2883242843704156e-08
76	2670	3.810822714584673e-09
77	3751	5.335369392528177e-08
78	5175	1.2292184340983118e-07
79	6714	4.848489340332115e-08
80	5566	4.58349026712371e-08
81	2316	1.1960345178326189e-08
82	2534	8.81563241109905e-09
83	2890	2.8629875937764065e-08
84	5578	6.05570661611519e-09
85	2893	7.294249256546863e-10
86	94274	1.5433392655322325e-09
87	3688	6.154947670043454e-09
88	5590	7.110984652131252e-09
89	60312	5.452208775794198e-11
90	5580	1.766101482258179e-10
91	5587	5.6816903983877785e-11
92	1103	6.286016078205819e-11
93	5770	8.38966733446314e-11
94	5583	8.981652869222698e-11
95	2705	5.477190605419083e-12
96	5582	9.220286220837898e-12
97	8682	2.0506592378343575e-13
98	4233	8.858707717261429e-13
99	5579	9.90144697727258e-14
100	2560	2.3800367938461403e-14
101	5588	1.0105118832638554e-14
102	119	2.1561937020861758e-16
103	5734	2.7449620073347096e-16
104	5584	7.67175765295834e-16
105	846	4.0882642780601354e-18
106	6876	1.523297194502703e-17
107	4900	1.645516831674707e-17
108	120	1.7534968910898604e-17
109	3706	5.914336515746684e-17
110	5782	1.390615983320498e-16
111	2902	1.5411253060730182e-16
112	26353	3.0467161418858525e-16
113	3315	4.088858863180351e-16
114	6199	9.407526400004456e-17
115	5243	5.357975173588381e-16
116	2566	5.727293437056498e-16
117	2152	6.119326501676846e-16
118	9267	6.535304840551766e-16
119	65108	7.395882252852022e-16
120	433	7.841007950347853e-16
121	9421	1.0720202702379449e-15
122	5788	1.2085501287106529e-15
123	960	5.004498944007962e-16
124	2243	1.959568096842145e-15
125	5567	3.654496636629792e-16
126	2673	6.670619922187832e-17
127	5568	1.205880364239587e-17
128	3150	5.40918468234698e-18
129	118	3.3042861807764404e-17
130	4842	9.347571782086725e-16
131	624	3.099929711827643e-16
132	6944	3.903243655032955e-15
133	7504	5.213909654944561e-15
134	5341	5.500291320308261e-15
135	1267	5.800551509877786e-15
136	917	6.1152740509272205e-15
137	1601	1.1136795752180162e-14
138	4627	2.974434925511964e-14
139	2561	4.106254632565256e-14
140	6624	4.43497633459502e-14
141	4225	8.338116392723447e-14
142	3105	9.78377510050507e-14
143	5066	1.3559157644334664e-13
144	9266	1.5166356306665903e-13
145	2911	1.8226826066937892e-13
146	4001	2.5744577136592007e-13
147	3667	2.937657766938013e-13
148	3643	3.195582130353775e-13
149	150	3.8319467579840895e-13
150	4985	4.0508682529660915e-13
151	2781	4.2730419710562113e-13
152	2931	7.347258317092954e-13
153	3689	9.13452771453947e-13
154	5894	1.1439761220289822e-12
155	2769	1.3932225490135977e-12
156	1445	1.5628992783219302e-12
157	1080	1.7221313210076342e-12
158	821	1.9961658655554827e-13
159	156	2.5700408246271426e-12
160	154	2.067273029889111e-12
161	9590	3.4059696640872364e-13
162	5170	3.742553240170609e-12
163	5747	4.1532178647276555e-12
164	5781	8.387500014098843e-13
165	5829	1.6936673187612488e-13
166	3480	2.310801475329384e-13
167	5787	9.361657833607244e-13
168	2064	1.7431051254350961e-13
169	3691	6.26753407351119e-13
170	3280	2.7778767237416567e-12
171	7430	5.014774006091325e-12
172	6383	4.861711012066795e-12
173	867	7.670068766029528e-12
174	5796	1.3533301262295494e-12
175	3932	2.1091464199249417e-12
176	5793	8.83897039058077e-14
177	5159	1.9583114002749377e-13
178	5777	5.6743343686817743e-14
179	6464	3.2709527273699094e-14
180	5335	1.979904306902418e-14
181	2549	1.640732202325798e-15
182	5800	4.232381601648671e-15
183	5295	4.980256879401863e-15
184	3717	1.112274368340749e-15
185	2185	3.619613665785244e-16
186	3690	9.621873205920768e-15
187	6850	1.4140300989618683e-15
188	2057	3.797053471022342e-16
189	1439	4.1526743829400515e-17
190	7409	7.505860633886263e-17
191	2885	9.92717901067955e-16
192	2690	9.355793805150144e-16
193	26191	3.771977876728489e-16
194	4914	1.7659191028798302e-16
195	5921	3.7634067255052713e-16
196	1796	4.824546183746422e-16
197	3815	6.135802582098956e-17
198	1399	3.661524446624472e-18
199	4067	7.596868094084847e-19
200	613	4.7557325146838236e-20
