#rank	DIAMOnD_node	p_hyper
1	998	2.557638080729359e-05
2	9463	7.337577987378298e-05
3	9478	0.00019907642598307657
4	56970	0.0003040143214793198
5	8464	2.9246691598735245e-05
6	6881	2.7680931160641956e-06
7	6873	4.111382407285881e-07
8	6877	9.3467487768147e-09
9	27097	1.4947935070353591e-10
10	6874	5.083773310774471e-12
11	10629	1.2200601750357917e-13
12	51616	1.0011979102177033e-15
13	6884	1.720903635247527e-17
14	6879	1.8199771527763438e-19
15	8295	9.192070622312283e-21
16	6878	2.1215296464796763e-22
17	2648	3.412599229955235e-24
18	6883	5.498824540063704e-26
19	10474	8.4247673366493e-28
20	6880	7.829532226623002e-26
21	117143	1.4496542431699592e-23
22	9913	6.233259101517997e-26
23	23326	3.1009107976210114e-22
24	83860	2.035205188724153e-21
25	2958	6.30127197467412e-23
26	6882	4.502862372908019e-25
27	6872	1.8479838984896552e-26
28	2957	9.137332725608525e-27
29	6875	7.959369388310967e-26
30	129685	4.399310836791101e-24
31	8290	1.9366436933350414e-23
32	6871	4.8645768922313433e-20
33	2959	1.060373587423164e-19
34	8148	2.80860807208168e-19
35	23450	1.5673655293356916e-16
36	8850	1.9459467243915364e-14
37	4609	9.084457307663775e-12
38	2956	8.199943965858736e-12
39	4436	3.5573325598166455e-12
40	56943	1.199433916731464e-11
41	6598	2.0363433159738322e-10
42	672	1.942587591459137e-11
43	2960	6.408357520022666e-12
44	2962	1.8565706171513557e-12
45	6599	2.6759698760043107e-13
46	6595	1.7776632298734602e-14
47	6601	8.82856626195334e-15
48	1024	3.4567669623110425e-16
49	10589	3.934959651900091e-17
50	6597	8.586247957722523e-18
51	54760	2.9784174441493855e-19
52	6603	3.1359624660086246e-19
53	6604	4.765628944956912e-21
54	892	5.941797808787459e-21
55	2965	3.2848646310247105e-22
56	9412	5.309198771638472e-23
57	6602	1.302091624956179e-23
58	5430	1.3226621971747089e-24
59	2967	1.8899540249266644e-22
60	2071	1.2621879178847038e-21
61	86	1.3892824602815248e-19
62	1387	2.322066437327609e-17
63	10284	2.9347480577671035e-17
64	5928	6.772308663277237e-18
65	8819	6.054693247924453e-19
66	5931	6.156820343219174e-20
67	8289	2.1356712222104803e-21
68	53615	8.084422344757241e-23
69	9219	7.059033800717929e-23
70	53981	1.1701638547509445e-24
71	8189	3.241318390471565e-25
72	4297	2.109154863621348e-25
73	23028	5.728539386718071e-26
