#rank	DIAMOnD_node	p_hyper
1	5998	0.0002451937665810986
2	2063	0.00036716927457612175
3	9166	0.0012754145097323643
4	642658	0.0013504388926577947
5	9731	0.001425463275583234
6	5458	0.001500487658508664
7	29931	0.0015755120414340975
8	23769	0.0016505364243595377
9	440498	0.0017255608072849647
10	9968	0.0034701671322893545
11	81857	0.0025218300287811004
12	9969	6.205583605738194e-05
13	10025	1.7148647851599574e-06
14	10001	3.235574135419873e-08
15	9439	7.040703788564178e-10
16	9440	1.4892470493781367e-11
17	9443	2.2501280950455285e-13
18	23389	3.2432976764218406e-15
19	400569	2.0556657654864772e-17
20	9442	2.404317588317984e-19
21	6837	1.9522530567795253e-21
22	9477	1.0128682181085923e-23
23	23097	1.8217336595367966e-25
24	54797	8.925219791468177e-28
25	90390	4.0145589608665434e-30
26	9862	1.545724970631211e-31
27	9282	4.493746914130731e-33
28	112950	1.4233323808590687e-34
29	51586	4.711752577021675e-36
30	84246	3.470661227547204e-37
31	892	2.081279256882996e-38
32	29079	1.8279914128686241e-40
33	9441	4.2477146723243807e-42
34	5469	3.6606033761591994e-44
35	1024	3.012187273851743e-46
36	55090	4.6604384258956215e-48
37	80306	2.9826696149237357e-50
38	9412	7.160569304732458e-51
39	55588	4.578350469707174e-52
40	51003	4.200747702664398e-53
41	219541	1.0301554299287278e-51
42	9967	5.9254159447667164e-33
43	7067	7.077601391422008e-31
44	27034	2.506455322698518e-22
45	55031	3.816714601141399e-21
46	2100	3.365930501811403e-21
47	7421	6.210991335959354e-19
48	6257	1.1298420060798052e-20
49	8535	4.334043355718108e-18
50	8295	1.0457848347102087e-15
51	2648	2.9060090194162802e-15
52	10891	1.9502293852841708e-14
53	3172	2.0191935603249638e-13
54	904	4.5985216106147447e-11
55	23476	4.435418258094984e-11
56	1025	2.575394430496699e-12
57	5430	1.0131837797178336e-11
58	5439	1.3029635318651946e-11
59	5433	8.112250857330983e-13
60	5436	1.890149371328742e-14
61	5432	3.321302228046532e-15
62	5435	1.0372706762279253e-16
63	5438	1.3310454090680915e-17
64	5431	7.797542964934124e-19
65	5434	1.6214863691226137e-19
66	5441	2.4937016002677398e-20
67	5437	8.204720706347235e-21
68	2967	1.8899540249266644e-22
69	5440	2.9966321695535343e-24
70	2966	1.2161695543919238e-23
71	2965	3.281915380278508e-25
72	2960	9.893086027737356e-27
73	2068	1.9344912517757667e-28
74	2961	4.9871528652463935e-30
75	2959	3.287253570272234e-31
76	2968	6.268505157684556e-33
77	2071	4.8138353725830725e-34
78	2962	2.1772531912246887e-35
79	2963	8.471928599288123e-34
80	672	1.1391923985256827e-34
81	6908	2.2558425957451373e-31
82	26015	3.488500135462178e-29
83	9150	4.65112432559936e-27
84	1022	1.5792103318855832e-18
85	399511	2.0895493474749348e-20
86	6917	3.4776687634803563e-19
87	54760	1.1765987974907248e-15
88	6595	1.0433415043615527e-16
89	6602	1.184225710553745e-16
90	6597	6.258722726861101e-18
91	6604	4.1575644977499223e-19
92	10589	8.739886501589209e-21
93	6603	1.6912284199799694e-22
94	6598	7.926890944221213e-23
95	6601	1.087078307460843e-23
96	6599	8.489781876856408e-22
97	86	1.5449334095581887e-17
98	6605	5.5308383505126e-18
99	11198	2.5163846310718614e-17
100	1387	8.578908668865543e-17
101	8289	5.557349204227653e-18
102	57492	4.831575232292883e-18
103	4298	1.745863726906287e-19
104	7044	2.4498291288180645e-19
105	9031	4.407694876869076e-17
106	51412	1.360781570786689e-16
107	55193	1.5427395198502597e-18
108	196528	1.6946831822983646e-18
109	55636	8.623351151380415e-19
110	2033	1.3298162674186247e-15
111	9794	1.4990121488784065e-16
112	8202	1.2986051061729495e-15
113	8850	1.9632013472351248e-15
114	8648	1.0992655226098741e-16
115	367	8.476156934933187e-16
116	902	4.533951989434482e-16
117	404672	6.262035473395021e-16
118	4331	6.432503791284621e-17
119	3516	3.6327694857708884e-15
120	6830	4.486492826000028e-17
121	4851	7.020360179048914e-16
122	51763	3.4791557661567937e-17
123	7155	1.0388971751686281e-14
124	3066	2.0171185271550983e-14
125	10498	5.052523187590784e-14
126	3621	5.638882412810561e-14
127	2908	1.0742372898559771e-13
128	10499	6.936670620428101e-14
129	7157	2.924509389731212e-14
130	9219	6.7300972423484554e-15
131	25942	4.0606343561051845e-15
132	6880	6.653274984555364e-16
133	3065	2.0853567575517008e-16
134	53981	9.380959456041697e-18
135	6878	7.429058164462243e-19
136	53615	6.153231687367828e-19
137	6883	8.485319480746639e-20
138	8819	3.6114406028330805e-21
139	10284	2.0717364347041076e-22
140	5931	1.7483536753466098e-23
141	6872	6.680709972100766e-25
142	4297	2.4214442602881812e-26
143	8189	4.131285077107864e-27
144	5928	3.9857090110050237e-28
145	5929	1.8267172705811452e-27
146	23028	1.746657471594415e-27
147	8467	2.352648135372112e-26
148	11091	1.2497411308371365e-26
149	8932	5.48189766536893e-26
150	1107	6.141940981937858e-26
151	1108	5.410022950835133e-26
152	5901	7.512173513362677e-26
153	51742	2.454723037486817e-24
154	57459	6.932499130570756e-24
155	5977	4.00707322211127e-25
156	9343	5.833115118151825e-20
157	9112	1.957662737920567e-19
158	23186	2.3263544668433916e-20
159	85509	1.0443806310440805e-19
160	54815	4.801070788308061e-19
161	60	2.2845293932168935e-18
162	57504	8.038395244387607e-18
163	1487	3.833992392077428e-17
164	9611	8.57261128070762e-17
165	9203	5.904574071583878e-16
166	23309	3.7264074960144966e-17
167	51317	1.6621569952721212e-18
168	23199	1.3811228489042046e-17
169	7750	1.2623401203972752e-18
170	3360	9.018855296275298e-19
171	10362	1.9578858930540686e-18
172	2969	4.925361182660031e-19
173	7764	3.317631648244475e-16
174	3020	1.7227812444414862e-15
175	6304	1.924963718296823e-15
176	11177	2.8338355294820335e-17
177	10735	2.6796543293341406e-16
178	10274	1.3135141297495234e-16
179	5885	4.537825098583078e-17
180	8243	6.220701009674602e-16
181	9126	9.187781856092811e-16
182	9612	7.021779152311992e-15
183	4087	8.34822615091366e-15
184	4609	1.4193291525246087e-14
185	5925	1.4724496171216964e-15
186	5371	4.2737920155764964e-15
187	8841	3.9755072953044306e-16
188	5468	3.886524818503593e-16
189	7528	8.931466127446512e-16
190	6667	2.0114936586629408e-16
191	4088	5.411228365195122e-16
192	23054	6.830019905254198e-17
193	5970	1.2261541112337273e-16
194	6256	2.422539206338612e-17
195	1051	4.675173295928726e-17
196	5914	5.3635849022471814e-17
197	8431	1.4758395129167195e-17
198	8204	5.939291607593069e-17
199	7068	2.9570890731735395e-18
200	3725	1.585384384048236e-16
